,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
17169,ATL,125,47.312222,MIL,107,H,0.85503268
17194,ATL,106,47.841419,CHI,91,H,0.77468359
17233,ATL,123,47.730270000000004,PHO,100,A,0.61273873
17242,ATL,124,47.513453999999996,LAL,125,A,0.29443228
17308,ATL,103,44.439289,BOS,123,H,0.50013649
17423,ATL,115,44.422531,PHI,116,H,0.50722617
17473,ATL,98,41.744164000000005,MIL,119,A,0.61595118
17484,ATL,111,42.200832,NYK,106,H,0.66165996
17502,ATL,129,43.451298,DET,121,A,0.38497722
17524,ATL,114,45.022197999999996,CHI,96,A,0.50408924
17658,ATL,93,44.758743,NYK,126,A,0.40585876
17668,ATL,113,43.450356,NYK,121,H,0.63694656
17696,ATL,94,42.682045,LAL,99,H,0.51685458
17731,ATL,121,44.007607,PHO,99,A,0.61447942
17783,ATL,105,46.372219,LAL,103,A,0.27793932
17826,ATL,87,46.993244,CHI,83,A,0.51798803
17839,ATL,122,47.166428,MIL,116,H,0.86294031
17879,ATL,120,47.515289,DET,110,H,0.803671
17958,ATL,110,49.168221,BOS,97,H,0.55357713
18022,ATL,106,50.932891999999995,CHI,88,A,0.53963327
18036,ATL,128,52.475159,DET,106,A,0.53947073
18050,ATL,111,50.935726,LAL,121,H,0.67963201
18069,ATL,97,50.989208000000005,PHO,96,H,0.91127729
18111,ATL,111,50.787956,PHI,112,A,0.28432441
18130,ATL,104,50.973431,DET,101,H,0.79979706
18147,ATL,104,51.40509,LAL,100,H,0.62800032
18197,ATL,112,51.493187,PHO,107,H,0.91509783
18210,ATL,112,51.580261,PHO,107,H,0.91589785
18243,ATL,100,52.078159,NYK,96,H,0.57877535
18285,ATL,125,51.162292,PHO,107,A,0.78124785
18297,ATL,110,51.607365,LAL,106,H,0.61765409
18329,ATL,115,51.686809999999994,PHI,119,H,0.57563668
18348,ATL,96,51.066376,BOS,108,A,0.30299240000000005
18363,ATL,96,50.121353000000006,PHI,119,A,0.29559815
18405,ATL,119,48.90546,DET,99,H,0.75819743
18455,ATL,97,48.496990000000004,NYK,122,A,0.24098659
18488,ATL,109,49.232918,BOS,107,A,0.32351744
18507,ATL,106,49.514732,CHI,97,H,0.82495856
18559,ATL,113,48.194378,MIL,106,A,0.67228043
18577,ATL,104,48.635483,BOS,101,H,0.59123832
18623,ATL,111,44.428112,MIL,123,H,0.85557324
18663,ATL,97,45.622494,DET,87,A,0.5262804
18724,ATL,101,45.942496999999996,NYK,122,A,0.23610306
18759,ATL,120,45.691505,BOS,122,A,0.28342712
18786,ATL,112,45.901543,MIL,108,H,0.80751723
18840,ATL,138,48.650448,PHI,99,H,0.49516809
18906,ATL,90,48.07909,CHI,102,A,0.54022098
18921,ATL,109,48.735863,CHI,90,H,0.76214272
