,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
152,BOS,65,31.817047,NYK,90,H,0.48328897
164,BOS,44,31.329351000000003,NYK,62,A,0.19316971
297,BOS,66,30.738827,NYK,62,H,0.44867054
329,BOS,58,35.226974,NYK,45,A,0.24023473
361,BOS,52,34.374474,NYK,46,A,0.26123774
414,BOS,49,33.469673,NYK,48,H,0.60137117
747,BOS,75,28.625790000000002,NYK,91,H,0.53681082
749,BOS,65,29.47488,NYK,63,A,0.23483807
786,BOS,75,29.904559999999996,NYK,79,H,0.46112344
814,BOS,58,31.316316999999998,NYK,70,A,0.1856904
911,BOS,58,33.421146,NYK,74,H,0.55147028
934,BOS,64,29.859955,NYK,66,A,0.21515995
956,BOS,57,28.967315999999997,NYK,68,H,0.43518719
964,BOS,68,28.637172999999997,NYK,80,A,0.17968363
1368,BOS,77,33.065697,NYK,75,H,0.44326574
1460,BOS,67,35.05957,NYK,69,H,0.49558738
1490,BOS,64,31.541807000000002,NYK,81,A,0.20484132
1692,BOS,87,28.941307000000002,NYK,77,A,0.18774223
1763,BOS,61,31.132846999999998,NYK,66,A,0.26518226
1834,BOS,70,34.521060999999996,NYK,56,H,0.51954389
2092,BOS,84,35.673027000000005,NYK,96,A,0.2373687
2337,BOS,97,39.852364,NYK,78,H,0.45971951
2475,BOS,80,40.806293,NYK,82,A,0.26533931
2871,BOS,72,35.363556,NYK,81,H,0.46825117
2973,BOS,84,31.182043,NYK,88,A,0.19819432
2987,BOS,96,30.784475,NYK,98,H,0.43278617
3185,BOS,89,35.020252,NYK,83,A,0.28319114
3213,BOS,93,36.272015,NYK,90,H,0.56547683
3330,BOS,80,33.831562,NYK,86,H,0.53521854
3383,BOS,60,34.41724,NYK,77,A,0.24520338
3387,BOS,100,35.512671999999995,NYK,90,H,0.48885378
3525,BOS,75,41.091167,NYK,76,A,0.29557514
3657,BOS,87,42.700848,NYK,85,H,0.57844824
3696,BOS,78,42.119102000000005,NYK,84,H,0.62425977
3785,BOS,69,39.948803000000005,NYK,83,H,0.63446665
3795,BOS,78,39.198959,NYK,92,A,0.30930763
3906,BOS,92,43.078598,NYK,93,H,0.66988307
3936,BOS,70,45.290039,NYK,68,A,0.37574899
4005,BOS,103,44.977592,NYK,94,H,0.68632126
4101,BOS,100,45.32103,NYK,90,H,0.65979129
4113,BOS,86,45.005340999999994,NYK,87,A,0.39783651
4268,BOS,83,43.989422,NYK,91,A,0.37669837
4272,BOS,100,44.478970000000004,NYK,95,H,0.63970989
4415,BOS,86,45.301414,NYK,105,A,0.37450701
4419,BOS,87,44.62574,NYK,89,H,0.62506819
4498,BOS,105,48.504478000000006,NYK,94,H,0.63389921
4508,BOS,97,48.056339,NYK,101,A,0.37377203
4514,BOS,87,47.4799,NYK,88,H,0.64208758
4605,BOS,68,45.645489000000005,NYK,79,A,0.32161605
4804,BOS,84,47.178928000000006,NYK,97,A,0.32769579
4863,BOS,103,49.864296,NYK,100,H,0.5942443000000001
4927,BOS,99,48.449478000000006,NYK,83,H,0.60040569
4944,BOS,89,46.321785,NYK,112,H,0.64386225
4992,BOS,69,44.291298,NYK,76,A,0.22314668
5033,BOS,87,44.810539,NYK,79,H,0.44847727
5093,BOS,69,43.696701000000004,NYK,66,H,0.42684028
5113,BOS,87,44.813408,NYK,83,H,0.44803113
5196,BOS,89,48.628609000000004,NYK,78,A,0.23271
5266,BOS,91,50.305485,NYK,95,A,0.32757425
5269,BOS,86,51.370834,NYK,70,H,0.59598094
5275,BOS,82,50.379257,NYK,101,A,0.34559381
5276,BOS,75,49.314182,NYK,82,H,0.59803575
5397,BOS,92,41.182823,NYK,103,H,0.49832726
5404,BOS,96,42.508228,NYK,84,H,0.46681812
5468,BOS,113,43.251526,NYK,108,A,0.26830775
5556,BOS,95,45.189346,NYK,74,A,0.29114181
5641,BOS,84,46.563313,NYK,87,H,0.6477887
5741,BOS,78,43.941704,NYK,87,H,0.64880353
5763,BOS,84,46.465042,NYK,81,H,0.6279729000000001
5782,BOS,103,46.373062,NYK,89,H,0.6411406999999999
5794,BOS,85,46.013676000000004,NYK,87,A,0.3839941
5871,BOS,71,47.760616,NYK,86,A,0.50342047
5943,BOS,93,51.77879,NYK,71,A,0.45293301
5954,BOS,79,51.401234,NYK,78,H,0.7641321999999999
6038,BOS,117,45.283772,NYK,98,A,0.38301206
6048,BOS,108,45.147705,NYK,103,H,0.70815229
6165,BOS,81,44.001534,NYK,93,A,0.43619978
6211,BOS,113,43.521515,NYK,96,H,0.70652556
6235,BOS,83,42.849693,NYK,88,A,0.46520138
6262,BOS,116,46.219074,NYK,100,H,0.75344378
6280,BOS,102,47.021648,NYK,98,H,0.73405123
6374,BOS,107,40.348377,NYK,115,A,0.38587558
6415,BOS,103,36.626835,NYK,105,H,0.57835537
6548,BOS,95,34.797585,NYK,114,A,0.26166093
6551,BOS,95,34.293579,NYK,97,H,0.5076735
6559,BOS,112,35.173519,NYK,101,H,0.48958531
6565,BOS,122,36.826786,NYK,101,H,0.52211112
6569,BOS,95,36.370518,NYK,102,A,0.29347456
6575,BOS,116,37.810089000000005,NYK,109,A,0.28308076
6630,BOS,95,40.392799,NYK,96,A,0.33697957
6660,BOS,111,39.061825,NYK,115,H,0.60505193
6749,BOS,102,41.581661,NYK,100,H,0.62344712
6768,BOS,95,41.460449,NYK,92,A,0.32837731
6830,BOS,97,44.257801,NYK,107,H,0.67933297
6834,BOS,86,42.13324,NYK,103,H,0.63864142
6845,BOS,92,43.285647999999995,NYK,87,A,0.30667144
6889,BOS,104,42.202152000000005,NYK,109,H,0.65374482
6993,BOS,114,39.141556,NYK,104,H,0.62246227
7002,BOS,102,38.368839,NYK,113,A,0.36194581
7027,BOS,116,40.528286,NYK,108,H,0.63053435
7134,BOS,99,38.968739,NYK,119,A,0.3911165
7228,BOS,115,40.127995,NYK,112,A,0.33443183
7242,BOS,107,39.011055,NYK,113,H,0.63594872
7420,BOS,99,44.92577,NYK,110,A,0.38900286
7498,BOS,102,45.011658000000004,NYK,113,A,0.40096992
7547,BOS,114,48.563717,NYK,78,H,0.67479122
7613,BOS,114,52.068581,NYK,111,A,0.49771309
7618,BOS,116,52.650242000000006,NYK,98,H,0.76974738
7645,BOS,90,52.350975,NYK,92,H,0.78473878
7694,BOS,112,51.056366,NYK,110,A,0.51349735
7717,BOS,97,51.299332,NYK,85,H,0.77714384
7738,BOS,121,50.95414,NYK,122,H,0.77210212
7797,BOS,122,49.372646,NYK,91,H,0.71318597
7844,BOS,105,52.665611,DET,94,A,0.60249472
7855,BOS,131,53.639881,NYK,121,A,0.50734878
7877,BOS,111,55.084740000000004,DET,105,H,0.83969885
7931,BOS,112,58.173846999999995,DET,90,A,0.65916103
7948,BOS,120,58.693199,NYK,107,H,0.85680783
7957,BOS,80,55.707478,NYK,97,H,0.86073172
7978,BOS,124,55.547478000000005,DET,113,A,0.65062094
8014,BOS,103,56.477524,NYK,106,A,0.56113917
8066,BOS,120,56.20126,NYK,110,H,0.78109115
8126,BOS,123,52.534542,NYK,136,H,0.74641955
8155,BOS,131,50.532318,DET,113,H,0.8441115
8195,BOS,125,52.080841,NYK,104,H,0.6993643
8238,BOS,121,50.232498,NYK,114,A,0.42432624
8243,BOS,119,50.415024,DET,115,H,0.82382554
8300,BOS,109,49.52544,DET,111,H,0.82939202
