,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
118477,BRK,107,28.271178999999997,TOR,100,H,0.55517489
118507,BRK,96,26.963709,MIN,107,H,0.598436
118542,BRK,73,26.672024,MIA,103,A,0.094873369
118576,BRK,107,31.54862,ORL,68,A,0.21432954
118603,BRK,82,32.218159,ORL,74,H,0.60770661
118628,BRK,114,32.82798,CLE,101,H,0.71968502
118660,BRK,102,33.703990999999995,BOS,97,H,0.41432688
118712,BRK,99,34.840733,SAC,90,A,0.44534487
118731,BRK,90,34.538952,LAL,95,A,0.24251038
118746,BRK,93,33.898453,GSW,102,A,0.35018712
118766,BRK,86,35.281428999999996,LAC,76,H,0.38946423
118805,BRK,98,36.182018,POR,85,H,0.61959612
118816,BRK,96,37.177859999999995,NYK,89,H,0.44645032
118844,BRK,95,39.366661,BOS,83,A,0.2420665
118884,BRK,98,40.716381,ORL,86,A,0.4592942
118902,BRK,89,40.355366,MIA,102,A,0.17124557
118926,BRK,111,39.770203,OKC,117,H,0.38450253
118967,BRK,102,38.462604999999996,GSW,109,H,0.6696135999999999
119009,BRK,88,37.067898,MIL,97,H,0.63460273
119032,BRK,97,36.618214,NYK,100,H,0.40753666
119064,BRK,94,37.468422,TOR,88,A,0.47756809
119074,BRK,107,37.742290000000004,DET,105,H,0.6965521
119100,BRK,82,37.578205,CHI,83,A,0.22783315
119136,BRK,90,37.005196000000005,UTA,92,H,0.55307364
119168,BRK,86,36.578762,NYK,100,A,0.19167113
119223,BRK,95,36.960026,PHI,92,H,0.6443038000000001
119234,BRK,76,35.225933000000005,BOS,93,H,0.55502182
119252,BRK,93,34.413052,MIL,108,A,0.32450598
119273,BRK,97,34.766360999999996,CHA,81,H,0.84788471
119298,BRK,103,34.986633000000005,CLE,100,H,0.77490073
119336,BRK,73,34.592220000000005,SAS,104,A,0.11079489999999999
119365,BRK,110,38.478535,OKC,93,A,0.10347139999999999
119398,BRK,115,38.886536,WAS,113,A,0.57845032
119402,BRK,113,39.769371,SAC,93,H,0.71054059
119452,BRK,109,41.966545,PHI,89,A,0.39744753
