,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
97918,CHA,96,21.239971,WAS,103,H,0.50844926
97944,CHA,111,22.026915,ORL,100,H,0.54939246
98011,CHA,100,21.924789,MIL,102,A,0.15820879
98028,CHA,74,21.56926,BOS,91,A,0.17974502
98046,CHA,87,20.618299,GSW,103,H,0.43682927
98082,CHA,105,20.446966,UTA,107,H,0.2581546
98118,CHA,89,19.671728,CLE,106,H,0.36717469
98145,CHA,84,19.431186999999998,CLE,100,A,0.14054424
98161,CHA,116,19.398605,DET,117,A,0.072027385
98185,CHA,91,20.140045,DET,89,H,0.19629553
98238,CHA,77,20.073110999999997,IND,82,A,0.081816137
98252,CHA,107,21.03698,ATL,92,H,0.53650904
98351,CHA,107,21.44903,NYK,101,H,0.41801524
98391,CHA,93,21.290215,LAC,99,A,0.15672082
98408,CHA,92,21.150501000000002,SAC,109,A,0.079435885
98451,CHA,106,21.057873,PHO,115,A,0.079524755
98474,CHA,87,20.723623,GSW,99,A,0.21303636
98565,CHA,101,21.495867,HOU,100,H,0.35059065
98624,CHA,90,22.092756,HOU,87,A,0.14635313
98661,CHA,82,21.828497,NYK,91,A,0.19717968
98684,CHA,87,21.425068,WAS,106,A,0.18840557
98701,CHA,71,21.134182,IND,74,H,0.35035422
98741,CHA,90,20.761139,MIA,113,A,0.06872147299999999
98767,CHA,83,20.213388000000002,CLE,94,H,0.34455946
98793,CHA,102,22.45594,MIN,84,H,0.23642397
98835,CHA,91,21.992437,ORL,111,A,0.20310289
98881,CHA,98,21.904488,CLE,100,A,0.13873827
98924,CHA,89,21.248772,MEM,109,H,0.27857959
98944,CHA,95,20.842566,ATL,103,A,0.31045318
98974,CHA,92,20.256229,MIL,99,H,0.45368862
99007,CHA,105,19.986994,PHI,107,H,0.38246241
99031,CHA,99,19.800086999999998,DAL,105,H,0.18854895
99081,CHA,92,19.572109,TOR,103,A,0.16562492
99096,CHA,92,19.227888,BOS,97,H,0.35041659999999997
99132,CHA,93,19.097359,CHI,101,A,0.121921
99143,CHA,101,19.941645,TOR,94,H,0.38391167
99182,CHA,90,19.776241,LAL,101,A,0.12402916
99219,CHA,109,20.739618,UTA,105,A,0.20655036
99256,CHA,89,20.475443,POR,101,A,0.17480075
99300,CHA,85,20.152138,SAS,104,H,0.096347511
99323,CHA,87,20.010475,IND,94,A,0.13634825
99347,CHA,87,19.771696,MIA,97,H,0.1806003
99391,CHA,99,19.602877,NYK,102,A,0.23030466
99399,CHA,77,19.284073,POR,80,H,0.39740631
99425,CHA,94,20.166420000000002,DEN,88,H,0.3292231
99449,CHA,102,19.522331,MIL,112,H,0.42106485
99510,CHA,90,19.105494,CHI,94,H,0.28464437
99552,CHA,94,20.328081,SAC,87,H,0.21907496
99593,CHA,84,19.716669,BOS,104,A,0.12526101
99618,CHA,84,19.476824,WAS,86,H,0.35268533
