,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
14307,CHI,134,27.021889,LAL,124,H,0.3263551
14314,CHI,108,27.907015,LAL,101,A,0.14784729
14326,CHI,105,26.446892,NYK,124,H,0.49751461
14337,CHI,100,26.221413000000002,BOS,123,A,0.09012997199999999
14343,CHI,117,24.899577999999998,DET,129,H,0.59669983
14365,CHI,108,24.500813,BOS,137,A,0.086462855
14389,CHI,101,29.097254,BOS,112,H,0.27223837
14397,CHI,98,28.445253000000005,NYK,103,H,0.48799276
14408,CHI,113,28.269940999999996,PHI,126,A,0.09854871
14421,CHI,126,27.963375,PHI,132,H,0.2428228
14443,CHI,120,26.183281,PHI,145,H,0.21645132
14451,CHI,104,25.800729999999998,NYK,116,A,0.2137174
14472,CHI,130,25.209419,LAL,154,A,0.20921308
14484,CHI,121,26.350895,LAL,117,A,0.19696188
14521,CHI,98,25.466316,DET,104,A,0.25898159
14533,CHI,119,25.379848000000003,PHI,129,A,0.063746691
14539,CHI,103,25.047775,PHI,117,H,0.17555362
14555,CHI,110,26.501894,BOS,125,A,0.082975745
14574,CHI,93,25.869513,DET,87,H,0.52482682
14607,CHI,110,28.857859,NYK,107,H,0.53837854
14615,CHI,102,28.347036,DET,103,H,0.61851597
14622,CHI,132,28.161509999999996,NYK,133,A,0.27485055
14651,CHI,106,28.598060999999998,BOS,110,H,0.23550221
14676,CHI,115,29.015511,PHI,136,A,0.061930001
14683,CHI,135,30.405731,DET,126,A,0.33394545
14699,CHI,108,29.411383,PHI,117,H,0.18971239
14715,CHI,102,28.509586,BOS,122,A,0.092447877
14724,CHI,122,28.905151,LAL,121,H,0.49021852
14733,CHI,131,30.250346999999998,NYK,116,H,0.48725959999999996
14741,CHI,101,29.826887,BOS,109,H,0.2721667
14755,CHI,102,30.130558,PHI,127,H,0.17718929
14761,CHI,125,30.36454,DET,124,H,0.67380583
14780,CHI,95,28.813646000000002,DET,108,H,0.69037777
14812,CHI,122,26.873039000000002,LAL,142,H,0.49642581
14866,CHI,90,26.005241,DET,98,H,0.60291487
14875,CHI,103,25.517559,NYK,106,H,0.48617609999999994
14882,CHI,121,25.182076000000002,NYK,122,H,0.47067955
14901,CHI,121,24.440729,LAL,129,A,0.14790219
14936,CHI,133,26.930034999999997,LAL,119,A,0.13823628
14951,CHI,117,28.018279999999997,NYK,103,H,0.53784728
14986,CHI,129,28.626428999999998,PHI,122,H,0.17441511
14993,CHI,108,28.525131,BOS,114,A,0.090778589
15025,CHI,117,31.402336,BOS,114,H,0.24735598
15069,CHI,98,29.993214000000002,DET,91,A,0.35651714
15094,CHI,122,31.826121999999998,LAL,109,H,0.49569419
15164,CHI,90,35.661411,BOS,105,A,0.15894252
15177,CHI,105,35.078865,LAL,107,H,0.56458932
15250,CHI,99,31.631359000000003,DET,107,A,0.33557224
15268,CHI,117,31.285988,LAL,125,A,0.22469985
15404,CHI,93,29.562782000000002,BOS,107,H,0.25374609
15440,CHI,96,29.417345,LAL,97,A,0.21907270000000004
15475,CHI,115,29.073796999999995,LAL,124,A,0.21612257
15509,CHI,132,28.708557,DET,130,H,0.48931772
15537,CHI,123,28.494696,NYK,125,A,0.2651068
15566,CHI,106,30.535452000000003,NYK,96,H,0.54680073
15579,CHI,104,29.944574,PHI,122,H,0.23169622
15600,CHI,119,31.862935999999998,PHI,114,A,0.081682622
15663,CHI,102,31.410784000000003,NYK,100,H,0.54407889
15720,CHI,121,33.255383,DET,135,A,0.28647894
15807,CHI,106,33.769042999999996,LAL,101,A,0.18506825
15832,CHI,123,31.5452,PHI,143,H,0.28653339
15940,CHI,101,29.550397999999998,LAL,104,H,0.43543988
16018,CHI,95,32.885639000000005,BOS,84,H,0.35288221
16056,CHI,99,32.866364000000004,NYK,121,H,0.62399137
16240,CHI,111,31.478014,PHI,135,H,0.32725146
16285,CHI,118,30.389291999999998,NYK,126,H,0.49666366
16362,CHI,109,29.538534000000002,BOS,118,A,0.14866513
16374,CHI,103,28.689577000000003,NYK,112,H,0.46320649999999997
16470,CHI,131,28.813086,DET,110,H,0.52423304
16487,CHI,113,28.718615999999997,PHI,118,A,0.09253186
16562,CHI,105,28.936161,LAL,132,H,0.3098079
16576,CHI,108,28.047356,BOS,124,H,0.35906208
16633,CHI,124,30.236766999999997,DET,121,H,0.60040659
16681,CHI,101,30.279197999999997,NYK,109,A,0.19208473
16723,CHI,107,29.753008,LAL,117,H,0.29237005
16734,CHI,87,29.574403999999998,BOS,94,A,0.13753366
16758,CHI,123,28.890960999999997,DET,134,A,0.35013133
16782,CHI,119,28.290829,DET,121,H,0.61089647
16811,CHI,118,29.486839,BOS,112,H,0.29175186
16879,CHI,115,29.311737,PHI,139,H,0.212346
16931,CHI,122,28.164433000000002,PHI,144,H,0.2142982
17012,CHI,101,28.475990000000003,LAL,109,A,0.12674469
17020,CHI,106,28.345067999999998,LAL,111,A,0.12445033
17039,CHI,104,29.503365999999996,LAL,98,H,0.30671582
