,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
21577,CLE,112,25.718372,POR,115,A,0.34812194
21625,CLE,98,24.028586999999998,POR,120,A,0.34685749
21669,CLE,104,23.173239000000002,PHO,108,A,0.15954822
21696,CLE,96,22.921692,LAL,123,A,0.096035779
21782,CLE,107,20.305723,ATL,131,H,0.34758216
21792,CLE,87,19.742722,PHI,141,A,0.1350804
21817,CLE,108,19.636774,MIL,110,H,0.17418049
21928,CLE,105,18.965007999999997,POR,103,A,0.28683269
21965,CLE,116,18.331585,POR,126,A,0.3021459
22040,CLE,112,17.785519,BOS,116,A,0.10541958
22067,CLE,94,17.739244,NYK,102,A,0.05039525
22087,CLE,99,17.319288,PHO,114,H,0.25424379
22144,CLE,102,16.224664999999998,POR,111,H,0.54059094
22185,CLE,99,15.482779999999998,DET,120,H,0.27209920000000004
22244,CLE,107,15.270320000000002,BOS,118,H,0.18238311
22322,CLE,102,15.049313,POR,109,H,0.52819884
22344,CLE,92,14.967433999999999,MIL,134,A,0.034106672000000005
22402,CLE,92,14.264904999999999,NYK,110,A,0.04133445
22418,CLE,84,14.057196,NYK,108,H,0.11892589
22484,CLE,103,14.266701000000001,CHI,116,H,0.16551161
22504,CLE,80,14.131257999999999,CHI,121,A,0.056936680999999996
22575,CLE,114,16.378269,PHI,101,H,0.18614112
22605,CLE,97,16.197367,MIL,119,H,0.10085765
22643,CLE,85,15.804839999999999,ATL,119,A,0.15376472
22659,CLE,73,15.338064000000001,MIL,118,A,0.033794641
22690,CLE,106,14.561433,POR,119,H,0.50527757
22722,CLE,94,14.286593,NYK,127,H,0.12273086
22736,CLE,105,14.159267000000002,LAL,110,H,0.18182379999999998
22825,CLE,106,15.162182999999999,DET,108,A,0.069861293
22863,CLE,96,15.058845999999999,PHI,115,A,0.070406377
22966,CLE,110,17.381268,BOS,121,A,0.10193706
22989,CLE,117,17.87657,BOS,116,H,0.26029468
23019,CLE,118,18.855555,POR,104,H,0.48298261
23036,CLE,111,18.645153,ATL,119,A,0.18835682
23177,CLE,91,19.341913,PHO,119,A,0.092935443
23200,CLE,103,19.065844,POR,112,A,0.221385
23223,CLE,111,18.910534,LAL,116,H,0.17906928
23261,CLE,105,18.628773000000002,PHO,114,H,0.22848688
23296,CLE,83,17.758556,CHI,108,A,0.06932199
23335,CLE,104,17.606916000000002,CHI,109,H,0.18332964
23397,CLE,105,18.501434,POR,123,A,0.22956073
23490,CLE,90,18.093737,LAL,107,A,0.064160466
23588,CLE,104,18.652199,DET,100,A,0.11799753
23613,CLE,113,18.334759,PHI,124,H,0.22975194
23648,CLE,107,17.920713,ATL,119,H,0.27878144
23772,CLE,114,19.107819,DET,103,H,0.36196336
23781,CLE,110,18.685188,POR,113,H,0.50623363
23803,CLE,112,18.339935,POR,114,H,0.48988682
24084,CLE,120,23.09519,NYK,121,H,0.35589879999999996
24097,CLE,82,22.958174,MIL,116,A,0.047774434000000005
24113,CLE,98,22.054438,GSW,115,H,0.39182189
24168,CLE,93,22.972601,PHI,111,H,0.32178593
24211,CLE,106,22.769947,PHI,120,A,0.11929512
24229,CLE,97,22.513737,ATL,98,H,0.39935827
24262,CLE,102,22.272485999999997,MIL,118,H,0.13020177
24314,CLE,87,21.499653,PHO,107,H,0.31786352
24351,CLE,120,22.746859,POR,99,H,0.5438751000000001
24415,CLE,106,23.089428,POR,104,A,0.32015884
24448,CLE,105,22.859389999999998,PHO,119,A,0.13319403
24461,CLE,90,22.732315,LAL,108,A,0.06760060799999999
24498,CLE,105,22.077768,POR,118,A,0.34847504
24530,CLE,105,21.318621,BOS,128,H,0.28943628
24608,CLE,103,24.606375,ATL,95,A,0.23708934
24634,CLE,124,25.237148,PHI,120,H,0.45291701
24668,CLE,116,26.231096,HOU,106,H,0.47677234
24741,CLE,99,25.258999,CHI,115,A,0.097385943
24758,CLE,107,24.949175,BOS,126,A,0.13795149
24787,CLE,112,25.284454,DET,111,H,0.52762407
24833,CLE,92,24.344148999999998,NYK,103,H,0.32802901
24895,CLE,109,24.865574,BOS,115,H,0.31119072
24922,CLE,84,24.566343,NYK,104,A,0.13061893
24941,CLE,101,23.929403,CHI,119,H,0.27203390000000005
24975,CLE,94,23.45624,DET,104,A,0.29626518
24985,CLE,115,24.095129,ATL,110,H,0.48026475
25046,CLE,112,24.960995,POR,111,H,0.68613762
25062,CLE,103,25.304754,PHI,102,H,0.51832837
25114,CLE,119,23.275532000000002,PHI,148,H,0.53373837
25159,CLE,103,23.126953,LAL,113,H,0.10868328
25212,CLE,102,21.764835,POR,125,A,0.39126647
25249,CLE,92,21.579833999999998,GSW,101,A,0.14517772
25293,CLE,107,21.470169,PHO,117,A,0.086373627
25310,CLE,109,21.342152,HOU,112,A,0.17230958
25374,CLE,91,20.613363,MIL,120,A,0.036507368
25427,CLE,111,19.747301,GSW,117,H,0.29130703
25451,CLE,112,21.143707,BOS,108,A,0.077587247
25535,CLE,108,20.216232,DET,133,A,0.29495609
25576,CLE,117,19.79702,ATL,120,A,0.18498188
25620,CLE,90,18.352478,CHI,114,A,0.059469521
25641,CLE,121,18.285316,MIL,126,H,0.086972095
25689,CLE,91,18.187910000000002,NYK,106,A,0.067989409
25707,CLE,121,17.228807,DET,136,H,0.50114506
25748,CLE,116,17.005564,PHI,126,A,0.18691999
25806,CLE,111,18.528688,NYK,109,H,0.16987164
25853,CLE,111,18.426897,BOS,113,H,0.17482346
25879,CLE,113,18.978178,POR,104,H,0.59593886
25913,CLE,125,18.866820999999998,PHO,127,H,0.18640015
25940,CLE,105,18.795729,BOS,115,A,0.06341666
25988,CLE,130,20.359447,HOU,123,A,0.11937702
26028,CLE,112,20.282753,GSW,119,A,0.078256905
26069,CLE,98,20.1805,LAL,132,A,0.03949821
26089,CLE,114,19.751909,ATL,135,A,0.19573903
26180,CLE,91,21.032623,CHI,109,H,0.19774182
26203,CLE,105,20.386599,ATL,115,H,0.41235521
26245,CLE,124,21.712954999999997,LAL,120,H,0.09670287400000001
26264,CLE,119,21.14065,HOU,127,H,0.40906590000000004
26292,CLE,83,20.915081,NYK,98,A,0.13210052
26527,CLE,108,23.484776,HOU,109,H,0.39107179999999997
26566,CLE,83,23.188143,LAL,95,H,0.18057056
26601,CLE,89,22.978758,NYK,92,H,0.25374943
26623,CLE,96,22.603447,DET,103,A,0.29668421
26640,CLE,84,22.266233,MIL,104,H,0.15281901
26655,CLE,90,22.006795999999998,NYK,123,A,0.088600934
26670,CLE,113,23.027334,PHI,108,A,0.25905603
26688,CLE,97,22.787096,BOS,123,A,0.09474480199999999
26744,CLE,126,24.961571,PHI,116,H,0.58264822
26812,CLE,106,25.461349,PHO,107,H,0.32991338
26845,CLE,99,25.291752,PHO,107,A,0.13149309
26864,CLE,88,25.08168,LAL,118,A,0.072820544
26921,CLE,91,25.655987,POR,100,A,0.40685916
26985,CLE,109,26.371887,ATL,98,H,0.40303805
27078,CLE,102,27.643998999999997,POR,105,H,0.67768645
27098,CLE,84,27.390739,NYK,107,A,0.098019958
27139,CLE,113,26.947231,DET,114,H,0.56781596
27233,CLE,87,26.456339,BOS,96,H,0.25385949
27256,CLE,88,26.140675,BOS,123,A,0.092884839
27270,CLE,100,25.829224,GSW,103,H,0.33575732
27331,CLE,82,25.557627,MIL,98,A,0.069778085
27341,CLE,94,25.35829,ATL,100,A,0.17448598
27361,CLE,109,25.048384,HOU,110,H,0.44287699
27410,CLE,87,24.650967,NYK,98,H,0.23676094
27460,CLE,115,26.600109000000003,ATL,96,H,0.3674835
27492,CLE,105,26.369095,GSW,118,A,0.12990856
27552,CLE,111,28.333553000000002,PHO,88,H,0.3399258
27610,CLE,108,30.394762,LAL,93,H,0.23507765
27632,CLE,102,31.096075,HOU,97,H,0.49474353
27696,CLE,113,30.649557,PHI,109,H,0.81819373
27717,CLE,123,32.210533,HOU,115,A,0.25947142
27749,CLE,100,33.282528000000006,GSW,98,A,0.15616637
27792,CLE,108,34.276073,HOU,104,A,0.31205881
27806,CLE,84,33.640823,ATL,96,A,0.29975677
27867,CLE,105,33.802383,PHI,100,H,0.85867935
27929,CLE,112,35.15657,MIL,98,H,0.26275864
27940,CLE,89,35.029713,BOS,94,A,0.11288917
27989,CLE,90,34.879211,NYK,95,A,0.13154382
28010,CLE,97,34.011348999999996,NYK,114,H,0.32017446
28029,CLE,110,35.200832,BOS,105,H,0.28164035
28047,CLE,136,36.263222,ATL,132,A,0.28813392
28059,CLE,97,35.453808,CHI,103,H,0.50540876
28088,CLE,107,34.347454,ATL,115,H,0.57056391
28113,CLE,90,33.349094,GSW,103,H,0.41883501
28148,CLE,92,33.025635,CHI,100,A,0.20883399
28169,CLE,106,33.759033,DET,104,A,0.32621515
28219,CLE,100,33.470871,MIL,118,H,0.33040291
28247,CLE,121,34.205729999999996,POR,102,H,0.73846203
28277,CLE,92,33.591091,BOS,105,H,0.27903003
28349,CLE,92,32.079390999999994,POR,106,A,0.50321126
28381,CLE,84,31.556246,LAL,127,A,0.11781228
28407,CLE,102,31.116974,PHO,110,A,0.27678317
28416,CLE,118,32.265926,HOU,100,H,0.5995691999999999
28462,CLE,116,31.377142,HOU,131,A,0.35814905
28501,CLE,115,32.391171,ATL,107,H,0.45420924
28596,CLE,131,35.338894,PHI,105,H,0.8523159
28619,CLE,112,35.699692,PHI,109,A,0.65824997
28677,CLE,112,36.042778000000006,CHI,105,H,0.43433276
28710,CLE,105,35.517288,CHI,121,A,0.21387303
28723,CLE,119,34.165813,DET,131,H,0.55049759
28924,CLE,99,34.723663,HOU,106,H,0.6116156
28966,CLE,83,33.471096,DET,95,H,0.52172959
28996,CLE,90,33.178546999999995,NYK,92,H,0.32875398
29023,CLE,88,32.942509,MIL,101,A,0.12161481
29046,CLE,103,33.540577,POR,96,H,0.62383705
29122,CLE,102,31.543564,BOS,99,H,0.34116679
29145,CLE,110,31.172171000000002,BOS,128,A,0.1523816
29162,CLE,100,30.502995000000002,MIL,118,H,0.25619847
29187,CLE,94,30.265886,CHI,105,A,0.13802493
29205,CLE,110,29.726629,ATL,115,H,0.41287839
