,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
43665,DAL,103,23.345164999999998,SAS,92,H,0.36104888
43697,DAL,98,22.296235999999997,DEN,133,A,0.23671526
43744,DAL,96,21.454264000000002,SAS,110,A,0.1522851
43766,DAL,99,21.341915,PHO,111,A,0.07991927900000001
43798,DAL,105,22.569632000000002,POR,120,A,0.16532081
43806,DAL,79,22.326353,GSW,86,A,0.20585138
43836,DAL,96,21.537106,UTA,104,H,0.52222455
43848,DAL,103,21.357193,HOU,109,A,0.17454487
43881,DAL,122,20.833351,UTA,144,A,0.21947938
43945,DAL,102,19.180414000000003,LAL,126,H,0.13927022
43959,DAL,73,18.268887,DET,101,A,0.32630801
43987,DAL,94,17.73625,HOU,105,H,0.36277288
44023,DAL,113,18.612707,POR,106,H,0.34456518
44053,DAL,102,18.571346,LAL,110,A,0.044191837000000005
44066,DAL,91,18.36474,PHO,102,H,0.15793748
44130,DAL,96,17.678667,POR,116,A,0.15358186
44138,DAL,92,17.510702,PHI,108,H,0.10913117
44169,DAL,117,17.272062,DEN,119,H,0.37681949
44191,DAL,90,17.038067,HOU,115,A,0.11308032
44215,DAL,102,16.679731,CLE,109,H,0.33952259999999995
44252,DAL,87,16.633463,BOS,97,A,0.046593547
44268,DAL,104,16.523245000000003,ATL,110,A,0.13276875
44302,DAL,92,16.341198000000002,LAL,103,H,0.15228538
44311,DAL,107,16.167391000000002,DEN,116,A,0.16417223
44376,DAL,83,16.396862,SAS,89,H,0.20725639
44401,DAL,102,16.338362,PHO,115,A,0.050167977999999995
44434,DAL,98,15.975744,GSW,101,H,0.302762
44462,DAL,96,15.569123999999999,UTA,101,H,0.45448834
44482,DAL,119,16.321323,DEN,111,H,0.40377727
44504,DAL,96,16.25001,MIL,112,A,0.053178847
44521,DAL,100,16.053873,CLE,112,A,0.15668917
44533,DAL,98,16.01425,NYK,100,A,0.082877696
44552,DAL,120,15.786574,HOU,124,H,0.30573663
44609,DAL,111,16.492823,GSW,109,A,0.092040241
44624,DAL,97,16.389177,UTA,99,A,0.19139898
44670,DAL,112,16.85037,CHI,106,H,0.23744746
44709,DAL,118,17.994379000000002,NYK,110,H,0.24367315
