,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
36029,DEN,123,51.306133,IND,110,A,0.49230981
36086,DEN,119,52.194424,MIL,100,H,0.84526682
36105,DEN,113,52.51086,PHO,107,H,0.75560546
36141,DEN,119,52.84539399999999,NYK,110,H,0.78902948
36160,DEN,99,53.569851,CHI,85,A,0.67538261
36185,DEN,105,53.87335600000001,MIL,103,A,0.64183772
36205,DEN,123,54.21122,GSW,117,H,0.73536837
36306,DEN,108,54.244499,BOS,112,A,0.47740537
36326,DEN,115,53.457264,NYK,120,A,0.56863451
36356,DEN,122,54.452065000000005,LAL,112,H,0.77298224
36396,DEN,122,53.614513,IND,113,H,0.7785663
36424,DEN,93,53.05365,CLE,99,A,0.40127814
36448,DEN,102,52.039478,PHI,114,A,0.46105552
36501,DEN,122,53.071453000000005,MIL,115,H,0.88580751
36524,DEN,104,53.640415000000004,CLE,94,H,0.68205893
36564,DEN,83,51.522129,LAL,112,A,0.51128197
36619,DEN,105,51.487144,POR,127,A,0.4041571
36623,DEN,111,51.669655,CHI,106,H,0.83739781
36653,DEN,108,52.311531,PHI,94,H,0.71153003
36699,DEN,101,52.205975,BOS,103,H,0.75091141
36716,DEN,110,52.58203100000001,PHO,102,H,0.7529121
36743,DEN,123,53.18563100000001,DET,106,H,0.75242275
36762,DEN,145,54.024975,SAS,120,H,0.7365826999999999
36779,DEN,109,52.928116,ATL,113,A,0.76306033
36799,DEN,133,52.376743,SAS,137,A,0.46172959
36814,DEN,117,53.363769999999995,HOU,107,A,0.50401723
36831,DEN,119,53.766296,CHI,99,H,0.84081948
36888,DEN,116,54.721035,CLE,96,H,0.7431863000000001
36929,DEN,101,54.759636,GSW,107,A,0.53444421
37016,DEN,102,54.552330000000005,POR,107,H,0.69476283
37060,DEN,101,53.661015,PHI,107,H,0.70591766
37110,DEN,111,52.998107999999995,DET,124,A,0.53695548
37140,DEN,104,51.979359,PHO,115,A,0.4831084
37161,DEN,119,53.172203,POR,111,A,0.36984372
37178,DEN,101,52.154831,GSW,114,A,0.44410211
37195,DEN,109,51.510754,LAL,117,A,0.38680935
37261,DEN,133,52.239532000000004,POR,124,H,0.71534705
37269,DEN,111,52.5989,ATL,95,H,0.83776861
37291,DEN,118,53.088501,HOU,106,H,0.74807739
37342,DEN,121,53.30694200000001,BOS,100,H,0.7733804
37362,DEN,110,54.713882,DET,94,A,0.47642875
37410,DEN,110,53.804745,BOS,112,A,0.55670047
37440,DEN,114,54.457423999999996,NYK,108,A,0.54134655
37451,DEN,125,53.921341000000005,PHI,129,A,0.46058464
37457,DEN,95,52.998142,ATL,100,A,0.63567972
37499,DEN,107,52.382202,LAL,95,H,0.70848334
37511,DEN,98,51.082066,IND,109,A,0.5778954000000001
37521,DEN,107,49.332314000000004,NYK,115,H,0.78968596
37558,DEN,133,50.319355,DET,104,H,0.73580736
37588,DEN,120,49.529934000000004,SAS,122,H,0.71373415
37618,DEN,108,48.756347999999996,MIL,112,A,0.57983828
37641,DEN,115,49.236835,GSW,109,H,0.66311634
37660,DEN,119,49.656665999999994,IND,105,H,0.80542868
37694,DEN,97,49.274784000000004,CHI,107,A,0.37586486
37733,DEN,124,50.641937,PHO,109,A,0.49348515
37763,DEN,110,51.012211,ATL,95,H,0.83023238
37769,DEN,94,49.824753,CLE,108,A,0.47190768
37798,DEN,118,51.083584,HOU,110,A,0.35841626
37847,DEN,100,48.768917,POR,101,H,0.63576597
37856,DEN,121,49.556244,POR,110,H,0.62078917
37864,DEN,106,49.130009,POR,110,A,0.36160398
37871,DEN,96,48.494911,POR,105,A,0.35041565
37883,DEN,114,49.209492,POR,105,H,0.61342829
37891,DEN,92,48.285171999999996,POR,108,A,0.35248631
37939,DEN,133,47.190841999999996,MIL,115,H,0.74285769
37954,DEN,106,47.638634,LAL,101,H,0.66035587
37971,DEN,106,45.948879,DET,126,A,0.50141734
37994,DEN,104,44.040478,IND,129,A,0.48351026
38006,DEN,111,44.616707,POR,108,H,0.50426191
38054,DEN,93,43.901104,CLE,110,A,0.42333823
38084,DEN,109,43.760696,BOS,107,A,0.43870926
38113,DEN,101,42.412571,PHI,132,A,0.3182016
38126,DEN,111,43.810493,MIL,101,A,0.39447695
38194,DEN,123,45.143913,DET,113,H,0.69688779
38223,DEN,105,45.895081,SAS,94,H,0.64375412
38275,DEN,104,46.995487,ATL,105,A,0.50393236
38309,DEN,136,47.064941,IND,123,H,0.74181455
38326,DEN,97,45.923728999999994,PHO,115,A,0.38697433
38400,DEN,111,47.364288,LAL,109,A,0.48250306
38424,DEN,123,47.707653,ATL,116,H,0.76728034
38459,DEN,118,48.105323999999996,MIL,111,H,0.73518866
38479,DEN,96,47.766869,CHI,99,A,0.32689106
38588,DEN,93,43.529232,GSW,98,A,0.37144053
38616,DEN,127,44.929577,PHO,108,H,0.56066859
38636,DEN,130,45.858421,GSW,108,H,0.71201956
38653,DEN,106,46.404548999999996,ATL,104,A,0.46371728
38702,DEN,119,47.880115999999994,SAS,114,A,0.42510331
38736,DEN,109,48.310505,CHI,104,H,0.66991603
38778,DEN,109,49.064223999999996,HOU,106,A,0.53230447
38801,DEN,123,49.623554,LAL,112,H,0.71510172
38827,DEN,104,50.133083,CLE,89,H,0.77777195
38857,DEN,109,49.336414000000005,MIL,114,A,0.54963756
38877,DEN,141,48.493031,NYK,143,H,0.73914671
38895,DEN,114,47.407757000000004,CHI,131,A,0.38691336
38929,DEN,105,47.843861,HOU,100,H,0.77909249
38946,DEN,117,47.361228999999994,PHI,118,H,0.56356519
38975,DEN,119,48.140415000000004,NYK,115,A,0.42254573
38988,DEN,101,47.849339,PHI,104,A,0.28780311
39006,DEN,115,48.429802,DET,102,H,0.73422951
39029,DEN,114,48.71368,ATL,109,H,0.76784062
39046,DEN,108,47.770953999999996,GSW,119,A,0.43626493
39093,DEN,103,48.360741,POR,101,A,0.17892516
39122,DEN,87,46.357533000000004,CLE,119,A,0.50107515
39135,DEN,112,47.45583,POR,105,H,0.40021366
39162,DEN,118,47.700237,BOS,115,H,0.75297409
39192,DEN,96,46.492484999999995,IND,99,H,0.82558274
39214,DEN,99,45.915703,LAL,109,A,0.30083340000000003
39224,DEN,124,46.922740999999995,PHI,115,H,0.49848378
39252,DEN,122,48.103909,IND,106,A,0.57245111
39265,DEN,104,46.758392,CLE,110,H,0.73178947
39328,DEN,112,45.135651,PHO,126,H,0.68323994
39386,DEN,98,44.653114,CHI,95,H,0.70464921
39413,DEN,123,45.356770000000004,GSW,111,H,0.6787219
39460,DEN,95,42.821308,BOS,122,A,0.44679123
39480,DEN,114,42.166264,NYK,115,H,0.6883526999999999
39517,DEN,106,41.539455,SAS,123,A,0.23719877
39567,DEN,103,42.31562,NYK,106,A,0.4204464
39573,DEN,109,42.684115999999996,BOS,106,H,0.65698266
39626,DEN,109,42.384716,HOU,100,H,0.81488365
39679,DEN,111,44.869774,PHO,105,A,0.31887102
39699,DEN,93,44.434177000000005,POR,97,A,0.35783029
39718,DEN,137,43.967804,DET,139,A,0.47049922
39753,DEN,119,44.994068,MIL,103,H,0.62467664
39762,DEN,127,45.930443,MIL,111,H,0.6508798000000001
39769,DEN,112,44.193512,MIL,143,A,0.39547056
39777,DEN,118,46.090519,MIL,104,A,0.3504793
39782,DEN,112,44.987675,MIL,117,H,0.6780345999999999
39786,DEN,91,43.49044,MIL,119,A,0.37072867
39795,DEN,116,44.079174,MIL,110,H,0.61225921
39835,DEN,118,42.876591,SAS,117,H,0.57367951
39887,DEN,125,44.252098,POR,113,H,0.64527655
39915,DEN,125,44.562222,ATL,130,A,0.44115376
39953,DEN,108,45.052464,PHO,104,H,0.60516781
39977,DEN,99,43.805599,IND,112,A,0.49097085
40001,DEN,134,44.423458000000004,HOU,121,H,0.72557092
40008,DEN,107,43.225777,LAL,134,A,0.31391746
40047,DEN,110,44.062785999999996,CLE,93,H,0.69513595
40102,DEN,116,44.119125,NYK,109,H,0.6928645999999999
40118,DEN,150,46.539909,PHO,132,A,0.31589663
40153,DEN,100,44.772453000000006,NYK,106,A,0.43938661
40164,DEN,103,44.380772,PHI,109,A,0.27591538
40177,DEN,118,43.798153000000006,BOS,120,A,0.55899489
40229,DEN,111,42.776669,ATL,113,H,0.64678252
40292,DEN,100,41.641151,MIL,117,A,0.4425478
