,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
7845,DET,94,33.285812,BOS,105,H,0.39750528
7876,DET,105,35.604095,BOS,111,A,0.16030115
7898,DET,109,36.039398,NYK,107,H,0.55116034
7912,DET,109,35.680328,NYK,105,A,0.29616201
7930,DET,90,34.551315,BOS,112,H,0.34083897
7975,DET,102,33.724052,NYK,109,A,0.29714614
7979,DET,113,33.006935,BOS,124,H,0.34937909
8033,DET,109,31.899717,NYK,116,H,0.52051485
8076,DET,120,31.770212,NYK,125,A,0.22967362
8154,DET,113,29.896717,BOS,131,A,0.15588849999999999
8184,DET,92,30.209124,NYK,115,H,0.46406555
8233,DET,119,34.635212,NYK,105,H,0.46927363
8242,DET,115,32.699348,BOS,119,A,0.17617446
8279,DET,98,34.616669,NYK,100,H,0.54193181
8301,DET,111,33.564178000000005,BOS,109,A,0.17060798
8361,DET,99,37.101383,BOS,106,H,0.50355065
8371,DET,103,38.128788,NYK,101,A,0.28991085
8394,DET,103,39.176262,BOS,108,A,0.23872483
8482,DET,98,37.35767,BOS,112,A,0.25039232
8501,DET,101,38.169525,NYK,115,H,0.58471262
8511,DET,136,38.744492,BOS,133,H,0.50618547
8536,DET,102,37.519009000000004,BOS,115,A,0.24144870000000002
8585,DET,96,40.016075,BOS,110,A,0.25842804
8610,DET,108,39.876315999999996,NYK,110,H,0.57218558
8616,DET,99,41.327446,NYK,92,A,0.28356218
8658,DET,95,41.201595000000005,BOS,102,H,0.53193831
8708,DET,90,40.137238,NYK,93,A,0.34444141
8721,DET,102,38.178509000000005,NYK,106,H,0.61405498
8754,DET,90,36.903656,BOS,103,H,0.40034422
8814,DET,118,35.338608,NYK,122,A,0.27475226
8818,DET,118,35.233452,BOS,119,A,0.15612942
8912,DET,96,34.209751000000004,NYK,90,H,0.53019238
8921,DET,94,33.789268,BOS,120,A,0.13209742
8940,DET,106,31.763721000000004,BOS,111,H,0.30264112
8945,DET,114,33.014782000000004,NYK,101,H,0.49282846
9025,DET,120,32.414722,NYK,127,A,0.27236772
9114,DET,101,35.124321,NYK,107,H,0.58155459
9134,DET,109,34.487392,BOS,128,A,0.15787572
9163,DET,103,36.051926,NYK,94,A,0.30140275
9167,DET,129,35.653996,BOS,132,H,0.3701826
9194,DET,115,37.598896,NYK,104,H,0.59657335
9215,DET,110,36.890015000000005,BOS,136,A,0.20147264
9245,DET,108,36.726742,NYK,124,A,0.39610761
9281,DET,147,35.063534000000004,NYK,129,H,0.58824009
9315,DET,104,33.942444,BOS,136,H,0.31094423
9343,DET,109,29.301563,NYK,124,H,0.55019641
9374,DET,110,30.516182,NYK,121,A,0.24751246
9389,DET,103,28.060140999999998,BOS,126,H,0.25943524
9411,DET,114,28.307938,NYK,113,H,0.47937799
9486,DET,128,30.845545,BOS,146,A,0.09582877199999999
9536,DET,121,33.882542,BOS,153,A,0.11440581
9581,DET,116,28.660434999999996,BOS,136,H,0.21473359
9615,DET,107,30.07803,BOS,121,A,0.10075217
9665,DET,112,32.069656,NYK,120,A,0.33314753
9735,DET,116,32.942322,BOS,118,A,0.15032184
9761,DET,115,34.170345000000005,NYK,110,H,0.63911903
9809,DET,115,34.576492,BOS,114,A,0.17898202
9829,DET,122,33.788658,LAL,130,A,0.33774990000000005
9838,DET,131,32.970692,LAL,135,H,0.6018998000000001
9856,DET,128,32.364723,LAL,141,H,0.56929094
9862,DET,119,30.982623999999998,NYK,127,H,0.68343848
9879,DET,107,30.267722999999997,NYK,118,A,0.35757709
9882,DET,110,29.603415999999996,BOS,125,H,0.28593904
9952,DET,104,31.51926,NYK,108,H,0.65963542
9965,DET,103,30.775840999999996,LAL,107,H,0.57103252
9968,DET,97,31.259258000000003,LAL,94,H,0.54970193
9977,DET,106,30.669496999999996,BOS,150,A,0.13026202
10016,DET,116,34.796711,LAL,105,H,0.60887063
10022,DET,113,33.355164,LAL,123,H,0.63087922
10036,DET,102,32.146164,NYK,104,H,0.7111546999999999
10043,DET,102,31.735525,BOS,108,H,0.29784298
10055,DET,98,30.649521000000004,BOS,118,A,0.12176919
10103,DET,132,35.945541,NYK,128,H,0.70302689
10134,DET,111,39.216904,BOS,140,A,0.18584746
10146,DET,113,37.744476,LAL,137,A,0.39973795
10152,DET,116,37.462334000000006,LAL,117,A,0.36151493
10154,DET,121,38.151482,LAL,112,H,0.6344409000000001
10182,DET,120,37.581959000000005,LAL,125,H,0.65214372
10193,DET,120,36.421734,NYK,131,A,0.50553977
10208,DET,137,37.658821,BOS,134,H,0.41956419
10241,DET,106,32.343002,LAL,129,H,0.56220019
10270,DET,123,31.622137,NYK,117,H,0.60821563
10288,DET,99,30.41473,BOS,113,H,0.36038551
10312,DET,129,30.508343,NYK,112,H,0.64149839
10339,DET,120,31.418072,LAL,103,H,0.44663528
10343,DET,118,31.327284000000002,BOS,119,A,0.14168119
10359,DET,120,34.527190999999995,NYK,106,A,0.45233500000000004
10362,DET,102,33.76186,LAL,120,A,0.27894437
10366,DET,118,33.309864000000005,LAL,127,A,0.26189888
10371,DET,124,34.384399,LAL,113,H,0.51595944
10372,DET,123,35.267193,LAL,114,H,0.54624414
10379,DET,120,34.473675,LAL,137,A,0.29595363
10419,DET,102,37.818222,BOS,137,A,0.16398931
10431,DET,116,37.086334,LAL,120,H,0.54260159
10439,DET,118,36.603683000000004,LAL,128,A,0.25704014
10445,DET,126,36.172573,LAL,135,A,0.24695224
10456,DET,111,37.000504,NYK,95,H,0.68527079
10486,DET,116,37.896370000000005,BOS,110,A,0.12697721
10492,DET,124,38.824490000000004,NYK,118,A,0.44357497
10542,DET,108,38.808056,LAL,102,H,0.47971806
10564,DET,104,39.842896,LAL,103,H,0.48712072
10573,DET,101,39.317612,BOS,107,H,0.35174229999999995
10574,DET,108,39.106121,BOS,116,A,0.13938522
10613,DET,133,40.461777000000005,NYK,97,H,0.77175939
10627,DET,107,40.769009000000004,LAL,114,H,0.55585676
10672,DET,116,37.468559,LAL,122,H,0.51661432
10750,DET,104,34.44207,NYK,110,A,0.44001019
10754,DET,112,36.188828,BOS,103,H,0.2566323
10765,DET,111,35.617588,NYK,115,H,0.72910178
10808,DET,118,36.479744000000004,LAL,108,H,0.43203887
10812,DET,116,35.85611,BOS,126,H,0.32077691
10838,DET,124,35.782825,BOS,120,A,0.10399157
10877,DET,115,37.309566,NYK,107,H,0.69517183
10896,DET,122,36.173446999999996,LAL,123,H,0.45426359999999993
10987,DET,127,38.208816999999996,LAL,121,H,0.50366533
11013,DET,103,39.520824,NYK,110,A,0.48262340000000004
11044,DET,99,37.501391999999996,LAL,128,A,0.25749451
11053,DET,100,37.144489,LAL,107,A,0.23698336
11063,DET,109,35.519527000000004,NYK,119,H,0.67802155
11090,DET,119,35.743099,NYK,112,H,0.6436916
11098,DET,111,34.725826,BOS,130,H,0.3415052
11153,DET,108,35.696697,LAL,132,A,0.23003036
11154,DET,112,35.190395,LAL,127,A,0.21541393
11156,DET,106,34.557297,LAL,111,H,0.45068267
11163,DET,118,35.045204,LAL,117,H,0.43315569
11165,DET,132,36.753414,LAL,125,A,0.20335179999999997
11171,DET,117,35.964797999999995,LAL,123,H,0.49407044
11191,DET,106,35.702591,LAL,122,H,0.51498151
11228,DET,118,33.517765000000004,LAL,134,A,0.24263561
11239,DET,100,32.729649,BOS,115,H,0.32006741
11249,DET,114,32.526398,BOS,125,A,0.11753798
11315,DET,121,32.454948,NYK,113,H,0.66720003
11322,DET,98,31.201044,LAL,116,H,0.42945537
11363,DET,115,27.577126,BOS,125,A,0.10197508
11370,DET,143,29.781456,NYK,101,H,0.57123059
