,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
24045,GSW,97,41.613464,BOS,75,A,0.28825599
24099,GSW,84,40.137543,NYK,93,A,0.32383972
24112,GSW,115,41.272106,CLE,98,A,0.60817814
24155,GSW,115,41.761021,DET,109,H,0.66907877
24226,GSW,99,43.255344,CHI,83,A,0.24258375
24267,GSW,109,44.657471,LAL,105,A,0.26846302
24334,GSW,89,43.971207,LAL,105,H,0.57897282
24365,GSW,115,45.88641,HOU,99,H,0.75924146
24397,GSW,112,47.209221,NYK,103,A,0.3835808
24405,GSW,104,46.683624,ATL,106,A,0.5229069000000001
24459,GSW,122,47.561287,DET,101,A,0.47949582
24488,GSW,115,47.767952,POR,105,H,0.8760068999999999
24517,GSW,107,48.966590999999994,MIL,100,H,0.35597131
24533,GSW,96,45.634918,HOU,115,H,0.8162204000000001
24578,GSW,111,44.893581,PHI,112,H,0.74933946
24593,GSW,89,43.738083,CHI,121,A,0.27458131
24650,GSW,106,46.335442,MIL,103,A,0.13181067
24696,GSW,107,44.836498,POR,115,A,0.70206928
24712,GSW,92,41.404739,PHO,128,H,0.61423713
24728,GSW,87,40.305737,PHO,120,A,0.25654113
24737,GSW,113,39.794537,ATL,116,A,0.44859791
24773,GSW,111,39.075790000000005,LAL,124,H,0.31098458
24884,GSW,113,39.535633000000004,PHI,93,H,0.67893654
24896,GSW,99,39.126938,LAL,129,A,0.11460304
24920,GSW,129,40.062824,DET,102,H,0.74645501
24956,GSW,87,37.838463,NYK,113,H,0.53015631
25007,GSW,89,37.173088,NYK,114,A,0.1989091
25035,GSW,97,37.003956,BOS,99,A,0.20071357
25080,GSW,128,38.596169,DET,122,A,0.47887611
25171,GSW,119,39.348366,POR,115,H,0.83906007
25204,GSW,128,41.396252000000004,BOS,106,H,0.45596454
25230,GSW,113,41.948898,HOU,112,A,0.38899332
25248,GSW,101,42.186592,CLE,92,H,0.85482228
25286,GSW,115,42.77906,NYK,111,H,0.54232496
25365,GSW,113,43.888020000000004,ATL,111,A,0.50011134
25394,GSW,113,44.841892,PHI,106,A,0.46611387
25422,GSW,105,44.563721,CHI,110,A,0.22292602
25426,GSW,117,44.980762,CLE,111,A,0.70869297
25461,GSW,108,45.433273,CHI,107,H,0.46975353
25487,GSW,105,45.759921999999996,POR,102,A,0.68710786
25493,GSW,111,46.763374,PHO,100,H,0.54679847
25518,GSW,97,46.007191,MIL,108,H,0.35977361
25547,GSW,132,46.612564,ATL,115,H,0.76653057
25563,GSW,105,46.119263000000004,PHO,113,A,0.29534346
25583,GSW,96,45.389874,LAL,108,H,0.33224881
25653,GSW,121,46.082314000000004,PHI,112,H,0.78482968
25687,GSW,100,45.63047,MIL,123,A,0.15003878
25704,GSW,107,48.595501,CHI,88,A,0.23513603
25791,GSW,115,49.052803000000004,BOS,111,H,0.55887049
25868,GSW,116,50.228428,DET,106,H,0.87195075
25890,GSW,106,49.74836,CHI,107,H,0.57107949
25914,GSW,117,51.107712,HOU,104,A,0.45545334
25970,GSW,108,51.458313000000004,HOU,107,H,0.7471984
26029,GSW,119,52.525943999999996,CLE,112,H,0.92174309
26067,GSW,119,52.986763,HOU,116,A,0.55802232
26114,GSW,110,50.668774,BOS,124,A,0.34494251
26147,GSW,107,50.803554999999996,POR,94,H,0.92502683
26167,GSW,109,49.417778000000006,POR,114,A,0.79852116
26183,GSW,134,50.579483,PHO,116,H,0.59710377
26207,GSW,99,49.43399,LAL,162,A,0.1821661
26261,GSW,102,49.863147999999995,ATL,118,A,0.53958225
26319,GSW,116,50.149181,PHI,115,A,0.62120974
26330,GSW,117,52.359901,MIL,106,A,0.18720019
26355,GSW,93,51.6255,MIL,118,A,0.22980893
26365,GSW,94,49.752871999999996,MIL,122,H,0.46382594
26389,GSW,99,49.092571,MIL,106,H,0.41030884
26400,GSW,100,48.838207000000004,MIL,108,A,0.16943329999999998
26546,GSW,77,46.375065,MIL,81,H,0.42789462
26633,GSW,104,48.349327,POR,97,A,0.64560366
26678,GSW,93,47.824055,CHI,94,H,0.60187459
26692,GSW,119,51.936256,LAL,91,A,0.20044452
26711,GSW,122,52.444302,ATL,107,H,0.77261245
26747,GSW,112,52.610928,DET,104,H,0.87885374
26767,GSW,118,52.79295,POR,104,H,0.90370584
26802,GSW,127,54.14794499999999,NYK,104,H,0.58682841
26838,GSW,111,53.477764,BOS,128,A,0.4192223
26862,GSW,96,50.50626,DET,121,A,0.70177364
26889,GSW,103,51.163567,NYK,102,A,0.28347796
26908,GSW,114,52.166771000000004,ATL,105,A,0.47915125
26940,GSW,128,52.438255000000005,PHI,106,H,0.89606917
26957,GSW,97,50.887634000000006,POR,105,A,0.74387789
27020,GSW,104,48.802265000000006,HOU,132,A,0.55116296
27041,GSW,96,48.449146,CHI,100,A,0.30689782
27097,GSW,110,50.564785,PHO,102,H,0.70276523
27149,GSW,106,49.755096,PHO,115,A,0.43299282
27161,GSW,103,48.818160999999996,LAL,112,H,0.48292348
27196,GSW,108,49.174763,HOU,101,H,0.7568168000000001
27240,GSW,91,48.27737,MIL,124,A,0.22215766
27271,GSW,103,48.625183,CLE,100,A,0.66424268
27300,GSW,110,49.148792,DET,107,A,0.52893567
27383,GSW,115,50.032887,BOS,112,H,0.49824503
27435,GSW,127,51.094265,CHI,109,H,0.62396038
27493,GSW,118,50.228172,CLE,105,H,0.87009144
27555,GSW,112,51.217529,LAL,106,H,0.51092511
27582,GSW,108,51.561508,POR,83,H,0.88294643
27614,GSW,111,53.177715,PHI,79,H,0.94241107
27652,GSW,105,53.406684999999996,DET,98,H,0.8265214
27703,GSW,108,53.303936,PHO,107,A,0.44625598
27715,GSW,110,52.044571000000005,PHO,116,H,0.72881371
27748,GSW,98,51.000904,CLE,100,H,0.84383363
27767,GSW,123,51.268840999999995,HOU,117,H,0.79148036
27791,GSW,115,54.382206000000004,CHI,80,A,0.38233894
27830,GSW,108,53.733543000000004,MIL,124,A,0.27734405
27871,GSW,84,53.351826,LAL,100,A,0.30092399999999997
27886,GSW,107,51.864193,LAL,122,H,0.5550741
27918,GSW,84,51.314423,NYK,97,A,0.26212573
27945,GSW,131,50.510269,PHI,115,A,0.83624589
28049,GSW,123,50.59816,POR,111,H,0.88420153
28072,GSW,108,49.6488,MIL,135,A,0.26785362
28086,GSW,101,50.566978000000006,CHI,96,A,0.38742685
28112,GSW,103,51.534782,CLE,90,A,0.58116496
28170,GSW,106,49.047385999999996,BOS,110,H,0.49148786
28221,GSW,118,49.360657,ATL,115,H,0.69069821
28252,GSW,111,50.615757,LAL,106,A,0.24593669
28264,GSW,102,51.500881,MIL,93,H,0.53085411
28307,GSW,100,50.181067999999996,DET,114,A,0.51481879
28316,GSW,111,49.826023,BOS,118,A,0.24450308
28363,GSW,116,49.543240000000004,CHI,117,H,0.6281054
28401,GSW,108,50.128871999999994,DET,93,H,0.74944621
28456,GSW,113,49.622234000000006,ATL,117,A,0.41886306
28479,GSW,97,49.692028,PHI,93,H,0.92564386
28505,GSW,109,50.138729,POR,101,A,0.72130442
28524,GSW,141,50.583225,HOU,125,H,0.80909038
28553,GSW,108,47.991634000000005,NYK,117,H,0.55822837
28633,GSW,98,47.391552000000004,MIL,108,H,0.43455753
28645,GSW,124,46.968582,PHO,125,A,0.50811362
28698,GSW,114,45.623515999999995,PHO,120,H,0.76052541
28725,GSW,89,44.816608,LAL,96,H,0.46985471
28738,GSW,90,44.400036,MIL,110,A,0.15142941
28755,GSW,95,45.715790000000005,MIL,92,A,0.145603
28776,GSW,93,44.489810999999996,MIL,113,H,0.38405645
28793,GSW,102,45.524101,MIL,97,H,0.35244796
28810,GSW,100,46.778335999999996,MIL,97,A,0.16179019
28822,GSW,100,48.402332,MIL,86,H,0.41246215
28836,GSW,99,48.194168,LAL,101,A,0.24521726
28845,GSW,93,47.728115,LAL,104,A,0.2408765
28852,GSW,70,44.246094,LAL,126,H,0.48768779999999995
28860,GSW,117,45.467426,LAL,109,H,0.39235535
28866,GSW,118,45.128021000000004,LAL,128,A,0.18946981
28950,GSW,85,43.037265999999995,MIL,97,H,0.44961789
28969,GSW,120,45.431538,PHO,95,A,0.42573696
28980,GSW,95,44.922699,MIL,109,A,0.22353709
29048,GSW,121,46.250515,PHO,109,H,0.75179482
29105,GSW,116,45.50853,ATL,125,H,0.65373826
29158,GSW,105,45.225441,BOS,108,A,0.27673095
29239,GSW,111,45.56208,CHI,112,H,0.5373161999999999
29292,GSW,128,46.408031,CLE,115,H,0.80670595
29347,GSW,106,44.957091999999996,PHI,109,H,0.8897633
29383,GSW,108,46.155724,MIL,105,A,0.1816442
29405,GSW,101,46.808064,ATL,99,A,0.38672984
29423,GSW,111,46.965374,PHI,106,H,0.86333865
29441,GSW,107,48.451980999999996,NYK,99,A,0.2950446
29473,GSW,117,48.006279,CHI,123,A,0.31429791
29505,GSW,119,48.75425,POR,89,H,0.79913187
29573,GSW,93,46.704659,DET,112,H,0.64618671
29593,GSW,97,45.765743,PHO,103,A,0.56650525
29633,GSW,135,47.204291999999995,LAL,111,H,0.60320169
29664,GSW,114,47.609863,HOU,107,H,0.73162133
29704,GSW,101,46.539494,POR,109,A,0.55647624
29756,GSW,106,43.27961,BOS,125,H,0.43796483
29789,GSW,104,43.009087,DET,107,A,0.26421201
29811,GSW,86,42.173031,CHI,110,A,0.24746013
29868,GSW,117,40.37014,POR,118,H,0.7201938
29903,GSW,102,40.722706,LAL,100,H,0.62702668
29933,GSW,80,39.105164,CHI,91,H,0.46460369
29972,GSW,111,38.750042,LAL,114,A,0.3328836
29992,GSW,108,39.028355,HOU,106,H,0.69347644
30016,GSW,105,38.673546,POR,106,A,0.43486178
30033,GSW,104,40.141766,HOU,92,A,0.42342967
30092,GSW,80,40.235626,NYK,96,H,0.46053731
30137,GSW,127,40.617882,PHO,120,H,0.75025696
30181,GSW,123,43.368637,BOS,102,A,0.16035748
30260,GSW,106,44.184906,CLE,93,H,0.80320835
30304,GSW,129,45.852589,ATL,122,A,0.5417310000000001
30315,GSW,109,46.255074,HOU,108,A,0.5142169
30341,GSW,120,48.788345,MIL,91,H,0.43890202
30417,GSW,86,47.203239,DET,110,H,0.55469275
30464,GSW,121,47.7794,PHO,105,A,0.51355022
30491,GSW,102,46.903355,BOS,107,H,0.58049846
30518,GSW,121,47.315369,ATL,105,H,0.82617897
30548,GSW,107,46.75322,NYK,117,A,0.29575336
30561,GSW,108,47.723415,CHI,105,A,0.27012795
30588,GSW,104,48.225933000000005,CLE,98,A,0.65297675
30619,GSW,122,47.391040999999994,CLE,103,A,0.64139998
30649,GSW,125,47.726807,PHI,106,H,0.86880022
30687,GSW,120,48.253113,PHO,100,H,0.81041193
30716,GSW,129,48.568256,POR,109,H,0.87906033
30747,GSW,103,49.637066,CHI,88,H,0.58695686
30768,GSW,104,49.133724,LAL,108,A,0.4148581
30786,GSW,93,48.534508,DET,95,H,0.58445752
30815,GSW,97,49.386742,MIL,95,A,0.25590181
30831,GSW,106,49.947651,PHI,96,A,0.69876945
30878,GSW,120,50.856415000000005,DET,108,A,0.31017691
30896,GSW,108,50.397106,DET,113,A,0.35632062
30916,GSW,95,48.832138,NYK,107,H,0.62368596
30929,GSW,112,49.813431,LAL,107,A,0.36152548
30947,GSW,135,51.131699,LAL,105,H,0.66705191
30990,GSW,100,49.886776,MIL,111,H,0.55281693
31072,GSW,121,44.929778999999996,PHO,134,A,0.54609036
31095,GSW,143,45.404594,POR,120,H,0.84376305
31113,GSW,122,43.892719,POR,132,A,0.6428749
31299,GSW,90,43.359844,LAL,105,A,0.34230667
31322,GSW,113,43.617249,CLE,110,H,0.74663842
31353,GSW,106,42.793259,POR,107,H,0.79282582
31404,GSW,99,43.257706,POR,97,A,0.53240997
31417,GSW,105,43.637409000000005,DET,104,H,0.54047769
31507,GSW,99,47.20882,MIL,90,H,0.61614919
31528,GSW,109,48.038383,POR,100,A,0.56718487
31585,GSW,97,46.43425,NYK,93,H,0.64586741
31603,GSW,106,47.105740000000004,LAL,103,A,0.43659437
31618,GSW,128,47.743351000000004,ATL,111,H,0.75414175
31681,GSW,102,46.401665,PHI,106,H,0.81802374
31699,GSW,106,46.841384999999995,PHO,105,A,0.47797619999999996
31725,GSW,120,47.679809999999996,BOS,115,A,0.26438457
31747,GSW,74,45.481659,CLE,106,A,0.47293872
31779,GSW,110,47.114204,DET,98,A,0.37007236
31814,GSW,144,48.169193,HOU,124,H,0.65635103
31872,GSW,128,48.593235,LAL,118,H,0.76559037
31932,GSW,106,48.267315,PHO,108,A,0.53089911
31990,GSW,97,48.115790999999994,HOU,111,A,0.50222683
32019,GSW,129,48.839886,ATL,109,A,0.46382821
32082,GSW,126,50.320518,NYK,108,A,0.39469367
32127,GSW,94,50.612778000000006,PHI,93,A,0.6127100000000001
32171,GSW,111,49.278801,PHO,94,H,0.76947725
32195,GSW,112,49.643906,POR,101,H,0.80272663
32226,GSW,105,48.307827,BOS,115,H,0.60142541
32389,GSW,132,50.887778999999995,NYK,96,H,0.74578601
32421,GSW,105,50.877018,CHI,114,H,0.7265684
32460,GSW,100,49.699740999999996,MIL,119,A,0.39614916
32533,GSW,138,48.985096,LAL,108,H,0.75793284
32561,GSW,108,49.298969,PHI,100,H,0.7959891
32594,GSW,114,49.560715,POR,109,H,0.7820223000000001
32614,GSW,113,48.061287,POR,128,A,0.53896946
32637,GSW,90,47.684696,DET,93,A,0.35732418
32661,GSW,103,46.330559,CHI,127,A,0.37863982
32729,GSW,107,45.153217,HOU,105,A,0.41242313
32788,GSW,105,45.167915,PHO,96,H,0.73446816
32831,GSW,108,44.192161999999996,HOU,112,H,0.66894728
32854,GSW,93,43.699696,CLE,96,A,0.43693972
32864,GSW,87,42.919495,CHI,105,A,0.27753305
32886,GSW,108,43.979969,PHI,101,A,0.42298126
32933,GSW,98,43.587498,NYK,99,A,0.47219187
32956,GSW,108,43.955757,ATL,102,H,0.73897266
32969,GSW,105,45.070457,LAL,93,A,0.53181863
32976,GSW,114,45.992771000000005,BOS,108,H,0.44278789
33015,GSW,97,43.622261,PHO,111,H,0.7506578
33062,GSW,96,42.987194,PHO,102,A,0.41211075
33078,GSW,110,43.702209,CLE,95,H,0.7137651999999999
33100,GSW,86,41.173846999999995,POR,122,A,0.48658794
33118,GSW,117,42.640228,CHI,102,H,0.48489353
33147,GSW,106,42.037247,ATL,110,A,0.46406448
33196,GSW,102,42.197483,BOS,101,A,0.17411327
33227,GSW,107,44.476784,MIL,90,A,0.32925570000000004
33296,GSW,95,42.338196,LAL,111,A,0.53746909
33320,GSW,133,43.55088,PHO,103,H,0.70324159
33351,GSW,97,43.838718,POR,95,H,0.68417478
33380,GSW,133,44.830811,MIL,117,H,0.63525671
33424,GSW,139,45.434551,LAL,122,H,0.76842272
33485,GSW,115,45.753048,DET,112,H,0.72655153
33583,GSW,128,47.768375,PHO,99,A,0.53227627
33728,GSW,107,50.615173,CHI,89,H,0.63944978
33736,GSW,89,50.32346,CHI,90,A,0.38670170000000004
33746,GSW,101,49.728401,CHI,108,A,0.37871170000000004
33749,GSW,111,50.192619,CHI,106,H,0.64282197
33753,GSW,79,48.693695,CHI,89,H,0.6550113000000001
33757,GSW,86,50.585148,CHI,72,A,0.3358202
33762,GSW,83,50.967587,CHI,79,H,0.66521192
33783,GSW,89,51.565189000000004,CLE,83,A,0.52993155
33843,GSW,111,51.96508,NYK,94,A,0.5173192
33847,GSW,106,51.399353000000005,BOS,115,A,0.32702625
33949,GSW,111,52.617828,NYK,96,H,0.79764992
33978,GSW,114,52.865765,LAL,106,H,0.82732505
34000,GSW,103,53.08225600000001,CLE,98,H,0.80771476
34028,GSW,98,53.455288,CHI,87,H,0.78998446
34090,GSW,98,53.12062099999999,ATL,104,A,0.58663702
34163,GSW,108,56.155224,PHI,109,A,0.60076034
34189,GSW,106,56.428920999999995,MIL,105,A,0.60323751
34214,GSW,112,56.709309,PHO,100,H,0.83548093
34250,GSW,98,54.91341,PHO,115,A,0.62472391
34320,GSW,129,56.134602,DET,124,H,0.80407923
34347,GSW,101,56.428692000000005,POR,89,H,0.82935119
34406,GSW,91,57.348679000000004,CHI,87,A,0.70548213
34427,GSW,113,58.046986,DET,102,A,0.61417484
34466,GSW,124,58.564613,MIL,87,H,0.85344726
34489,GSW,108,58.940090000000005,POR,102,A,0.68448174
34552,GSW,110,58.021687,HOU,113,H,0.84452742
34573,GSW,92,57.196541,POR,96,A,0.6705637
34589,GSW,133,58.561142000000004,BOS,101,H,0.63243026
34614,GSW,113,59.065844999999996,LAL,105,A,0.64604789
34632,GSW,130,59.484253,LAL,99,H,0.86072093
34681,GSW,114,58.412464,PHO,110,A,0.63082075
34692,GSW,129,58.70286899999999,PHO,113,H,0.85031426
34718,GSW,117,59.20249200000001,NYK,87,H,0.83488816
34788,GSW,128,60.773444999999995,HOU,103,A,0.64905572
34800,GSW,91,59.74898100000001,ATL,97,A,0.70974779
34863,GSW,129,60.42933299999999,LAL,105,H,0.87176818
34890,GSW,123,59.514053000000004,POR,125,H,0.85964531
34920,GSW,115,60.04575,MIL,104,A,0.67848039
34924,GSW,103,58.802776,CHI,110,A,0.74871588
34951,GSW,123,59.066742000000005,PHI,114,H,0.80819833
34981,GSW,90,59.149826000000004,MIL,88,H,0.87113351
35036,GSW,111,57.171963,PHO,118,A,0.69352376
35066,GSW,109,58.083466,POR,105,A,0.5356555000000001
35112,GSW,113,56.776302,ATL,104,H,0.87044376
35138,GSW,106,56.837677,DET,105,H,0.89024633
35186,GSW,104,57.503147,NYK,96,A,0.57004094
35230,GSW,100,56.182976000000004,BOS,94,H,0.68630087
35246,GSW,94,56.287151,PHI,93,H,0.82653284
35301,GSW,121,56.87305799999999,PHI,114,A,0.59192824
35323,GSW,101,55.750862,BOS,119,A,0.42527127
35374,GSW,124,56.671195999999995,CHI,110,H,0.87135249
35383,GSW,99,55.67132900000001,LAL,106,A,0.61408329
35400,GSW,117,56.182556000000005,CLE,106,H,0.71266896
35436,GSW,112,56.492573,DET,108,A,0.69688821
35463,GSW,99,55.591927,CLE,110,A,0.46047187
35490,GSW,111,56.620579000000006,HOU,97,A,0.5472312
35520,GSW,110,55.166351,DET,101,H,0.86137682
35579,GSW,120,55.61803100000001,MIL,106,H,0.83395916
35608,GSW,118,55.871437,ATL,100,H,0.88329023
35642,GSW,104,52.796707,HOU,123,H,0.8194645
35668,GSW,113,53.289089000000004,LAL,97,H,0.78448278
35704,GSW,94,54.250141000000006,CHI,84,A,0.68058264
35780,GSW,111,54.730312,LAL,118,A,0.59300464
35806,GSW,111,54.954624,PHO,106,H,0.79605949
35828,GSW,121,55.316508999999996,POR,106,H,0.82347065
35916,GSW,127,54.571296999999994,DET,103,H,0.80671757
35930,GSW,111,52.284081,DET,123,H,0.81727135
35936,GSW,113,53.627342000000006,DET,96,A,0.51752567
35947,GSW,102,52.931582999999996,DET,106,A,0.55756509
35954,GSW,128,53.48046899999999,DET,109,H,0.78561389
35963,GSW,118,53.878283999999994,DET,116,A,0.55317265
35968,GSW,128,54.702907999999994,PHO,103,H,0.73792982
35973,GSW,101,53.275742,PHO,108,H,0.75701374
35979,GSW,99,54.242287,PHO,91,A,0.45287520000000003
35985,GSW,129,53.672203,PHO,133,A,0.48210955
35990,GSW,111,54.293346,PHO,95,H,0.73305643
35997,GSW,104,53.928467000000005,PHO,105,A,0.48367256
36000,GSW,86,52.427898,PHO,94,H,0.73911041
36072,GSW,96,46.363171,POR,110,A,0.48509026
36089,GSW,112,47.19352,POR,92,H,0.72094554
36106,GSW,114,47.448471000000005,ATL,106,H,0.83235753
36133,GSW,111,47.944881,DET,98,H,0.76850301
36156,GSW,96,46.854519,PHI,101,H,0.67846596
36182,GSW,111,46.161648,NYK,112,H,0.72185755
36204,GSW,117,45.791283,DEN,123,A,0.26463163
36256,GSW,120,44.676121,IND,112,H,0.69989532
36300,GSW,131,46.104313,PHO,111,H,0.68969256
36308,GSW,99,44.561240999999995,LAL,121,A,0.43926805
36360,GSW,107,43.983421,HOU,113,A,0.41275626
36389,GSW,121,43.688041999999996,SAS,123,A,0.32291889
36409,GSW,132,45.55806,ATL,98,A,0.60316992
36422,GSW,125,46.048584000000005,CHI,120,A,0.63683295
36453,GSW,124,46.688808,SAS,116,H,0.63225615
36479,GSW,116,46.989258,LAL,114,H,0.66805822
36502,GSW,120,48.123962,CLE,104,H,0.58606613
36550,GSW,124,48.09618,HOU,112,H,0.69610709
36585,GSW,116,46.592884000000005,DET,136,A,0.45858943
36616,GSW,117,47.376022,PHI,114,A,0.36871213
36662,GSW,120,47.757603,SAS,123,A,0.43089259
36676,GSW,103,46.431774,MIL,112,A,0.61915082
36718,GSW,102,44.068695,MIL,113,H,0.81816387
36745,GSW,124,44.725471,CHI,106,H,0.75988591
36764,GSW,105,45.256756,BOS,98,H,0.66679174
36784,GSW,120,46.682556,NYK,110,A,0.38034761
36806,GSW,100,46.050438,CLE,129,A,0.39342725
36856,GSW,121,44.946564,DET,129,H,0.69021797
36891,GSW,113,45.390495,IND,109,A,0.38918859
36918,GSW,97,43.191917,NYK,111,H,0.71528351
36928,GSW,107,44.072196999999996,DEN,101,H,0.46555576
36954,GSW,107,44.480061,PHO,103,H,0.66175604
36985,GSW,104,43.559578,ATL,97,A,0.5668714
37059,GSW,109,46.094456,BOS,92,A,0.4469896
37083,GSW,107,45.72168,NYK,108,A,0.45675600000000005
37116,GSW,109,45.019329,PHO,106,A,0.35069752
37122,GSW,138,45.588699,MIL,116,H,0.81148374
37179,GSW,114,48.184025,DEN,101,H,0.55589789
37213,GSW,117,47.68158,ATL,111,H,0.81507045
37239,GSW,97,47.063976000000004,MIL,99,A,0.59204507
