,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
24038,HOU,94,43.862891999999995,PHI,105,H,0.64208287
24070,HOU,108,42.800964,PHO,128,A,0.33884472
24086,HOU,99,41.66568,DET,112,A,0.45353341
24110,HOU,110,40.936679999999996,CHI,125,A,0.29020196
24170,HOU,103,38.885822,LAL,113,H,0.49546036
24185,HOU,104,39.467335,DET,103,A,0.36551785
24208,HOU,97,38.859718,BOS,108,A,0.29539901
24219,HOU,94,38.037265999999995,NYK,112,A,0.29048270000000004
24295,HOU,98,36.539482,NYK,117,H,0.56350589
24303,HOU,110,35.645878,POR,112,H,0.75470495
24364,HOU,99,34.306366,GSW,115,A,0.24075854
24385,HOU,103,31.93788,BOS,142,H,0.45363879
24409,HOU,102,31.833906,MIL,111,A,0.072534084
24424,HOU,102,31.5061,CHI,111,A,0.20166397
24476,HOU,118,32.668251,PHI,112,A,0.22603303
24495,HOU,99,32.514728999999996,LAL,106,A,0.11638272
24532,HOU,115,35.832355,GSW,96,A,0.18377960000000002
24565,HOU,109,36.118717,PHI,108,H,0.63148296
24636,HOU,110,35.272781,PHO,116,H,0.52343851
24669,HOU,106,35.447521,CLE,116,A,0.52322769
24691,HOU,112,35.129940000000005,DET,113,A,0.40283638
24709,HOU,107,34.685867,BOS,117,A,0.24172181
24762,HOU,120,34.363152,LAL,125,H,0.25721949
24789,HOU,95,34.919857,ATL,88,H,0.64915508
24819,HOU,111,35.776112,PHO,110,A,0.1838395
24852,HOU,98,36.181362,MIL,106,A,0.08400142199999999
24866,HOU,117,36.814724,ATL,115,A,0.40233815
24893,HOU,109,39.224609,CHI,98,A,0.17600024
24961,HOU,132,41.362911,POR,119,A,0.60118043
25022,HOU,115,41.056686,LAL,137,A,0.10784369999999999
25065,HOU,106,39.453819,PHO,124,H,0.50146687
25082,HOU,129,40.176990999999994,ATL,115,H,0.70014513
25117,HOU,107,39.225311,DET,109,H,0.77687293
25161,HOU,105,39.136162,BOS,113,H,0.48209529999999995
25231,HOU,112,38.584872999999995,GSW,113,H,0.61100668
25311,HOU,112,38.030869,CLE,109,H,0.82769042
25328,HOU,108,37.616444,NYK,109,H,0.49347553
25366,HOU,105,38.885414000000004,BOS,110,A,0.21662098
25390,HOU,108,38.634888000000004,CHI,115,A,0.17328686
25409,HOU,109,39.126465,DET,107,A,0.51082593
25429,HOU,118,39.50732,POR,104,H,0.82776326
25452,HOU,108,39.215675,CHI,117,A,0.17400652
25480,HOU,105,39.012703,LAL,118,A,0.10293466
25564,HOU,113,40.237484,POR,114,A,0.64196706
25585,HOU,112,39.805434999999996,MIL,119,H,0.27751026
25602,HOU,120,40.269676000000004,ATL,113,H,0.7049545
25721,HOU,130,41.848251,PHI,116,A,0.47738433
25746,HOU,100,40.242565,NYK,110,A,0.22442502
25854,HOU,115,42.202521999999995,LAL,110,H,0.27653128
25893,HOU,122,42.650021,DET,106,H,0.81656194
25915,HOU,104,41.2155,GSW,117,H,0.54454666
25971,HOU,107,42.063235999999996,GSW,108,A,0.2528016
25989,HOU,123,39.9119,CLE,130,H,0.88062298
26007,HOU,97,37.977924,CHI,128,H,0.42914686
26056,HOU,114,38.111752,POR,111,H,0.85678375
26066,HOU,116,37.612590999999995,GSW,119,H,0.44197768
26097,HOU,121,38.560466999999996,PHI,112,H,0.69912994
26148,HOU,102,38.143429,NYK,103,H,0.49519354
26184,HOU,116,37.80407,MIL,120,H,0.28929844
26222,HOU,94,37.543048999999996,MIL,111,A,0.11031407
26236,HOU,106,37.267796000000004,ATL,107,A,0.35439622
26265,HOU,127,38.004059000000005,CLE,119,A,0.5909340999999999
26315,HOU,131,41.207664,POR,109,H,0.82907772
26526,HOU,109,41.468105,CLE,108,A,0.6089281999999999
26579,HOU,95,41.756283,NYK,103,A,0.25048757
26603,HOU,120,42.516415,ATL,108,H,0.6597023
26625,HOU,97,39.634674,CHI,130,H,0.56494409
26666,HOU,107,39.174549,LAL,112,H,0.34076241
26690,HOU,130,39.624683000000005,DET,118,H,0.78247178
26741,HOU,106,40.218102,ATL,105,A,0.35696006
26757,HOU,108,40.813373999999996,PHI,104,A,0.54101801
26775,HOU,108,39.636055,ATL,114,H,0.6593861
26800,HOU,118,40.714012,DET,108,A,0.50363529
26830,HOU,109,40.371571,LAL,122,A,0.16346389
26871,HOU,109,40.000206,PHO,115,A,0.26197749
26886,HOU,112,38.94862,PHI,114,H,0.81998128
26942,HOU,100,38.195473,NYK,119,A,0.17214698
26998,HOU,105,37.15358,CHI,113,A,0.19371855
27021,HOU,132,39.618301,GSW,104,H,0.44883707
27197,HOU,101,38.349789,GSW,108,A,0.24318320000000004
27236,HOU,114,38.629002,POR,108,H,0.79473418
27344,HOU,123,39.197987,DET,112,A,0.39520466
27360,HOU,110,39.561352,CLE,109,A,0.55712301
27396,HOU,102,38.000415999999994,NYK,124,H,0.44040638
27414,HOU,116,38.278183,PHI,103,H,0.86356378
27466,HOU,113,38.842007,PHO,110,H,0.51384109
27481,HOU,136,42.50745,LAL,104,H,0.31800053
27511,HOU,101,41.600147,MIL,114,H,0.37771955
27556,HOU,110,40.30127,BOS,130,H,0.39942959
27567,HOU,123,41.887543,BOS,112,H,0.36576819
27581,HOU,97,41.347496,CHI,111,A,0.23329633
27621,HOU,106,41.020973,NYK,116,A,0.18139267
27633,HOU,97,40.272915000000005,CLE,102,A,0.50525647
27646,HOU,114,39.740612,ATL,120,A,0.35547286
27666,HOU,107,39.329193,BOS,128,A,0.14450228
27698,HOU,103,39.042763,NYK,104,H,0.36458164
27716,HOU,115,37.399390999999994,CLE,123,H,0.74052858
27766,HOU,117,37.116394,GSW,123,A,0.20851964
27793,HOU,104,36.102798,CLE,108,H,0.68794119
27812,HOU,115,33.400356,POR,130,H,0.79519236
27827,HOU,107,34.444004,NYK,103,H,0.29005668
27852,HOU,129,35.532565999999996,MIL,125,H,0.27464783
27860,HOU,126,35.320244,BOS,139,A,0.1087532
27905,HOU,116,36.144783000000004,ATL,108,H,0.54804254
27933,HOU,123,36.73362,POR,120,A,0.49349028
27973,HOU,109,35.515766,LAL,126,A,0.11100215
27992,HOU,123,34.947959999999995,PHO,132,A,0.31440908
28030,HOU,123,36.176891,PHI,117,H,0.88475478
28069,HOU,91,34.613918,ATL,103,A,0.30111301
28152,HOU,103,33.818146,MIL,105,A,0.1307655
28172,HOU,127,34.986019,PHO,111,H,0.57612681
28190,HOU,99,33.935982,CHI,110,H,0.47335419
28250,HOU,138,35.589981,PHI,116,H,0.83818173
28278,HOU,112,34.736908,DET,129,A,0.31411654
28358,HOU,125,34.938140999999995,ATL,136,A,0.24993265
28378,HOU,101,34.118118,MIL,116,H,0.32752284
28417,HOU,100,32.946903000000006,CLE,118,A,0.4004308
28463,HOU,131,33.299732,CLE,116,H,0.64185095
28481,HOU,129,34.524082,ATL,118,H,0.46443975
28525,HOU,125,34.067679999999996,GSW,141,A,0.19090962
28538,HOU,128,32.739624,POR,141,A,0.52702487
28592,HOU,89,31.951203999999997,BOS,94,A,0.08883523900000001
28642,HOU,132,35.027996,PHI,112,A,0.64483249
28681,HOU,121,34.743259,BOS,125,H,0.25257933
28906,HOU,104,38.045914,PHI,88,A,0.60647249
28925,HOU,106,39.194115000000004,CLE,99,A,0.3883844
28953,HOU,86,40.095257000000004,NYK,85,A,0.17025656
28975,HOU,101,38.393257,PHI,106,H,0.86157888
29021,HOU,104,37.715584,DET,107,H,0.56101406
29050,HOU,98,36.828876,LAL,107,H,0.45005646
29056,HOU,132,39.821697,BOS,117,A,0.16999835
29080,HOU,113,39.451069,CHI,121,A,0.22783779999999998
29106,HOU,92,38.440411,CHI,102,H,0.47252971
29149,HOU,91,37.367744,NYK,102,H,0.47383228
29167,HOU,123,36.867859,ATL,125,H,0.49812135
29208,HOU,93,36.426196999999995,LAL,106,A,0.20631784
29246,HOU,106,34.423916,CLE,111,A,0.40035838
29295,HOU,97,34.874931,PHI,83,H,0.79629064
29349,HOU,87,33.135815,POR,96,H,0.63864321
29407,HOU,96,31.705908,CLE,104,H,0.69520074
29424,HOU,83,31.010717,CLE,85,H,0.6593501
29477,HOU,125,31.890625,PHO,111,H,0.62973005
29495,HOU,114,33.792706,NYK,106,A,0.17958075
29519,HOU,110,35.350452000000004,DET,95,H,0.45021632
29544,HOU,106,34.848843,PHI,108,A,0.50414705
29561,HOU,130,37.45697,CLE,104,A,0.39735752
29577,HOU,109,37.210102,MIL,124,A,0.11329758
29665,HOU,107,39.053188,GSW,114,A,0.26837867
29703,HOU,106,38.394993,BOS,114,H,0.37188148
29714,HOU,100,38.1819,CHI,104,A,0.19333577
29749,HOU,97,36.959263,NYK,109,H,0.50344348
29791,HOU,110,34.117309999999996,ATL,124,H,0.56932724
29831,HOU,91,33.011013,CLE,99,A,0.40964609
29883,HOU,111,33.123013,MIL,127,H,0.25683972
29894,HOU,110,32.815735,ATL,114,A,0.2735278
29947,HOU,101,33.283737,PHI,99,A,0.51600015
29976,HOU,119,34.41774,POR,113,A,0.34377670000000005
29993,HOU,106,34.146183,GSW,108,A,0.30652356
30032,HOU,92,32.462959000000005,GSW,104,H,0.57657033
30044,HOU,101,32.072365000000005,PHO,105,A,0.33732283
30148,HOU,96,33.924377,NYK,90,H,0.32719699
30210,HOU,108,36.592014,NYK,93,A,0.16867614
30213,HOU,115,38.096641999999996,ATL,104,A,0.38580531
30240,HOU,89,37.894207,DET,93,A,0.18501461
30314,HOU,108,34.009594,GSW,109,H,0.48578307
30339,HOU,107,33.209346999999994,ATL,117,A,0.40109855
30365,HOU,123,33.906788,ATL,112,H,0.65917444
30388,HOU,116,34.587948,LAL,112,H,0.47857535
30429,HOU,120,35.193256,CLE,106,H,0.73761266
30466,HOU,112,36.066829999999996,POR,106,A,0.46328878
30492,HOU,129,37.905983,LAL,119,A,0.26677722
30521,HOU,99,37.125595000000004,PHO,107,A,0.42907733
30605,HOU,115,35.671707,PHI,98,H,0.76259518
30633,HOU,113,35.010277,MIL,122,H,0.35717061
30668,HOU,133,35.666924,POR,115,H,0.75735223
30731,HOU,117,37.061873999999996,PHO,111,H,0.71370572
30745,HOU,122,36.270096,ATL,129,A,0.46303999
30767,HOU,106,35.711665999999994,MIL,112,H,0.37438524
30800,HOU,93,34.777569,CHI,105,H,0.41008222
30826,HOU,113,35.836311,BOS,106,H,0.41683599
30865,HOU,113,36.160629,CLE,108,H,0.74395669
30993,HOU,107,37.423851,BOS,110,H,0.44365820000000006
31001,HOU,99,37.209911,DET,103,A,0.19463623
