,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
36019,IND,122,40.292282,BOS,129,H,0.56779057
36028,IND,110,38.983208000000005,DEN,123,H,0.50769019
36040,IND,97,38.337315000000004,CHI,102,A,0.45093387
36145,IND,113,42.573826000000004,SAS,97,H,0.59761405
36187,IND,94,40.709084000000004,SAS,113,A,0.3456524
36233,IND,98,40.00877,PHO,108,A,0.34953386
36240,IND,106,39.234653,LAL,117,A,0.36192977
36257,IND,112,38.724461,GSW,120,A,0.30010468
36292,IND,123,39.700306,PHI,117,A,0.26888674
36302,IND,104,40.252201,DET,99,H,0.6039985999999999
36362,IND,115,40.813286,ATL,93,H,0.81566626
36379,IND,109,41.230072,MIL,98,H,0.78683543
36397,IND,113,40.845154,DEN,122,A,0.2214337
36416,IND,115,39.58569,POR,145,A,0.30595863
36427,IND,103,40.163769,PHO,97,H,0.61927158
36441,IND,100,39.655369,POR,101,H,0.57483965
36463,IND,112,40.287315,CLE,109,H,0.46988147
36480,IND,108,39.606674,HOU,120,A,0.31002551
36512,IND,111,41.461472,LAL,98,H,0.60911626
36587,IND,116,42.249702,SAS,102,H,0.59519124
36596,IND,105,41.83773,CLE,111,A,0.28636402
36608,IND,104,41.168892,DET,113,A,0.35481048
36626,IND,93,40.347225,PHI,97,H,0.58852655
36700,IND,79,38.078907,HOU,93,H,0.60258591
36771,IND,116,38.688786,MIL,109,A,0.40448731
36795,IND,109,39.419731,CHI,94,H,0.7085914000000001
36804,IND,103,40.210460999999995,ATL,95,A,0.56857085
36864,IND,112,42.266052,BOS,101,A,0.35170484
36890,IND,109,41.401859,GSW,113,H,0.61081141
36924,IND,115,40.825435999999996,SAS,122,A,0.35392833
36972,IND,96,38.902885,PHO,125,A,0.33952701
36989,IND,104,38.312531,LAL,121,A,0.22578961
37021,IND,121,39.466057,BOS,101,H,0.63708836
37063,IND,120,38.461555,DET,127,A,0.33012968
37079,IND,110,38.918552000000005,PHI,109,H,0.46873990000000004
37102,IND,98,38.010159,POR,107,H,0.457212
