,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
51661,LAC,103,35.762257,UTA,94,A,0.29539305
51679,LAC,96,35.537548,PHO,99,A,0.22795814
51703,LAC,107,36.051651,NYK,105,H,0.48796678
51731,LAC,112,34.310581,POR,131,H,0.52763194
51742,LAC,107,34.840584,DEN,104,H,0.52920073
51754,LAC,108,34.387295,BOS,135,A,0.13722688
51796,LAC,92,32.824905,HOU,117,A,0.30762041
51849,LAC,90,31.026328999999997,MIL,103,H,0.36212516
51884,LAC,105,31.310284000000003,POR,113,A,0.21365613
51915,LAC,106,30.719757,DEN,112,H,0.40717855
51947,LAC,103,30.274582000000002,LAL,108,H,0.35039982
51960,LAC,114,31.056995,PHO,109,H,0.44988692
51968,LAC,110,30.481209000000003,DEN,139,A,0.16773719
52010,LAC,100,30.821509999999996,CHI,104,H,0.62446344
52035,LAC,110,29.558815000000003,SAS,142,A,0.31308722
52054,LAC,116,32.031048,HOU,100,A,0.24552059
52065,LAC,110,33.059631,DAL,106,A,0.29067087
52085,LAC,89,32.428653999999995,ATL,101,A,0.30095345
52113,LAC,126,32.879242,SAS,123,H,0.58100301
52130,LAC,116,34.450866999999995,GSW,104,A,0.38005382
52156,LAC,106,35.309784,POR,100,H,0.46807832
52196,LAC,103,36.870434,GSW,85,H,0.70403111
52287,LAC,118,36.350291999999996,DAL,124,A,0.30774075
52307,LAC,103,35.481503000000004,BOS,118,H,0.34100744
52338,LAC,107,35.267883000000005,LAL,113,A,0.16451806
52346,LAC,109,34.185581,PHO,117,H,0.56178194
52371,LAC,87,33.741131,MIL,111,A,0.14599252
52397,LAC,127,34.690781,DEN,115,A,0.26931655
52417,LAC,116,35.566956,UTA,106,H,0.57244426
52469,LAC,98,37.769978,PHO,84,A,0.28160667
52477,LAC,104,38.226238,GSW,102,A,0.53790683
52519,LAC,98,37.803688,HOU,88,H,0.61452085
52558,LAC,100,37.362713,DAL,101,H,0.51834029
52583,LAC,114,37.07962,LAL,123,A,0.17055142
52631,LAC,113,36.536221000000005,PHI,120,H,0.33985707
52648,LAC,91,34.84391,NYK,117,A,0.43198198
52658,LAC,94,33.524101,CLE,110,A,0.46836072
52713,LAC,96,32.065277,LAL,105,H,0.34175333
52728,LAC,115,33.016212,IND,96,H,0.67085654
52776,LAC,108,32.453590000000005,SAS,120,A,0.27295011
52793,LAC,110,32.231133,LAL,121,A,0.12770694
52804,LAC,108,32.43026,GSW,105,H,0.78961349
52839,LAC,100,31.946745,UTA,109,A,0.28070700000000004
52853,LAC,90,31.476452000000002,ATL,91,H,0.56379092
52864,LAC,125,32.114554999999996,SAS,121,H,0.49494657
52957,LAC,99,29.662731,POR,110,A,0.22339135
52964,LAC,109,28.842240999999998,HOU,117,H,0.47566178
53001,LAC,102,28.206512,GSW,108,A,0.44510818
53044,LAC,112,26.994815999999997,CLE,114,H,0.45031372
53064,LAC,101,26.424078,CHI,117,A,0.25336534
53102,LAC,114,25.539543,DET,121,A,0.14518863
53131,LAC,103,25.352491,PHI,121,A,0.09032976599999999
53137,LAC,113,25.882389,IND,112,A,0.33981937
53160,LAC,112,25.538467,LAL,123,H,0.20543346
53176,LAC,100,24.3123,GSW,109,H,0.64900559
53188,LAC,136,26.422871,DET,116,H,0.3450678
53211,LAC,121,27.590309,UTA,110,H,0.44537857
53252,LAC,123,27.435226,POR,126,A,0.17957485
53266,LAC,99,26.233715000000004,POR,120,H,0.40443382
53306,LAC,116,26.875275,PHO,110,H,0.53872377
53337,LAC,123,28.368103,PHO,114,A,0.28583717
53343,LAC,115,27.387651,SAS,126,H,0.47853959
53393,LAC,126,29.10985,DAL,122,A,0.17036092
53446,LAC,104,28.563335,UTA,123,A,0.21345335
53454,LAC,129,29.222193,DEN,127,H,0.34943131
53477,LAC,115,30.622993,HOU,110,A,0.18617743
53509,LAC,92,30.047285,DAL,96,H,0.47252271
53665,LAC,108,33.674274,SAC,104,A,0.31738853
53679,LAC,130,34.075989,HOU,129,H,0.50904304
53700,LAC,119,34.946007,POR,113,H,0.4616487
53721,LAC,120,35.663536,CHI,112,H,0.59527874
53748,LAC,103,36.060821999999995,NYK,95,H,0.75496113
53790,LAC,115,35.238007,HOU,137,A,0.26086146
53818,LAC,94,34.473267,ATL,97,H,0.62118709
53840,LAC,115,33.472034,GSW,127,A,0.43737233
53880,LAC,96,31.522071999999998,LAL,127,H,0.24515772
53890,LAC,109,31.36595,DEN,113,A,0.15389651
53932,LAC,107,31.201840999999998,LAL,122,A,0.082199037
53945,LAC,108,30.627895000000002,POR,112,H,0.46851766
53971,LAC,116,31.702616,MIL,112,H,0.26334563
54017,LAC,130,29.618553000000002,HOU,137,H,0.43418133
54044,LAC,106,28.830820000000003,SAS,134,A,0.22984177
54053,LAC,115,28.500677000000003,DAL,124,A,0.21042717
54094,LAC,128,29.917686,SAC,103,H,0.59527653
54110,LAC,104,28.912821,GSW,121,A,0.37965786
54139,LAC,91,26.575083000000003,UTA,131,H,0.46873936
54159,LAC,120,27.120375,DAL,118,H,0.41753787
54172,LAC,95,26.493706,DEN,134,A,0.15777791
54214,LAC,92,24.143310999999997,PHO,114,H,0.55595946
54253,LAC,103,24.57835,GSW,99,H,0.58803701
54277,LAC,104,23.679705,SAS,119,H,0.40378845
54298,LAC,117,24.300797,SAC,116,A,0.25018716
54314,LAC,107,24.05077,POR,121,A,0.13958704
54322,LAC,108,23.643198,PHI,117,H,0.27460036
54367,LAC,103,24.172241,BOS,125,H,0.23459077
54397,LAC,111,23.7981,CLE,130,A,0.16676289
54415,LAC,77,22.973242000000003,IND,106,A,0.25905144
54432,LAC,103,22.670729,ATL,117,A,0.1702612
54456,LAC,114,22.614851,PHI,116,A,0.090999365
54482,LAC,123,23.714014000000002,CHI,132,A,0.25388914
54544,LAC,96,24.00909,LAL,112,A,0.057073295
54571,LAC,131,26.561117,UTA,97,H,0.42837495
54603,LAC,97,27.343828000000002,SAS,96,A,0.17724603
54614,LAC,131,29.648021999999997,DAL,118,A,0.20095152
54641,LAC,120,31.669912,LAL,109,H,0.22542132
54658,LAC,90,30.195884999999997,UTA,130,A,0.30789346
54699,LAC,108,29.801607,PHO,118,H,0.5747751
54741,LAC,121,29.048576,POR,156,A,0.19127721
54787,LAC,104,28.536518,PHO,116,A,0.26311272
54805,LAC,120,29.373704999999998,PHO,112,H,0.51493818
54830,LAC,118,30.146965,POR,113,H,0.44959024
54859,LAC,108,31.141111,HOU,101,H,0.42393804
54929,LAC,123,29.919527000000002,GSW,125,H,0.66540498
54955,LAC,110,31.406996000000003,NYK,99,A,0.36515111
54979,LAC,99,31.204388,MIL,114,A,0.09926909199999999
54995,LAC,104,30.933851,DET,111,A,0.194933
55007,LAC,108,30.769213,BOS,124,A,0.079682171
55039,LAC,112,28.815737,IND,129,H,0.63453871
55061,LAC,106,29.383537,CLE,101,H,0.56480139
55085,LAC,113,28.056749,DAL,131,H,0.46508929
55103,LAC,126,27.502945,SAS,142,A,0.24270201
55120,LAC,121,27.191653999999996,DEN,123,H,0.37078342
55145,LAC,108,26.964478000000003,LAL,129,A,0.09486132900000001
55180,LAC,105,27.891424,SAC,104,H,0.48626509
55196,LAC,116,27.220484000000003,HOU,148,A,0.18813026
55229,LAC,122,26.919190999999998,GSW,126,A,0.28886300000000004
55246,LAC,115,27.606983000000003,LAL,114,H,0.23568103
55266,LAC,104,27.347288,DEN,115,A,0.15577054
55279,LAC,99,26.169779000000002,DET,119,H,0.40953362
55325,LAC,97,25.25437,SAS,105,H,0.5444230999999999
55355,LAC,107,27.137316,PHO,96,A,0.22417217
55365,LAC,112,28.853547999999996,SAC,103,A,0.22556245
55400,LAC,113,30.007675,UTA,109,A,0.22059494
55405,LAC,97,30.544682,UTA,94,H,0.50668329
55440,LAC,106,30.036773999999998,GSW,107,H,0.60482353
55480,LAC,132,30.8743,DEN,127,H,0.41982242
55497,LAC,100,30.287810999999998,POR,115,A,0.25504827
55518,LAC,115,31.224071999999996,DAL,108,H,0.4499549
