,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
9744,LAL,101,33.237518,NYK,111,H,0.65927261
9747,LAL,120,33.586594,NYK,118,H,0.61930752
9770,LAL,106,33.823059,NYK,96,H,0.63783312
9799,LAL,124,34.305519,BOS,131,A,0.18851382
9813,LAL,123,36.104782,NYK,108,A,0.39021587
9828,LAL,130,36.685631,DET,122,H,0.6622501000000001
9839,LAL,135,37.525227,DET,131,A,0.3981002
9857,LAL,141,40.684628000000004,DET,128,A,0.43070906
9893,LAL,120,42.252415,BOS,117,A,0.19798505
9903,LAL,103,41.245922,BOS,113,H,0.47016436
9905,LAL,101,39.670322,BOS,123,H,0.4427532
9957,LAL,112,36.638027,BOS,140,A,0.18568867
9964,LAL,107,37.419609,DET,103,A,0.42896748
9969,LAL,94,36.910221,DET,97,A,0.45029807
9986,LAL,112,36.164444,NYK,119,A,0.44158292
10002,LAL,111,36.709998999999996,NYK,95,H,0.70441651
10017,LAL,105,35.504601,DET,116,A,0.39112937
10023,LAL,123,36.968445,DET,113,A,0.36912078
10028,LAL,96,36.404423,BOS,102,H,0.37626898
10057,LAL,117,37.700432,NYK,104,H,0.73327696
10063,LAL,104,36.417233,NYK,109,H,0.74598074
10096,LAL,103,35.616062,BOS,106,A,0.16417205
10147,LAL,137,37.620449,DET,113,H,0.60026205
10153,LAL,117,37.902775,DET,116,H,0.63848507
10155,LAL,112,37.214306,DET,121,A,0.36555909999999997
10183,LAL,125,38.723579,DET,120,A,0.34785628
10190,LAL,95,39.558434000000005,BOS,96,A,0.19437331
10228,LAL,93,40.350899,BOS,113,A,0.26891506
10240,LAL,129,42.557891999999995,DET,106,A,0.43779981
10251,LAL,121,43.919106,NYK,106,A,0.51307344
10272,LAL,105,43.346329,BOS,93,H,0.53069979
10307,LAL,144,41.404613,NYK,107,H,0.75479001
10338,LAL,103,42.126244,DET,120,A,0.55336475
10363,LAL,120,42.075878,DET,102,H,0.72105563
10367,LAL,127,42.542896,DET,118,H,0.73810112
10370,LAL,113,41.435265,DET,124,A,0.48404056
10373,LAL,114,40.531985999999996,DET,123,A,0.45375586
10378,LAL,137,41.343643,DET,120,H,0.70404637
10430,LAL,120,45.902504,DET,116,A,0.45739841
10438,LAL,128,46.382488,DET,118,H,0.74295986
10444,LAL,135,46.810986,DET,126,H,0.75304776
10528,LAL,103,49.782833000000004,BOS,101,A,0.22918576
10543,LAL,102,48.964817,DET,108,A,0.52028191
10559,LAL,100,50.648785,NYK,89,A,0.6449033000000001
10565,LAL,103,50.233982,DET,104,A,0.51287925
10626,LAL,114,49.087955,DET,107,A,0.44414324
10673,LAL,122,48.349426,DET,116,A,0.48338568
10681,LAL,104,49.027954,BOS,101,H,0.42541626
10704,LAL,117,50.807854,BOS,129,A,0.21573126
10771,LAL,95,50.113358000000005,BOS,118,H,0.48689076
10809,LAL,108,49.250401000000004,DET,118,A,0.5679611
10815,LAL,129,49.485516,NYK,121,H,0.84133369
10829,LAL,108,49.587348999999996,NYK,107,H,0.8448953000000001
10850,LAL,103,48.880798,BOS,118,A,0.22949231
10897,LAL,123,50.555884999999996,DET,122,A,0.54573643
10901,LAL,115,49.798286,BOS,130,A,0.31319451
10936,LAL,112,48.615974,NYK,116,A,0.5947386
10986,LAL,121,46.781021,DET,127,A,0.49633467
10994,LAL,128,47.525463,NYK,121,A,0.5551795999999999
11003,LAL,125,49.273212,BOS,99,H,0.55081004
11011,LAL,96,47.234638000000004,BOS,115,H,0.59923142
11023,LAL,118,47.396252000000004,NYK,116,H,0.80458355
11045,LAL,128,48.233871,DET,99,H,0.74250549
11052,LAL,107,48.581921,DET,100,H,0.76301664
11100,LAL,100,46.960007,NYK,122,A,0.55974805
11108,LAL,105,46.455875,BOS,119,A,0.22350621
11117,LAL,119,46.944138,NYK,106,H,0.7732810999999999
11152,LAL,132,48.640869,DET,108,H,0.76996964
11155,LAL,127,49.13755,DET,112,H,0.78458607
11157,LAL,111,49.757614000000004,DET,106,A,0.54931736
11162,LAL,117,49.279846,DET,118,A,0.56684434
11164,LAL,125,47.601944,DET,132,H,0.7966482
11170,LAL,123,48.377579,DET,117,A,0.50592959
11177,LAL,108,47.868988,BOS,122,A,0.22739099999999998
11179,LAL,129,49.48999,BOS,122,A,0.21743768
11180,LAL,117,49.956989,BOS,115,H,0.51375735
11182,LAL,103,48.70443,BOS,115,H,0.52715588
11185,LAL,126,50.002205,BOS,121,A,0.23398012
11186,LAL,105,48.612995,BOS,119,H,0.52845502
11189,LAL,107,48.387378999999996,BOS,110,A,0.23212153
11190,LAL,122,48.062191,DET,106,A,0.48501849
11195,LAL,105,46.864452,NYK,116,A,0.52449274
11229,LAL,134,44.90934,DET,118,H,0.75736439
11240,LAL,115,45.576206,NYK,95,H,0.77077776
11256,LAL,125,47.07476,NYK,106,H,0.79745191
11266,LAL,133,51.9557,BOS,120,A,0.25101787
11323,LAL,116,49.201881,DET,98,A,0.5705446
11394,LAL,132,53.395809,NYK,112,A,0.66758841
11407,LAL,112,52.727943,BOS,126,A,0.30244809
11518,LAL,135,54.99118000000001,DET,130,A,0.68295562
11534,LAL,125,55.285706000000005,BOS,123,H,0.64322072
11545,LAL,106,55.570374,BOS,104,H,0.65159547
11565,LAL,123,56.827,DET,115,A,0.68345857
11591,LAL,108,57.491718000000006,NYK,102,H,0.90687954
11610,LAL,121,56.944607,BOS,133,A,0.42258
11617,LAL,124,57.354225,DET,94,H,0.86679018
11628,LAL,123,57.47435,DET,119,H,0.86442131
11663,LAL,116,58.313572,NYK,115,H,0.92097354
11669,LAL,127,58.624846999999995,DET,122,A,0.71028948
11679,LAL,119,59.063812,DET,109,A,0.71880329
11686,LAL,95,56.063945999999994,NYK,122,A,0.81046396
11730,LAL,93,53.570202,BOS,120,A,0.35408968
11736,LAL,134,54.675953,BOS,128,A,0.32004642
11744,LAL,128,54.96393199999999,DET,111,H,0.86675745
11788,LAL,113,53.786877000000004,BOS,105,H,0.55369818
11800,LAL,109,52.59311700000001,BOS,119,H,0.57596052
11807,LAL,113,53.156158,DET,107,A,0.59982932
11809,LAL,116,51.595402,NYK,125,A,0.7196731
11870,LAL,116,45.252068,DET,124,A,0.50949788
11956,LAL,114,45.25388,BOS,117,A,0.196733
11959,LAL,106,44.971920000000004,BOS,113,A,0.19340694
11960,LAL,119,47.010124,BOS,99,H,0.423605
11962,LAL,105,46.464554,BOS,108,H,0.47979313
11964,LAL,126,48.112949,BOS,119,A,0.21530479
11966,LAL,109,47.526859,BOS,112,H,0.51083839
11989,LAL,130,46.047863,NYK,117,A,0.61249524
11993,LAL,124,47.029453000000004,DET,116,A,0.4806968
12043,LAL,111,46.750381,NYK,109,H,0.81558383
12061,LAL,104,47.652111,NYK,79,H,0.81551963
12064,LAL,109,46.724270000000004,DET,116,A,0.52923989
12069,LAL,110,46.488232,BOS,114,A,0.21406001
12080,LAL,97,46.702961,PHI,99,A,0.5015375
12084,LAL,115,47.422634,DET,95,H,0.75276017
12116,LAL,119,47.716614,NYK,112,A,0.58135587
12122,LAL,78,46.810246,BOS,114,A,0.20965552
12139,LAL,127,48.062801,DET,111,A,0.55192876
12227,LAL,116,48.525985999999996,PHI,96,H,0.75604945
12240,LAL,126,49.033188,PHI,113,H,0.76218033
12250,LAL,134,49.552387,NYK,126,A,0.68508977
12254,LAL,110,49.013977000000004,BOS,126,A,0.22329253
12267,LAL,100,47.702529999999996,PHI,114,A,0.50176501
12272,LAL,140,48.399741999999996,DET,128,A,0.67566228
12295,LAL,125,50.063,BOS,118,H,0.45169151
12301,LAL,97,50.569969,BOS,95,H,0.47884136
12316,LAL,136,50.899440999999996,NYK,118,H,0.86280346
12330,LAL,108,46.75367,NYK,118,H,0.85844761
12352,LAL,79,46.079109,BOS,99,A,0.20540798
12364,LAL,115,46.370171,PHI,111,H,0.74395281
12373,LAL,107,43.643734,DET,118,H,0.87288308
12386,LAL,110,43.912773,DET,101,H,0.83748192
12416,LAL,92,44.227032,DET,93,A,0.65484136
12425,LAL,97,42.926369,PHI,102,H,0.74969631
12462,LAL,111,40.384693,DET,85,H,0.79764742
12475,LAL,103,38.450359000000006,DET,111,H,0.81117052
12480,LAL,101,37.729782,PHI,109,A,0.40135562
12492,LAL,113,38.504661999999996,BOS,109,A,0.13953435
12503,LAL,97,37.884632,BOS,104,H,0.37750104
12523,LAL,90,37.550247,BOS,92,H,0.358794
12532,LAL,117,37.101279999999996,NYK,118,A,0.52602774
12536,LAL,115,36.622025,DET,116,A,0.55385774
12545,LAL,106,37.278618,DET,101,A,0.54069149
12671,LAL,120,40.510323,PHI,95,H,0.66826218
12679,LAL,121,41.613564000000004,PHI,97,H,0.68677467
12749,LAL,113,41.430592,NYK,109,A,0.51241577
12813,LAL,106,41.778622,NYK,96,H,0.7851249
12833,LAL,108,43.588531,NYK,101,H,0.81105304
12846,LAL,132,44.397289,NYK,123,A,0.58322155
12848,LAL,114,45.4212,BOS,112,A,0.187931
12862,LAL,111,44.89867,DET,105,A,0.56333911
12903,LAL,130,45.503242,DET,117,H,0.79344851
12913,LAL,117,45.769684000000005,DET,111,H,0.80137843
12933,LAL,118,46.453911,PHI,117,A,0.40079474
12961,LAL,109,45.623112,PHI,104,H,0.64753073
12966,LAL,98,44.557567999999996,BOS,108,H,0.49559265
12992,LAL,116,43.858345,DET,115,H,0.78564012
13001,LAL,116,41.137584999999994,DET,131,H,0.78847247
13008,LAL,126,42.01955,DET,120,A,0.46638089
13023,LAL,113,38.610359,PHI,140,H,0.65834498
13031,LAL,125,39.10593,NYK,113,H,0.76331055
13034,LAL,135,40.398303999999996,PHI,117,H,0.57752955
13056,LAL,112,40.457485,BOS,133,A,0.15042311
13070,LAL,115,40.13332,PHI,117,A,0.3478319
13102,LAL,104,41.860039,BOS,112,H,0.34544107
13113,LAL,103,41.464237,BOS,107,H,0.32811156
13122,LAL,127,41.024048,DET,128,A,0.51485217
13126,LAL,104,41.682678,DET,100,A,0.50277758
13155,LAL,119,41.013802,NYK,103,H,0.75876045
13162,LAL,117,41.440643,NYK,107,H,0.77087528
13174,LAL,93,41.037762,BOS,117,A,0.13033259
13182,LAL,111,42.191227000000005,NYK,99,A,0.52166331
13218,LAL,118,44.192631,DET,121,A,0.52076495
