,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
90313,MEM,80,28.538576000000003,DET,90,H,0.55710864
90333,MEM,102,28.271953999999997,MIN,111,A,0.17520797
90365,MEM,85,27.711145000000002,DAL,94,H,0.33456028
90388,MEM,101,27.396241999999997,PHO,113,A,0.17560512
90400,MEM,92,26.846483000000003,LAC,108,A,0.24366808
90431,MEM,86,26.685402000000003,LAL,110,A,0.064325929
90465,MEM,79,25.611511,GSW,86,H,0.64311075
90507,MEM,85,24.670979,POR,101,H,0.39684778
90541,MEM,98,25.154881,CLE,93,H,0.59244603
90581,MEM,94,24.708323999999998,CLE,101,A,0.32862097
90614,MEM,89,24.007753,PHO,103,H,0.3396022
90630,MEM,84,23.80961,DET,91,A,0.16631836
90654,MEM,98,24.857264,SAC,94,H,0.22021
90702,MEM,88,24.765047,TOR,91,A,0.11905754
90708,MEM,102,26.628346999999998,HOU,85,H,0.35411572
90745,MEM,93,28.193671999999996,PHI,87,A,0.16267538
90755,MEM,71,27.407615999999997,ORL,113,A,0.18053770000000002
90793,MEM,80,26.269921999999998,MIN,105,H,0.34903732
90827,MEM,92,27.356136,PHI,83,H,0.42206794
90862,MEM,81,26.058467999999998,WAS,91,H,0.62886798
90887,MEM,86,25.828749,DEN,89,A,0.25940728
90920,MEM,84,25.184975,GSW,93,A,0.39053428
90936,MEM,87,24.998285,SAC,104,A,0.094035804
90954,MEM,105,24.520916,MIL,114,H,0.30839789
90987,MEM,90,25.347611999999998,NYK,88,A,0.21215051
90997,MEM,114,26.885906,LAL,108,H,0.15969293
91032,MEM,80,26.714745,BOS,85,A,0.16184485
91056,MEM,107,27.443222,CHI,85,H,0.74280334
91093,MEM,91,28.35977,MIA,86,A,0.36272889
91121,MEM,79,28.112322,SAS,83,H,0.23965305
91168,MEM,109,26.83215,ATL,113,H,0.60281241
91236,MEM,84,26.780363,TOR,81,H,0.37792370000000003
91264,MEM,102,28.284336,PHO,96,A,0.17981267
91302,MEM,97,29.334352000000003,UTA,95,A,0.14448434
91314,MEM,81,29.020146999999998,LAL,120,A,0.082251608
91361,MEM,97,28.381096000000003,DAL,108,H,0.33329338
91395,MEM,103,27.286972,ORL,119,H,0.42988896
91431,MEM,98,27.128072999999997,SAC,112,A,0.087985754
91454,MEM,95,26.333719,GSW,107,A,0.39269781
91472,MEM,82,25.739029000000002,POR,120,A,0.15531778
91491,MEM,92,25.287382,CHI,95,A,0.45935023
91515,MEM,119,25.947210000000002,LAC,115,H,0.44044638
91543,MEM,82,25.822306,IND,83,A,0.20289314
91572,MEM,85,25.388826,LAL,100,H,0.21135329
91630,MEM,86,25.412731,UTA,79,H,0.34381241
91657,MEM,103,25.286989000000002,MIL,107,A,0.13904249999999999
91675,MEM,78,24.956213,HOU,85,A,0.25357169
91703,MEM,85,23.618612,DEN,100,H,0.55166996
91784,MEM,93,25.995237,SAS,99,A,0.10396361
91809,MEM,72,25.413114999999998,PHO,78,H,0.43258348
91868,MEM,77,24.480364,LAC,90,H,0.44239125
91877,MEM,91,24.316295999999998,DAL,104,A,0.099692702
91911,MEM,70,23.857246,UTA,114,A,0.11647326
91917,MEM,83,23.3036,DEN,96,A,0.29470944
91964,MEM,76,21.941689,ATL,95,A,0.27764791
92011,MEM,122,23.183239,IND,111,H,0.37430128
92049,MEM,88,22.764584,MIA,93,H,0.3762238
92077,MEM,79,23.312365,UTA,78,H,0.29652688
92097,MEM,84,23.174661999999998,SAS,98,A,0.08370596200000001
92129,MEM,97,22.7637,BOS,103,H,0.34253117
92187,MEM,92,21.489517000000003,NYK,101,H,0.48792517
92218,MEM,93,21.296614,MIN,95,H,0.27923617
92244,MEM,100,21.185154,DAL,111,A,0.083741307
92281,MEM,103,22.536226,POR,100,A,0.06675964599999999
92359,MEM,105,22.817162,GSW,99,H,0.64442664
92394,MEM,83,22.329378,SAC,107,H,0.18824199
92408,MEM,81,22.156792000000003,MIN,92,A,0.12057692
92442,MEM,99,23.463165,HOU,81,H,0.49286392
92464,MEM,85,23.278894,WAS,88,A,0.22575963
92499,MEM,97,24.038902,DEN,86,H,0.58108187
92535,MEM,102,24.849939000000003,POR,99,H,0.28139105
92572,MEM,92,24.377146,SAS,113,H,0.19013359
92577,MEM,98,25.205994,HOU,95,A,0.27512813
92607,MEM,84,24.944925,LAC,92,A,0.19344038
92807,MEM,108,27.927774,DAL,119,H,0.29910126
92835,MEM,86,27.427919,DET,109,A,0.17868823
92858,MEM,99,26.866383000000003,SAC,116,H,0.23942803
92883,MEM,101,26.65885,SAS,103,H,0.26569167
92918,MEM,88,26.460268,POR,94,A,0.17047387
92947,MEM,91,26.332256,SAC,99,A,0.10042185
92958,MEM,73,25.759562,DEN,84,A,0.31654572
92983,MEM,101,24.744345000000003,GSW,108,H,0.6263755
93030,MEM,95,24.317375,MIN,99,H,0.40437898
93047,MEM,93,23.479143,CHI,111,A,0.3457678
93091,MEM,106,23.329647,MIN,110,A,0.1687184
93113,MEM,88,22.873901,PHI,95,H,0.3470495
93146,MEM,86,22.764729,SAS,95,A,0.08815872699999999
93157,MEM,85,23.961223999999998,WAS,74,H,0.40012005
93236,MEM,106,25.622545000000002,LAL,112,H,0.34326315
93271,MEM,87,24.984753,TOR,92,H,0.50484192
93293,MEM,91,24.785048,LAL,101,A,0.13632691
93315,MEM,85,24.393219000000002,PHO,98,A,0.21428829
93344,MEM,71,23.982225,UTA,104,A,0.12734294
93368,MEM,102,24.923714,PHO,94,H,0.43196216
93393,MEM,107,26.634144,MIA,96,A,0.26361877
93405,MEM,96,26.985281,DEN,93,H,0.63391876
93427,MEM,114,27.772923,HOU,109,H,0.42536145
93449,MEM,87,27.626879,DAL,104,A,0.07199019200000001
93479,MEM,104,28.461014000000002,GSW,91,H,0.61583883
93520,MEM,100,27.88924,WAS,118,A,0.23144388
93542,MEM,95,28.897938,MIL,84,H,0.51397204
93570,MEM,74,27.429926000000002,UTA,103,H,0.38696787
93617,MEM,99,28.728336,ORL,86,H,0.45361513
93675,MEM,89,28.456709000000004,BOS,96,A,0.20179957
93699,MEM,116,29.065685,LAC,111,H,0.53765947
93776,MEM,95,29.369925,LAC,103,A,0.30196053
93814,MEM,90,29.167315999999996,PHO,96,A,0.16647732
93842,MEM,98,29.05842,SAC,106,A,0.083232045
93853,MEM,110,29.802603,GSW,108,A,0.29754251
93888,MEM,92,29.596327000000002,POR,100,A,0.14597571
93948,MEM,87,28.486416,POR,99,H,0.35698104
93991,MEM,98,30.136677000000002,SAS,93,A,0.12002164
93996,MEM,98,29.859362,SAC,104,H,0.21705472
94052,MEM,95,27.938059000000003,HOU,100,H,0.49051496
94109,MEM,102,27.151515999999997,NYK,108,H,0.53331584
94146,MEM,78,26.176189,DEN,93,A,0.41272527
94155,MEM,91,25.801192999999998,GSW,101,A,0.23200047
94197,MEM,84,25.512058,UTA,105,A,0.1206674
94258,MEM,103,26.572626,DAL,110,H,0.21538658
94290,MEM,101,28.061926,MIL,95,A,0.18226558
94319,MEM,108,28.973038,IND,103,H,0.37006956
94374,MEM,82,28.452959000000003,HOU,93,A,0.20149547
94406,MEM,103,29.900776,UTA,92,H,0.36778602
94445,MEM,107,29.701978999999998,PHI,111,A,0.19396716
94462,MEM,126,30.494606,MIA,116,H,0.58869004
94475,MEM,87,30.213926,DAL,114,A,0.093200862
94508,MEM,110,29.836145000000002,BOS,111,H,0.48414186
94536,MEM,96,30.244373,DEN,86,H,0.76494259
94577,MEM,115,31.844637,CLE,89,A,0.57221687
94604,MEM,119,33.570644,TOR,106,A,0.35702538
94625,MEM,87,34.34375,NYK,85,A,0.30438149
94639,MEM,124,35.393153999999996,CHI,95,H,0.72742486
94692,MEM,124,36.844971,ATL,92,H,0.66457105
94719,MEM,80,36.361263,MIN,96,A,0.19814843
94737,MEM,128,36.889904,CLE,101,H,0.84459192
94758,MEM,92,36.375042,IND,101,A,0.28723538
94815,MEM,110,37.341713,ORL,104,A,0.2699458
94845,MEM,99,36.711304,PHO,101,H,0.59445369
94903,MEM,100,35.08749,LAC,102,A,0.50632095
94915,MEM,94,34.650707000000004,LAL,110,A,0.18298167
94946,MEM,87,33.868984000000005,SAS,105,H,0.2838062
94970,MEM,101,33.589928,LAL,102,H,0.36576739
94984,MEM,91,33.001896,ATL,97,A,0.39747226
95029,MEM,111,33.274719,LAC,108,H,0.72583252
95069,MEM,96,33.969109,POR,93,H,0.41671625
95102,MEM,107,33.457176000000004,DET,110,H,0.46061271
95133,MEM,86,33.002502,HOU,97,A,0.23728299
95154,MEM,87,32.277161,MIN,95,H,0.41605577
95387,MEM,91,33.826473,BOS,93,H,0.57222044
