,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
59777,MIA,91,20.823248,LAC,111,H,0.64234054
59797,MIA,88,20.755774,DAL,92,A,0.088902652
59822,MIA,93,20.256552,SAS,117,A,0.20276552
59844,MIA,100,19.538641000000002,HOU,121,H,0.30597565
59891,MIA,65,19.020502,BOS,84,H,0.25031331
59912,MIA,107,18.92016,HOU,113,A,0.1119796
59928,MIA,117,18.382595000000002,GSW,123,H,0.47739607
59989,MIA,91,17.83894,LAL,138,H,0.15288061
60029,MIA,93,17.697948,MIL,103,A,0.12159729
60039,MIA,80,17.536547,CLE,109,A,0.072390676
60074,MIA,101,16.707394,SAS,105,H,0.38701871
60097,MIA,102,16.574001000000003,POR,105,H,0.20838444
60158,MIA,94,16.257734,SAC,96,H,0.48989716
60180,MIA,110,16.039797,DEN,121,H,0.18049322
60191,MIA,88,15.911919000000001,CHI,111,A,0.072779953
60213,MIA,94,15.826041,UTA,110,A,0.064028442
60245,MIA,89,16.315639,LAC,88,A,0.23451018
60254,MIA,90,16.161869,SAC,94,A,0.21523583
60280,MIA,87,15.873488,DAL,104,H,0.18063535
60308,MIA,100,15.807135999999998,DET,116,A,0.050774634000000006
60350,MIA,101,17.975199,UTA,80,H,0.18371227
60366,MIA,111,18.353189,SAS,109,H,0.46878976
60385,MIA,93,18.055311,HOU,101,H,0.25937113
60412,MIA,83,17.655439,DEN,109,A,0.07781875099999999
60443,MIA,95,17.498989,POR,119,A,0.079663396
60453,MIA,100,17.289919,GSW,109,A,0.18474627
60480,MIA,86,17.153446,LAL,118,A,0.059208095
60504,MIA,99,17.077482,PHO,107,A,0.08077293599999999
60524,MIA,88,16.927826,UTA,92,H,0.20402691
60571,MIA,101,16.633909,MIL,107,H,0.19302212
60599,MIA,118,17.02598,IND,117,H,0.35160115
60646,MIA,108,16.882746,CHI,112,H,0.19672935
60687,MIA,101,16.533779,SAS,119,A,0.20062971
60692,MIA,93,16.33069,HOU,118,A,0.10253298
60717,MIA,108,15.798832,DEN,129,H,0.27020040000000006
60757,MIA,103,15.669544,BOS,121,A,0.086596906
60768,MIA,98,15.432731,GSW,105,H,0.25137657
60854,MIA,102,15.765263000000001,SAC,98,H,0.41572613
60872,MIA,77,15.664089,UTA,96,A,0.067225993
60891,MIA,92,15.476842999999999,DEN,117,A,0.098892748
60917,MIA,98,15.351083,CLE,109,H,0.11450782
60941,MIA,80,15.240319,DAL,93,A,0.093413472
60983,MIA,124,16.919682,ATL,115,H,0.15468083
61020,MIA,108,16.107367,PHI,139,H,0.23979560000000003
61049,MIA,111,16.886272,LAC,91,H,0.62277651
61074,MIA,102,16.332397,POR,124,H,0.26625919
61098,MIA,110,16.189826999999998,DAL,111,H,0.29619426
61126,MIA,123,16.137972,NYK,132,A,0.055875062999999996
61140,MIA,95,15.875648000000002,UTA,107,H,0.20344314
61166,MIA,100,15.755363000000001,DET,109,H,0.12070119
61205,MIA,87,15.410651000000001,LAL,127,H,0.12542142
61225,MIA,131,15.881310000000001,DEN,130,H,0.24308839
61232,MIA,78,15.726729,ATL,111,A,0.068794906
61265,MIA,104,15.565123000000002,PHO,112,H,0.1679325
61288,MIA,109,16.332758,LAC,103,A,0.32264304
61322,MIA,96,16.233698,UTA,118,A,0.05869984599999999
61324,MIA,105,16.154413,DEN,111,A,0.1005612
61355,MIA,97,16.073421,PHO,115,A,0.055902481
61381,MIA,107,17.068422,NYK,103,H,0.13593395
61415,MIA,107,17.404507000000002,SAS,105,H,0.50056112
61466,MIA,89,18.453941,IND,96,A,0.15910566
61499,MIA,93,18.252910999999997,PHI,114,A,0.10553396
61516,MIA,96,18.146339,DAL,98,A,0.1837461
61544,MIA,87,17.595839,SAS,109,A,0.25291085
61597,MIA,107,17.951470999999998,HOU,104,H,0.25382766
61620,MIA,69,17.277199,SAC,108,A,0.21238959
61629,MIA,98,17.129267000000002,GSW,114,A,0.09886694
61669,MIA,86,16.933767,POR,97,A,0.10499269
61694,MIA,108,16.867183999999998,LAL,121,A,0.055195153
61720,MIA,99,16.515631,DAL,103,H,0.42562136
61734,MIA,91,16.270462,PHO,117,H,0.11847521
61773,MIA,91,17.177181,HOU,89,A,0.082798243
61954,MIA,99,21.479248000000002,NYK,119,A,0.11319607
61999,MIA,91,22.311853,PHI,115,A,0.13519388
62018,MIA,98,22.212214000000003,IND,102,A,0.12107897
62046,MIA,88,23.421904,DET,84,H,0.14489226
62069,MIA,101,24.060963,HOU,99,H,0.3159976
62088,MIA,94,23.866135,DET,130,A,0.06188482
62128,MIA,99,23.752789,DAL,100,A,0.19424248
62147,MIA,94,23.231567000000002,HOU,132,A,0.14555317
62183,MIA,103,24.005229999999997,PHI,113,H,0.37405959
62204,MIA,87,23.356254999999997,ATL,103,H,0.29947439
62253,MIA,99,22.763567000000002,ORL,104,A,0.27186322
62269,MIA,100,21.899466,MIN,105,H,0.66709965
62318,MIA,107,20.675817000000002,CHI,114,H,0.26199734
62342,MIA,107,20.389967000000002,POR,113,H,0.26754037
62360,MIA,98,20.150343,PHI,121,A,0.10964543
62385,MIA,122,20.834312,ORL,114,H,0.51663804
62444,MIA,75,20.382629,LAL,102,H,0.17203465
62471,MIA,95,21.829557,MIN,84,A,0.2851761
62487,MIA,99,22.9226,MIL,96,A,0.13240445
62543,MIA,115,22.232513,ATL,117,H,0.25283438
62573,MIA,104,21.219982,DEN,135,H,0.30785784
62600,MIA,94,21.01325,NYK,100,H,0.19888401
62627,MIA,107,20.765429,DEN,132,A,0.10526687
62667,MIA,98,20.564072,UTA,117,A,0.10455894
62683,MIA,95,20.314896,POR,119,A,0.10997027
62703,MIA,117,20.223179000000002,GSW,119,A,0.15076470000000003
62750,MIA,93,19.76166,LAL,132,A,0.053481996
62775,MIA,102,19.472835999999997,SAS,107,H,0.30031490000000005
62843,MIA,96,18.592117000000002,BOS,105,H,0.24465691
62883,MIA,121,21.203041,IND,111,H,0.28847072
62912,MIA,95,20.877724,PHI,102,H,0.27424818
62942,MIA,101,20.649202,MIL,127,A,0.095821321
62964,MIA,99,20.279408,PHO,118,H,0.18018939
62975,MIA,95,20.078885999999997,BOS,116,A,0.099286675
63002,MIA,105,19.910864,IND,115,A,0.13202888
63048,MIA,94,19.311501999999997,CLE,106,H,0.3635923
63092,MIA,126,22.041218,LAC,91,H,0.35360736
63135,MIA,107,21.920826,NYK,116,A,0.098262727
63171,MIA,82,20.344299,CLE,106,A,0.15365815
63200,MIA,95,19.923296,CHI,107,H,0.26564026
63237,MIA,105,19.766495000000003,CHI,119,A,0.10301596
63257,MIA,79,19.542435,DET,97,H,0.12251849
63285,MIA,85,19.500256,DET,94,A,0.04094094
63347,MIA,128,20.403433,NYK,121,H,0.20730604
63371,MIA,108,20.141354,MIL,113,H,0.27122241
63381,MIA,114,19.955996,ATL,123,A,0.15217793
63410,MIA,113,21.266762,SAC,92,H,0.50793082
63439,MIA,110,20.862370000000002,BOS,122,H,0.2500639
