,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
17155,MIL,84,25.889093,CHI,89,H,0.51499218
17168,MIL,107,25.569078,ATL,125,A,0.14496732
17200,MIL,112,25.284498000000003,NYK,114,H,0.35525379
17219,MIL,89,25.152071,BOS,102,A,0.080903888
17269,MIL,134,25.96924,DET,118,H,0.380335
17335,MIL,115,25.858187,LAL,128,A,0.11385566
17369,MIL,97,25.709917,BOS,98,H,0.23590882
17442,MIL,92,25.757343,PHI,136,A,0.09873229300000001
17472,MIL,119,27.818817,ATL,98,H,0.38404879
17501,MIL,111,27.348768,CHI,120,A,0.28988725
17529,MIL,115,27.668509000000004,PHO,112,H,0.66512299
17637,MIL,112,25.31834,LAL,119,A,0.10220683
17657,MIL,115,24.768158,BOS,137,H,0.20914041
17671,MIL,99,24.722593,BOS,101,A,0.072253704
17700,MIL,112,24.414953,PHI,121,H,0.21219431
17715,MIL,113,24.266195,NYK,119,A,0.13781500000000002
17729,MIL,117,24.062057,PHI,122,H,0.19855987
17838,MIL,116,24.760717,ATL,122,A,0.13705969
17859,MIL,111,24.581135,CHI,113,A,0.24369645
17903,MIL,127,25.899651000000002,PHO,116,H,0.64637947
17921,MIL,113,25.104675,DET,119,H,0.55440807
17934,MIL,106,24.795959,BOS,139,A,0.09710931800000001
17981,MIL,97,24.033194,CHI,102,H,0.48738915
18008,MIL,107,23.499851,PHI,128,H,0.21499722
18039,MIL,121,24.162382,PHO,104,H,0.66051114
18108,MIL,101,26.289865000000002,NYK,115,H,0.2827794
18170,MIL,114,28.092627,BOS,110,H,0.23016244
18214,MIL,108,27.54492,DET,123,A,0.24938691
18233,MIL,109,27.151390000000003,NYK,117,H,0.26526728
18261,MIL,102,27.855925,DET,101,A,0.22689253
18266,MIL,105,27.103746,LAL,122,H,0.30592671
18314,MIL,96,26.885149,NYK,113,A,0.10457069
18360,MIL,107,23.800209,PHO,111,H,0.73193264
18392,MIL,104,23.75263,LAL,105,A,0.09003222
18430,MIL,121,23.205744,PHO,122,A,0.4276402
18451,MIL,107,24.714741,CHI,98,A,0.24576837
18469,MIL,102,24.443516,NYK,111,H,0.19006889
18558,MIL,106,24.604126,ATL,113,H,0.3277196
18607,MIL,106,26.010111,LAL,97,H,0.25577101
18622,MIL,123,28.470940000000002,ATL,111,A,0.14442676
18678,MIL,108,29.056086999999998,DET,107,A,0.32120651
18699,MIL,107,29.306915000000004,PHO,103,H,0.76068509
18764,MIL,102,30.323444,PHI,123,H,0.32374169999999997
18787,MIL,108,30.1252,ATL,112,A,0.19248277
18804,MIL,132,29.577071999999998,PHI,143,H,0.28839153
18829,MIL,108,27.978651,CHI,124,H,0.57121342
18883,MIL,126,28.543863,DET,121,A,0.29743814
18956,MIL,103,25.42395,LAL,111,A,0.12365514
19022,MIL,117,25.593407,PHO,110,A,0.48673064
19081,MIL,128,28.561822999999997,PHO,118,A,0.55170298
19346,MIL,119,32.304867,DET,110,H,0.58761942
19405,MIL,112,35.288321999999994,LAL,123,A,0.16645944
19435,MIL,119,36.104603000000004,PHO,99,A,0.54133749
19448,MIL,107,34.965134,BOS,120,H,0.46110892
19472,MIL,102,37.464024,DET,81,A,0.34898722
19487,MIL,129,38.707878,PHI,125,A,0.22194606
19503,MIL,108,38.552147,NYK,112,A,0.14660162
19527,MIL,93,37.612602,NYK,109,H,0.34810820000000003
19582,MIL,100,37.974422,DET,96,H,0.69433284
19615,MIL,129,38.828613,BOS,118,A,0.22318918
19652,MIL,122,40.084839,CHI,100,H,0.63181406
19759,MIL,106,38.351279999999996,CHI,125,A,0.37579894
