,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
61967,MIN,83,23.092154,POR,93,A,0.16102850000000002
61997,MIN,84,22.621931,CHI,96,H,0.27226093
62022,MIN,125,23.695835,PHI,118,H,0.32537025
62073,MIN,101,23.687838,GSW,98,H,0.42017162
62093,MIN,76,22.6766,SAS,86,H,0.55509263
62108,MIN,99,22.43359,BOS,116,A,0.12585396
62137,MIN,96,22.231672,NYK,111,A,0.11567575
62161,MIN,101,22.03545,UTA,103,H,0.27812368
62187,MIN,93,21.752544,DEN,96,H,0.33708131
62196,MIN,89,21.50425,DAL,99,A,0.17803997
62268,MIN,105,21.902424,MIA,100,A,0.33290035
62283,MIN,96,21.600082,ORL,103,A,0.25283307
62308,MIN,101,25.93157,CLE,74,A,0.11365569
62391,MIN,91,26.008015,ATL,104,A,0.11389029
62426,MIN,112,25.92466,IND,113,A,0.14196867
62447,MIN,87,25.402447,DAL,90,H,0.51373821
62470,MIN,84,23.812418,MIA,95,H,0.7148239000000001
62499,MIN,112,23.306185,UTA,122,H,0.31462711
62530,MIN,97,22.815516,LAL,106,H,0.18799129
62575,MIN,90,22.457142,MIL,94,H,0.36408463
62590,MIN,99,22.307817,CHI,112,A,0.09598970400000001
62614,MIN,108,24.033417,HOU,91,H,0.36186209
62645,MIN,101,23.40341,PHO,118,H,0.28175098
62662,MIN,99,23.217499,MIL,109,A,0.13234538
62677,MIN,79,22.477884,LAC,87,H,0.48660126
62745,MIN,96,22.519163,SAS,109,A,0.13626552
62783,MIN,70,21.943365,SAC,84,A,0.30150247
62805,MIN,80,21.753511,POR,82,H,0.27229309
62817,MIN,86,21.672676,DET,97,A,0.061909139
62901,MIN,96,21.539061,PHO,113,A,0.075514555
62929,MIN,95,21.440217999999998,LAC,97,A,0.15566742
62962,MIN,102,21.270224,GSW,109,A,0.15454215
63006,MIN,84,21.017204,CLE,85,H,0.40962043
63025,MIN,83,20.915218,DET,85,H,0.16230409
63042,MIN,109,22.265575,SAC,91,H,0.46560591
63094,MIN,116,26.343009999999996,BOS,105,H,0.30777144
63127,MIN,95,25.537138,GSW,105,H,0.44181564
63147,MIN,101,25.307289,HOU,108,A,0.18374264
63173,MIN,77,24.96516,DAL,90,A,0.18831545
63207,MIN,104,24.855738,UTA,110,A,0.10363013
63243,MIN,111,26.093203,IND,105,H,0.42002097
63272,MIN,108,27.189781,ATL,98,H,0.44384399
63296,MIN,97,27.922435999999998,HOU,92,H,0.45720205
63351,MIN,95,27.237219,SAS,105,A,0.17586362
63372,MIN,82,26.739849,DAL,87,H,0.40240592
63466,MIN,96,27.353619000000002,LAL,115,A,0.072126031
63504,MIN,73,26.423059000000002,DEN,86,H,0.42738724
63519,MIN,111,27.509739,LAC,94,H,0.5811643
63543,MIN,98,27.331328999999997,PHO,101,H,0.20329468
63569,MIN,88,26.890026000000002,SAS,92,H,0.39746302
63609,MIN,102,29.049269,NYK,82,H,0.35768899
63635,MIN,99,28.856993,LAL,101,H,0.24074723
63646,MIN,98,28.617410999999997,DEN,103,A,0.2109018
63671,MIN,101,28.357221999999997,GSW,105,A,0.2493639
63695,MIN,84,27.896563,SAC,90,A,0.34339905
63722,MIN,99,27.696169,PHO,120,A,0.08378648799999999
63754,MIN,110,29.526506,POR,105,A,0.08529228
63767,MIN,96,29.008144,LAC,101,A,0.40325838
63787,MIN,93,29.489223,SAC,88,H,0.6206823
63813,MIN,84,30.480957,DAL,82,A,0.17386705
63828,MIN,98,30.189058000000003,HOU,106,A,0.19653755
63868,MIN,92,31.235376000000002,SAS,90,A,0.15638870000000002
63956,MIN,94,29.451393,POR,106,H,0.27530190000000004
63985,MIN,77,29.0014,PHI,110,A,0.12650818
64003,MIN,117,29.412539000000002,ORL,102,H,0.80941319
64030,MIN,90,28.739809,UTA,103,H,0.31648809
64053,MIN,89,27.820402,DEN,99,H,0.47405773
64080,MIN,89,27.6422,LAL,113,A,0.069338977
64104,MIN,89,27.484259,UTA,97,A,0.11877334
64119,MIN,108,27.224312,DEN,115,A,0.19785118
64298,MIN,98,31.841181,DAL,85,H,0.45605448
64310,MIN,93,31.154781,MIL,111,A,0.26001984
64338,MIN,96,30.941383000000002,IND,98,A,0.25674462
64357,MIN,91,30.471077,CHI,96,H,0.36595568
64415,MIN,108,32.457043,ORL,81,H,0.79032177
64428,MIN,88,32.276817,HOU,90,A,0.21892977
64456,MIN,108,31.561521999999997,DEN,121,A,0.32276928
64510,MIN,94,30.692883000000002,UTA,103,H,0.461308
64522,MIN,92,31.466568,DAL,91,A,0.20959741
64551,MIN,100,31.200802000000003,SAS,114,A,0.13163537
64596,MIN,91,30.055836,HOU,107,H,0.43083522
64616,MIN,89,31.170371999999997,SAC,80,A,0.43720043
64644,MIN,92,30.942131,POR,107,A,0.11071759
64658,MIN,79,30.509001,UTA,96,A,0.18183428
64684,MIN,77,29.353336,LAC,102,A,0.33875692
64702,MIN,83,29.760680999999998,IND,81,H,0.55164337
64733,MIN,73,29.293682,LAL,83,H,0.26562038
64786,MIN,101,29.881233,LAC,95,H,0.58798599
64817,MIN,76,28.702906,NYK,87,H,0.54232568
64851,MIN,74,28.101107,SAS,90,H,0.25834548
64884,MIN,99,27.496015999999997,SAC,108,A,0.35752624
64900,MIN,96,27.292408000000002,PHO,112,A,0.10113084
