,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
121073,NOP,90,32.484348,IND,95,H,0.41779611
121111,NOP,90,30.779911,ORL,110,A,0.51812875
121127,NOP,105,31.669912,CHA,84,H,0.70282817
121162,NOP,98,30.57688,PHO,104,H,0.65263963
121179,NOP,99,33.607566999999996,MEM,84,A,0.14768916
121208,NOP,96,34.613468,LAL,85,H,0.54151577
121247,NOP,94,34.001476000000004,PHO,101,A,0.38040704
121271,NOP,95,33.013882,LAL,116,A,0.31787801
121296,NOP,105,32.528347,UTA,111,A,0.34051055
121338,NOP,135,34.406628000000005,PHI,98,H,0.6133045
121388,NOP,105,34.951465999999996,UTA,98,H,0.65550178
121419,NOP,104,35.231091,CLE,100,H,0.75165188
121471,NOP,93,34.973991,SAS,112,A,0.10297775
121476,NOP,101,34.591381,GSW,102,H,0.46964133
121526,NOP,121,36.383423,PHI,105,A,0.41177863
121556,NOP,103,37.331234,NYK,99,A,0.34329766
121565,NOP,131,38.298275,CHI,128,A,0.27957147
121598,NOP,97,37.609261,DAL,100,H,0.56820059
121618,NOP,95,36.656788,OKC,109,H,0.38033864
121699,NOP,111,37.103996,DET,106,H,0.66486549
121723,NOP,104,37.744747,MEM,98,H,0.58336914
121751,NOP,93,37.36322,DEN,102,A,0.22109574
121785,NOP,93,36.881916,GSW,104,A,0.24337077
121798,NOP,95,36.531349,LAC,108,A,0.16848594
121854,NOP,107,36.330181,POR,110,A,0.20621336
121883,NOP,113,37.804821000000004,SAC,100,A,0.44026005
121912,NOP,105,39.160187,DEN,89,H,0.53077221
121928,NOP,98,38.769268,HOU,107,A,0.22490311
121966,NOP,110,39.304394,POR,108,H,0.47749653
121990,NOP,112,38.685989,MIN,124,A,0.28618944
122016,NOP,95,39.446632,BOS,92,A,0.3902933
122032,NOP,82,39.029987,IND,99,A,0.16627634
122081,NOP,88,38.631351,MIA,107,A,0.14964664
122100,NOP,96,37.470859999999995,WAS,102,H,0.65503669
122128,NOP,90,35.731274,DAL,107,H,0.55515546
122138,NOP,107,35.486542,DAL,110,A,0.24546385
122166,NOP,95,35.053878999999995,SAS,101,H,0.30343604
122193,NOP,100,34.587334000000006,HOU,103,H,0.42429486
122248,NOP,87,33.815861,GSW,97,H,0.38755697
122276,NOP,95,34.869461,MEM,92,A,0.23130345
122287,NOP,97,32.657790999999996,SAC,114,H,0.66996402
122327,NOP,103,33.268879,DET,101,A,0.40615481
122368,NOP,100,33.62101,ORL,92,H,0.77564394
122387,NOP,100,34.915909,CLE,89,A,0.44240302
122413,NOP,77,34.52,MIN,88,A,0.20809907
122455,NOP,88,35.378014,CHI,79,H,0.55682999
122480,NOP,95,34.801903,SAS,102,H,0.36001238
122508,NOP,105,35.452362,ATL,100,H,0.54012531
122536,NOP,98,36.368454,MIN,91,H,0.47896484
122563,NOP,81,35.688553000000006,BRK,93,A,0.31347483
122587,NOP,101,35.346531,TOR,108,A,0.2303915
122616,NOP,102,35.813026,MIL,98,A,0.61818796
122661,NOP,91,34.580090000000006,NYK,98,H,0.65110362
122678,NOP,87,34.254044,CHA,90,A,0.31597149
122713,NOP,93,34.069237,WAS,94,A,0.2572242
122732,NOP,110,33.270882,LAC,123,H,0.3487058
122758,NOP,89,32.759785,DAL,108,A,0.1921578
122792,NOP,104,32.307045,PHO,116,A,0.22675002
122800,NOP,76,31.861258000000003,LAC,108,A,0.12378484
122840,NOP,89,31.310331,SAC,96,A,0.35656726
122850,NOP,132,32.344398,LAL,125,A,0.41323924
122899,NOP,112,32.661438000000004,MIL,104,H,0.79354346
122932,NOP,111,33.081684,DEN,107,H,0.64328164
122968,NOP,88,32.725056,MEM,90,H,0.38905177
122998,NOP,103,32.021587,POR,111,H,0.40671623
123031,NOP,121,32.235619,BOS,120,H,0.7034108
123076,NOP,100,31.576086,TOR,107,H,0.41237649
123093,NOP,111,32.852932,ATL,105,A,0.28207403
123125,NOP,105,34.481575,MIA,95,H,0.31201705
123154,NOP,109,35.286087,BRK,104,H,0.45624899999999996
123180,NOP,98,36.055828000000005,LAC,96,H,0.3123078
123211,NOP,102,36.415828999999995,UTA,95,H,0.76009613
123230,NOP,80,36.181629,SAS,96,A,0.10449046
123266,NOP,97,35.03257,SAC,102,H,0.69920546
123279,NOP,107,33.47488,DEN,137,A,0.3740558
123333,NOP,96,32.859386,UTA,100,A,0.48538673
123359,NOP,94,32.61808,POR,100,A,0.18675005
123390,NOP,88,32.004391,PHO,94,H,0.41499272
123420,NOP,94,31.690371999999996,OKC,116,A,0.11542928
123440,NOP,104,31.511988,HOU,111,A,0.13430129999999998
123468,NOP,101,33.394249,OKC,89,H,0.29264012
123500,NOP,105,34.438598999999996,HOU,100,H,0.33864608
123694,NOP,101,36.695789000000005,ORL,84,H,0.75741923
123757,NOP,104,36.046172999999996,DAL,109,H,0.4565044
123784,NOP,81,35.642742,MEM,93,A,0.20023173
123868,NOP,100,37.448696000000005,SAS,99,A,0.13624948
123888,NOP,111,36.868721,CLE,118,A,0.35836536
123919,NOP,109,37.304676,LAL,102,H,0.71828955
123945,NOP,139,39.729382,MIN,91,H,0.60349965
123997,NOP,93,39.322289000000005,POR,102,A,0.23270822
124004,NOP,106,40.417671,SAC,100,A,0.37299961
124041,NOP,97,39.091953000000004,DEN,117,A,0.40648687
124075,NOP,106,40.381557,UTA,94,A,0.47773057
124106,NOP,89,38.864201,SAC,99,H,0.64142501
124137,NOP,91,38.20335,ATL,100,A,0.35229158
124170,NOP,80,37.915913,WAS,83,A,0.27886426
124208,NOP,112,38.69149,OKC,104,H,0.57407504
124237,NOP,85,38.153954,GSW,112,A,0.15667355
124272,NOP,100,37.706932,LAC,120,A,0.16085047
124286,NOP,104,39.384174,LAL,87,A,0.46333146
124315,NOP,104,39.912193,NYK,93,H,0.73820794
124329,NOP,107,39.627243,DAL,112,A,0.22620547
124358,NOP,119,40.254096999999994,CLE,114,H,0.5607115
124392,NOP,122,39.744999,GSW,128,H,0.34247658
124420,NOP,119,40.06609,UTA,111,H,0.79895592
124452,NOP,99,42.099705,HOU,90,A,0.19776988
124487,NOP,88,40.268703,POR,114,H,0.45405596
124499,NOP,101,41.135689,OKC,99,A,0.26556224
124528,NOP,84,40.123169,IND,96,A,0.43086863
124566,NOP,97,41.201084,SAS,90,H,0.41746643
124579,NOP,100,40.875515,CHI,107,A,0.21732008
124633,NOP,110,41.471061999999996,PHO,106,H,0.54089808
124652,NOP,93,41.293095,SAS,95,A,0.20818037
124669,NOP,111,43.596806,HOU,83,H,0.47776669
124723,NOP,85,42.456974,WAS,92,H,0.60796946
124778,NOP,106,42.919136,MEM,95,H,0.51190525
124817,NOP,100,41.860191,BOS,108,A,0.54321432
124849,NOP,105,43.248169,DET,94,A,0.42389858
124876,NOP,81,40.925796999999996,PHI,96,A,0.716802
124911,NOP,95,41.760956,TOR,93,A,0.28267092
124929,NOP,92,40.484984999999995,NYK,99,A,0.65749651
124954,NOP,96,41.051949,LAL,80,H,0.7747546999999999
124985,NOP,92,41.769863,MIN,84,A,0.60148323
125016,NOP,109,42.380611,DAL,106,H,0.48364276
125031,NOP,99,42.74078,PHI,74,H,0.88490307
125056,NOP,85,41.152466,DEN,93,H,0.72310221
125088,NOP,108,42.019997,LAC,103,H,0.43395314
125129,NOP,115,43.905105999999996,ATL,100,H,0.37746125
125163,NOP,91,42.457745,OKC,102,H,0.59484684
125193,NOP,116,43.419949,OKC,113,A,0.2836194
125207,NOP,72,39.944607,CHI,107,H,0.62805301
125247,NOP,96,38.893471000000005,UTA,100,H,0.70001692
125276,NOP,93,36.930115,IND,106,H,0.68523997
125309,NOP,84,35.553345,ORL,95,A,0.57782567
125326,NOP,105,37.502712,MIA,91,A,0.33732915
125356,NOP,100,38.144714,TOR,97,H,0.46120426
125384,NOP,102,38.685032,BRK,96,H,0.63905227
125417,NOP,104,38.988434000000005,MIA,102,H,0.67026663
125445,NOP,99,39.792244000000004,DEN,92,A,0.53496206
125459,NOP,93,39.356319,DAL,102,A,0.246867
125497,NOP,88,39.676487,DET,85,H,0.69531387
125525,NOP,98,38.316864,BOS,104,H,0.72625893
125544,NOP,95,39.22971,MEM,89,H,0.45102835
125577,NOP,114,40.914055,MIL,103,A,0.33838409
125581,NOP,111,42.928490000000004,BRK,91,A,0.43477839
125656,NOP,111,41.350685,DEN,118,H,0.75489831
125695,NOP,85,41.600788,MIL,84,H,0.67504591
125727,NOP,72,41.249649,PHO,74,A,0.37170672
125736,NOP,96,40.936745,GSW,112,A,0.13365084
125766,NOP,100,40.659813,LAC,107,A,0.18871146
125819,NOP,93,40.148613,HOU,95,H,0.50344878
125846,NOP,102,40.823822,SAC,88,H,0.71732563
125883,NOP,110,41.345806,MIN,88,H,0.82700437
125918,NOP,113,42.726452,LAL,92,A,0.59142321
125957,NOP,101,43.53931,SAC,95,A,0.49809152
125978,NOP,90,43.102097,POR,99,A,0.24791777
126004,NOP,103,44.036388,GSW,100,H,0.29634649
126020,NOP,74,42.545544,MEM,110,A,0.31590664
126055,NOP,90,43.343201,PHO,75,H,0.68617636
126083,NOP,114,42.964813,HOU,121,A,0.24811292
126108,NOP,100,43.624046,MIN,88,A,0.69762117
126145,NOP,108,44.6852,SAS,103,H,0.34247375
126154,NOP,99,44.507481,GSW,106,A,0.12847745
126170,NOP,87,44.292266999999995,GSW,97,A,0.12629247
126189,NOP,119,43.926201,GSW,123,H,0.30860746
126201,NOP,98,43.308601,GSW,109,H,0.30005243
