,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
153,NYK,90,47.171368,BOS,65,A,0.5167109999999999
165,NYK,62,47.673653,BOS,44,H,0.80683029
296,NYK,62,43.251884000000004,BOS,66,A,0.55132949
328,NYK,45,41.029666999999996,BOS,58,H,0.75976527
360,NYK,46,39.967690000000005,BOS,52,H,0.73876226
415,NYK,48,35.769321000000005,BOS,49,A,0.39862883
746,NYK,91,39.263515000000005,BOS,75,A,0.46318918
748,NYK,63,38.338260999999996,BOS,65,H,0.76516193
787,NYK,79,44.141617,BOS,75,A,0.53887653
815,NYK,70,48.252590000000005,BOS,58,H,0.8143096
910,NYK,74,43.404011,BOS,58,A,0.44852972
935,NYK,66,43.032833000000004,BOS,64,H,0.78484005
957,NYK,68,45.761993,BOS,57,A,0.56481278
965,NYK,80,46.118935,BOS,68,H,0.82031637
1369,NYK,75,46.409744,BOS,77,A,0.55673426
1461,NYK,69,46.791939,BOS,67,A,0.50441265
1491,NYK,81,46.617512,BOS,64,H,0.79515868
1693,NYK,77,40.335102,BOS,87,H,0.81225777
1762,NYK,66,39.704372,BOS,61,H,0.73481774
1835,NYK,56,40.965683,BOS,70,A,0.48045611
2093,NYK,96,47.366688,BOS,84,H,0.7626313
2336,NYK,78,49.493458000000004,BOS,97,A,0.54028046
2474,NYK,82,49.232094000000004,BOS,80,H,0.73466069
2870,NYK,81,49.871165999999995,BOS,72,A,0.53174883
2972,NYK,88,46.375065,BOS,84,H,0.80180568
2986,NYK,98,46.790031,BOS,96,A,0.56721383
3184,NYK,83,38.742447,BOS,89,H,0.71680886
3212,NYK,90,40.957077000000005,BOS,93,A,0.43452317
3331,NYK,86,43.443771000000005,BOS,80,A,0.46478146
3382,NYK,77,45.641921999999994,BOS,60,H,0.75479662
3386,NYK,90,44.533359999999995,BOS,100,A,0.51114619
3524,NYK,76,46.834286,BOS,75,H,0.70442486
3656,NYK,85,46.572399,BOS,87,A,0.42155176
3697,NYK,84,45.518826000000004,BOS,78,A,0.37574023
3784,NYK,83,44.09211,BOS,69,A,0.36553335
3794,NYK,92,44.837498,BOS,78,H,0.69069237
3907,NYK,93,41.934677,BOS,92,A,0.33011693
3937,NYK,68,42.703789,BOS,70,H,0.62425101
4004,NYK,94,40.0569,BOS,103,A,0.31367874
4100,NYK,90,42.399925,BOS,100,A,0.34020871
4112,NYK,87,42.718437,BOS,86,H,0.60216349
4269,NYK,91,44.017348999999996,BOS,83,H,0.62330163
4273,NYK,95,43.526989,BOS,100,A,0.36029011
4414,NYK,105,46.460541,BOS,86,H,0.62549299
4418,NYK,89,47.128963,BOS,87,A,0.37493181
4499,NYK,94,47.450348,BOS,105,A,0.36610079
4509,NYK,101,47.900806,BOS,97,H,0.62622797
4515,NYK,88,48.475182000000004,BOS,87,A,0.35791242
4604,NYK,79,49.974876,BOS,68,H,0.67838395
4805,NYK,97,51.148254,BOS,84,H,0.67230421
4862,NYK,100,52.336689,BOS,103,A,0.4057557
4926,NYK,83,49.258041,BOS,99,A,0.39959431
4945,NYK,112,51.154263,BOS,89,A,0.35613775
4993,NYK,76,56.415863,BOS,69,H,0.77685332
5032,NYK,79,56.162556,BOS,87,A,0.55152273
5092,NYK,66,57.223011,BOS,69,A,0.57315969
5112,NYK,83,56.754906000000005,BOS,87,A,0.55196887
5197,NYK,78,55.118317000000005,BOS,89,H,0.7672899999999999
5267,NYK,95,53.468861,BOS,91,H,0.67242575
5268,NYK,70,52.434490000000004,BOS,86,A,0.40401906
5274,NYK,101,53.398205000000004,BOS,82,H,0.65440619
5277,NYK,82,54.40467099999999,BOS,75,A,0.40196425
5396,NYK,103,53.666748,BOS,92,A,0.50167274
5405,NYK,84,52.455551,BOS,96,A,0.53318191
5469,NYK,108,48.451015000000005,BOS,113,H,0.73169225
5557,NYK,74,45.163074,BOS,95,H,0.70885819
5640,NYK,87,47.586552000000005,BOS,84,A,0.3522113
5740,NYK,87,46.121834,BOS,78,A,0.35119647
5762,NYK,81,46.598755,BOS,84,A,0.3720271
5783,NYK,89,44.518271999999996,BOS,103,A,0.3588593
5795,NYK,87,44.880547,BOS,85,H,0.6160059
5870,NYK,86,39.933537,BOS,71,H,0.49657953
5942,NYK,71,40.861645,BOS,93,H,0.54706699
5955,NYK,78,40.359512,BOS,79,A,0.2358678
6039,NYK,98,39.116535,BOS,117,H,0.61698794
6049,NYK,103,38.733906,BOS,108,A,0.29184771
6164,NYK,93,40.249603,BOS,81,H,0.56380022
6210,NYK,96,36.416626,BOS,113,A,0.29347444
6234,NYK,88,36.270588000000004,BOS,83,H,0.53479862
6263,NYK,100,35.162704,BOS,116,A,0.24655622
6281,NYK,98,38.439377,BOS,102,A,0.26594877
6375,NYK,115,39.707569,BOS,107,H,0.61412442
6414,NYK,105,42.566639,BOS,103,A,0.42164463
6549,NYK,114,44.669959999999996,BOS,95,H,0.73833907
6550,NYK,97,45.182034,BOS,95,A,0.49232650000000006
6558,NYK,101,44.005264000000004,BOS,112,A,0.51041472
6564,NYK,101,42.331726,BOS,122,A,0.47788888
6568,NYK,102,42.792645,BOS,95,H,0.70652544
6574,NYK,109,41.340839,BOS,116,H,0.71691924
6631,NYK,96,42.756972999999995,BOS,95,H,0.66302043
6661,NYK,115,43.480759,BOS,111,A,0.39494807
6748,NYK,100,42.169769,BOS,102,A,0.37655288
6769,NYK,92,42.259731,BOS,95,H,0.67162269
6831,NYK,107,44.369564000000004,BOS,97,A,0.32066703
6835,NYK,103,46.475429999999996,BOS,86,A,0.36135858
6844,NYK,87,45.337551,BOS,92,H,0.69332856
6888,NYK,109,43.226261,BOS,104,A,0.34625518
6992,NYK,104,38.983055,BOS,114,A,0.37753773
7003,NYK,113,39.75687,BOS,102,H,0.63805419
