,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
108420,OKC,87,24.632092999999998,MIL,98,H,0.66976047
108463,OKC,77,24.478379999999998,HOU,89,A,0.098168314
108483,OKC,88,24.890709,MIN,85,H,0.5667035
108520,OKC,83,24.489309,BOS,96,H,0.21838798
108554,OKC,97,24.394257999999997,UTA,104,A,0.085542619
108582,OKC,85,24.028292,ATL,89,H,0.35824534
108588,OKC,99,23.785608,IND,107,A,0.18586767
108626,OKC,92,23.078768,ORL,109,H,0.31262043
108659,OKC,106,22.691708,NYK,116,A,0.25399369
108679,OKC,85,22.24629,PHI,110,A,0.16986454
108694,OKC,89,21.895906,HOU,100,H,0.2257777
108730,OKC,88,20.178904,LAC,108,H,0.61321867
108816,OKC,98,19.367331,PHO,99,H,0.21492785
108824,OKC,82,19.182551999999998,CLE,117,A,0.068208456
108861,OKC,103,18.868898,MIN,105,H,0.44697639
108879,OKC,111,20.041767,MEM,103,A,0.26797849
108931,OKC,97,19.848385,CHA,103,A,0.19395572
108968,OKC,89,19.759047,ORL,98,A,0.079972267
108981,OKC,99,19.582487,MIA,105,A,0.18058115
109009,OKC,102,18.98926,GSW,112,H,0.40005934
109038,OKC,102,18.379192,MEM,108,H,0.52651548
109081,OKC,99,18.323719,DAL,103,A,0.080534458
109099,OKC,104,18.272726000000002,SAS,109,A,0.06793439400000001
109128,OKC,88,17.614698,LAC,98,H,0.45352942
109175,OKC,91,18.556662,TOR,83,H,0.34485391
109202,OKC,91,18.387076999999998,CLE,102,H,0.13260862
109219,OKC,88,18.262182,ATL,99,A,0.10149699
109254,OKC,88,18.209314000000003,DET,90,A,0.098584771
109287,OKC,95,17.940866,WAS,104,A,0.22424339999999998
109312,OKC,102,17.674797,PHO,110,H,0.23854837
109343,OKC,107,18.524569,GSW,100,H,0.35723773
109366,OKC,120,18.400864000000002,DEN,122,H,0.20744383
109422,OKC,107,19.190447,NYK,99,H,0.43475541
109440,OKC,87,18.377357,MIN,129,A,0.22887319
109468,OKC,96,18.253052,HOU,98,H,0.2093647
109480,OKC,109,20.038721,CHI,98,A,0.16407835
109547,OKC,114,22.495113,UTA,93,H,0.21445999
109570,OKC,89,23.864347,DET,79,H,0.31044021
109598,OKC,94,23.068235,MIA,104,H,0.45802248
109638,OKC,122,23.71356,GSW,121,A,0.22625244
109672,OKC,104,23.388151,LAC,107,A,0.3649146
109754,OKC,114,24.790352,MEM,102,H,0.69601011
109782,OKC,90,24.446066000000002,UTA,110,A,0.14819878
109808,OKC,118,24.029394,SAC,122,A,0.39862645
109855,OKC,113,23.869505,DEN,114,H,0.26097295
109878,OKC,102,25.26568,POR,93,H,0.28784889
109912,OKC,116,25.540028,SAC,113,H,0.69517034
109938,OKC,98,25.478973,LAL,105,A,0.056177795
109964,OKC,92,25.234344,POR,106,A,0.13367009
110040,OKC,118,24.591413,PHO,140,A,0.14773554
110046,OKC,120,24.207329,GSW,133,A,0.21141738
110092,OKC,93,23.946903,LAL,107,H,0.14502151
