,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
61969,ORL,118,24.108915,NYK,110,H,0.30084363
61989,ORL,117,26.018631,CLE,110,A,0.10487801
62027,ORL,121,25.847382999999997,DET,125,H,0.18057971
62034,ORL,109,25.296309,ATL,148,A,0.14398956
62059,ORL,104,24.808138,ATL,112,H,0.3314327
62103,ORL,113,23.744684,MIL,132,A,0.13079911
62138,ORL,116,25.322342000000003,PHI,103,H,0.33690357
62166,ORL,115,26.083757000000002,SAC,113,A,0.25644320000000004
62190,ORL,119,29.940752000000003,UTA,97,A,0.13423473
62209,ORL,94,29.5247,PHO,121,A,0.13341719
62252,ORL,104,29.850861,MIA,99,H,0.72813678
62282,ORL,103,30.210924,MIN,96,H,0.74716693
62295,ORL,110,29.809986,IND,125,A,0.18452328
62331,ORL,95,28.288791999999997,POR,121,H,0.4199852
62358,ORL,110,27.775492,ATL,118,H,0.32908684
62384,ORL,114,26.964106,MIA,122,A,0.48336196
62413,ORL,108,28.187409999999996,LAL,103,H,0.22865587
62429,ORL,103,28.016195,MIL,106,A,0.19407398
62452,ORL,113,27.793898,CHI,124,A,0.13484323
62493,ORL,116,27.421590999999996,SAS,125,A,0.23722678
62497,ORL,94,27.028609999999997,HOU,109,A,0.18863767
62534,ORL,110,27.626203999999998,CHI,109,H,0.30028257
62562,ORL,125,26.808319,DEN,137,H,0.39920321
62570,ORL,100,26.719402000000002,DET,106,A,0.08311659099999999
62594,ORL,90,26.486212,IND,98,A,0.17036611
62617,ORL,101,26.01902,IND,106,H,0.38676369
62664,ORL,107,25.916998,NYK,113,A,0.09537094800000001
62681,ORL,113,25.746805,DET,115,H,0.22755781
62714,ORL,116,25.584127,CHI,127,A,0.10612267
62741,ORL,112,24.71624,CLE,123,H,0.45324975
62763,ORL,111,25.931093,SAS,102,H,0.35918823
62795,ORL,106,25.785711,LAL,121,A,0.079845846
62801,ORL,105,25.176203,DEN,141,A,0.16612363
62839,ORL,127,24.889734,GSW,138,A,0.17735016
62886,ORL,111,23.981451,BOS,133,H,0.32544476
62948,ORL,103,24.263046,PHO,126,H,0.23479688
62979,ORL,103,23.987387,PHI,125,A,0.11586165
63026,ORL,96,23.944056,ATL,114,H,0.38441089
63052,ORL,129,25.649788,IND,111,H,0.40206951
63079,ORL,111,25.342669,MIL,129,A,0.14039671
63107,ORL,110,24.839706,LAC,113,H,0.50379217
63151,ORL,110,24.453793,NYK,117,H,0.29202664
63182,ORL,101,25.209745,PHI,99,H,0.25103042
63216,ORL,135,26.251079999999998,CHI,129,H,0.32864344
63224,ORL,123,25.99444,ATL,130,A,0.19976109
63253,ORL,108,25.43037,DAL,135,A,0.18580019
63311,ORL,109,24.310816,DET,140,A,0.056704223
63337,ORL,96,23.764067,CLE,123,A,0.18691903
63382,ORL,110,23.061247,PHI,129,A,0.097209096
63423,ORL,100,22.031221,SAC,114,H,0.59125853
63495,ORL,101,21.254013,UTA,111,H,0.20328729
63503,ORL,105,20.488255,MIA,122,A,0.35551101
63540,ORL,101,20.13327,LAC,112,A,0.2393024
63585,ORL,117,19.681181,POR,142,A,0.060757339
63623,ORL,127,19.489245999999998,BOS,130,H,0.25806487
63655,ORL,103,18.892775,CLE,120,H,0.3022007
63681,ORL,121,19.943567,NYK,118,A,0.1138826
63703,ORL,106,19.520632,DAL,116,H,0.2975255
63741,ORL,101,19.118036,MIL,109,H,0.32349578
63791,ORL,104,18.44109,MIA,109,H,0.60920441
63837,ORL,125,17.883844,BOS,133,A,0.078983128
63861,ORL,126,17.685919000000002,GSW,127,H,0.36915728
63890,ORL,104,17.639929000000002,CHI,111,A,0.053892015999999994
63908,ORL,115,17.254288,IND,123,H,0.33162659
63938,ORL,123,16.696527,HOU,146,H,0.25714257
63963,ORL,127,16.525602,MIL,130,H,0.25856364
64002,ORL,102,16.238976,MIN,117,A,0.19058681
64011,ORL,107,16.217976,DET,111,A,0.036288559
64058,ORL,112,15.905984,BOS,133,A,0.061460257000000004
64098,ORL,104,15.598681,CLE,118,H,0.21628785
64280,ORL,111,21.414749,ATL,115,A,0.11939603
64347,ORL,95,20.309635,CLE,102,H,0.29636818
64364,ORL,99,20.214853,HOU,103,A,0.12228578
64376,ORL,99,20.060907,DAL,111,A,0.10983586
64414,ORL,81,19.509939000000003,MIN,108,A,0.20967823
64437,ORL,109,20.528755,DAL,103,H,0.26791659
64462,ORL,102,21.280163,UTA,99,H,0.27204588
64498,ORL,96,22.182253,IND,89,H,0.38616687
64525,ORL,120,22.07411,GSW,123,A,0.1457423
64552,ORL,91,21.848361999999998,UTA,106,A,0.12894899
64584,ORL,89,21.653510999999998,LAL,115,A,0.08083725
64594,ORL,91,20.931309,LAC,119,A,0.24838960000000002
64605,ORL,113,20.614338,DEN,124,A,0.21412373
64656,ORL,113,20.229309,GSW,119,H,0.34544966
64706,ORL,113,21.573032,NYK,102,A,0.13802969
64723,ORL,110,21.357834,POR,119,H,0.16680607
64767,ORL,109,21.915058,PHO,113,H,0.22479570000000004
64790,ORL,114,21.629103,PHI,119,H,0.2807582
64819,ORL,114,21.523360999999998,PHO,125,A,0.07915175
