,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
11971,PHI,117,46.918628999999996,DET,115,A,0.49344409
11983,PHI,121,45.863384,DET,124,H,0.76524097
11999,PHI,112,41.514885,NYK,136,H,0.84964502
12003,PHI,101,40.500427,NYK,109,A,0.5251615
12025,PHI,102,39.780144,BOS,119,H,0.43634027
12040,PHI,101,37.117474,DET,119,A,0.41375971
12081,PHI,99,37.167439,LAL,97,H,0.4984625
12104,PHI,118,37.925514,NYK,101,H,0.71907717
12134,PHI,78,36.14082,BOS,112,A,0.12006003
12145,PHI,132,37.062214000000004,NYK,125,A,0.47823131
12151,PHI,132,38.351341,DET,121,A,0.45300251
12195,PHI,113,38.348816,NYK,103,H,0.79063028
12201,PHI,84,37.182404,BOS,111,H,0.30735198
12208,PHI,123,37.772166999999996,NYK,119,A,0.54176676
12226,PHI,96,37.053295,LAL,116,A,0.24395055
12241,PHI,113,37.36237,LAL,126,A,0.23781967
12263,PHI,119,38.503334,DET,107,A,0.52499151
12266,PHI,114,39.855765999999996,LAL,100,H,0.49823502
12302,PHI,118,38.54911,NYK,142,H,0.83659565
12332,PHI,115,39.436802,BOS,108,H,0.3292546
12335,PHI,112,39.15377,BOS,123,A,0.1520437
12365,PHI,111,36.876896,LAL,115,A,0.25604719
12404,PHI,131,38.407604,NYK,129,A,0.48397112
12424,PHI,102,36.063614,LAL,97,A,0.25030369
12437,PHI,97,35.704803000000005,BOS,114,A,0.14752531
12443,PHI,111,35.113471999999994,BOS,119,H,0.34460136
12467,PHI,128,35.660931,NYK,117,H,0.72581053
12481,PHI,109,35.992481,LAL,101,H,0.59864438
12487,PHI,109,35.749283,BOS,120,A,0.13460678
12509,PHI,130,35.590218,DET,123,H,0.75776029
12528,PHI,93,34.552063000000004,BOS,103,A,0.12743104
12548,PHI,144,38.343781,BOS,119,H,0.30851209
12561,PHI,114,39.357098,NYK,105,A,0.50187057
12575,PHI,130,39.015591,DET,122,A,0.58103263
12599,PHI,93,37.975086,BOS,108,A,0.16251445
12607,PHI,94,37.633739,BOS,108,A,0.15700698
12628,PHI,130,38.128277000000004,NYK,115,H,0.79127687
12633,PHI,108,35.381671999999995,NYK,140,A,0.55871332
12655,PHI,122,36.084106,DET,133,A,0.54393786
12670,PHI,95,35.833904,LAL,120,A,0.33173782
12678,PHI,97,35.621738,LAL,121,A,0.31322533
12743,PHI,125,38.442169,DET,113,H,0.73851699
12795,PHI,90,37.075474,NYK,94,A,0.48718816
12799,PHI,116,37.603054,NYK,105,H,0.73683619
12842,PHI,110,39.088207000000004,BOS,109,A,0.13422388
12857,PHI,102,38.303974,BOS,113,H,0.36647582
12872,PHI,111,36.661057,DET,124,A,0.48606533
12884,PHI,108,38.908134000000004,BOS,96,A,0.1326074
12905,PHI,124,41.209343,NYK,93,A,0.50768507
12917,PHI,101,41.885661999999996,DET,93,A,0.50172424
12932,PHI,117,42.248283,LAL,118,H,0.59920526
12948,PHI,119,42.742363,DET,106,H,0.77452445
12960,PHI,104,44.084137,LAL,109,A,0.35246927
12981,PHI,109,43.953514,BOS,118,H,0.44957685
12987,PHI,106,41.414139,NYK,133,A,0.57388604
12994,PHI,121,42.215393,NYK,115,A,0.50461268
13022,PHI,140,43.300022,LAL,113,A,0.34165502
