,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
17207,PHO,109,28.022614,NYK,92,H,0.35923401
17232,PHO,100,26.794468,ATL,123,H,0.38726127
17270,PHO,112,28.878702,CHI,103,H,0.52016741
17310,PHO,109,27.964388,LAL,127,H,0.34420171
17381,PHO,130,27.390739,DET,128,H,0.42647758
17413,PHO,109,27.234526000000002,DET,111,A,0.20595974
17458,PHO,98,25.982121,BOS,130,H,0.23191845
17476,PHO,110,25.796534,PHI,126,A,0.095559716
17511,PHO,106,25.587656,BOS,133,A,0.076834679
17528,PHO,112,25.280773,MIL,115,A,0.33487701
17565,PHO,119,24.982214000000003,PHI,126,H,0.23206431
17581,PHO,111,24.611774,DET,125,A,0.19478738
17618,PHO,96,24.124546,CHI,100,A,0.22386694
17654,PHO,108,22.895882,LAL,122,A,0.087980986
17730,PHO,99,23.553272,ATL,121,H,0.38552061
17745,PHO,106,23.425917000000002,NYK,111,A,0.13299602
17767,PHO,123,23.260355,PHI,143,A,0.079304755
17799,PHO,123,24.30949,DET,118,A,0.21016037
17833,PHO,128,23.61352,PHI,145,H,0.21009727
17902,PHO,116,24.195417000000003,MIL,127,A,0.35362053
17925,PHO,99,23.592541,LAL,119,H,0.24555664
18019,PHO,87,22.063562,BOS,93,H,0.23597329999999997
18038,PHO,104,21.320494,MIL,121,A,0.33948886
18054,PHO,92,21.031666,CHI,103,A,0.19528842
18068,PHO,96,20.988338,ATL,97,A,0.088722706
18122,PHO,120,21.055107,NYK,134,H,0.20923398
18196,PHO,107,20.673365,ATL,112,A,0.08490216699999999
18211,PHO,107,20.603127999999998,ATL,112,A,0.084102154
18284,PHO,107,19.05582,ATL,125,H,0.21875212
18303,PHO,117,20.097227,CHI,106,H,0.41083872
18361,PHO,111,19.492876000000003,MIL,107,A,0.26806736
18431,PHO,122,19.746609,MIL,121,H,0.5723598000000001
18456,PHO,125,21.361662,PHI,116,H,0.17442483
18513,PHO,104,20.238438000000002,LAL,122,H,0.22960936
18524,PHO,116,20.095181,LAL,134,A,0.080858588
18560,PHO,105,20.050772,NYK,112,A,0.048136770999999995
18580,PHO,123,19.859653,DET,128,A,0.20835811
18632,PHO,110,21.752106,BOS,116,A,0.09746778
18673,PHO,121,20.759201,CHI,133,H,0.50324291
18682,PHO,100,20.229784,BOS,124,H,0.21347672
18698,PHO,103,20.027119,MIL,107,A,0.23931491
18716,PHO,99,19.921167,BOS,112,A,0.075404823
18736,PHO,97,19.859907,PHI,104,A,0.064757407
18762,PHO,117,19.79068,LAL,121,A,0.09361022699999999
18843,PHO,117,19.351072,CHI,125,A,0.16458422
18859,PHO,87,19.21545,NYK,119,A,0.054729044000000004
18996,PHO,95,17.571697,DET,119,H,0.47302908
19023,PHO,110,16.964893,MIL,117,H,0.51326936
19045,PHO,104,16.629313,NYK,139,H,0.127156
19080,PHO,118,16.024281,MIL,128,H,0.44829702
19339,PHO,116,21.460102,ATL,121,A,0.12308204
19373,PHO,116,21.322128,NYK,140,A,0.062971294
19384,PHO,119,21.253107,PHI,122,A,0.099929154
19406,PHO,115,20.971069,CHI,116,H,0.44765878
19434,PHO,99,21.268207999999998,MIL,119,H,0.45866254
19537,PHO,99,21.492954,NYK,116,H,0.15606628
19564,PHO,122,22.60815,LAL,120,A,0.078828871
19596,PHO,140,23.578782999999998,DET,129,H,0.485048
19640,PHO,110,22.830597,PHI,124,H,0.36745605
19650,PHO,112,22.641610999999997,LAL,127,A,0.10796958
19675,PHO,114,23.441557,LAL,111,H,0.27165627
19687,PHO,139,27.035877000000003,ATL,118,A,0.12839347
19706,PHO,119,26.931209999999997,BOS,120,A,0.17050326
19761,PHO,114,26.304828999999998,NYK,128,A,0.059055209000000004
19872,PHO,121,27.935078000000004,CHI,110,A,0.18237472
19903,PHO,119,29.166319,LAL,109,H,0.40887174
19920,PHO,114,29.544388,CHI,113,H,0.51182252
19945,PHO,113,28.697184000000004,DET,118,H,0.59350771
19964,PHO,102,28.355564,CHI,109,A,0.24644214
20058,PHO,119,33.413303000000006,PHI,141,H,0.44698575
20113,PHO,113,33.118561,DET,114,A,0.3840822
20130,PHO,111,32.820957,MIL,118,A,0.20794094
20158,PHO,127,33.838253,BOS,116,H,0.53479058
20202,PHO,116,33.004692,NYK,135,H,0.29224011
20276,PHO,114,32.832012,DET,109,H,0.69299662
20295,PHO,112,32.491222,LAL,120,A,0.21953177
20341,PHO,123,30.91643,CHI,152,A,0.34055442
20352,PHO,116,30.760303000000004,MIL,120,A,0.15493357
20376,PHO,119,31.792107,PHI,117,A,0.16473538
20398,PHO,114,33.108768,NYK,130,A,0.1108833
20540,PHO,106,34.5424,LAL,118,A,0.22090942
20580,PHO,111,35.320057,ATL,102,H,0.59076953
20615,PHO,106,34.191696,MIL,107,H,0.3719373
20659,PHO,131,35.936221999999994,PHI,123,H,0.44605041
20713,PHO,121,37.087006,LAL,117,H,0.48847279
20740,PHO,122,38.16095,BOS,117,A,0.33662236
20759,PHO,120,37.913326,MIL,127,A,0.17186093
20773,PHO,121,37.528721000000004,CHI,122,A,0.46530889999999997
20783,PHO,120,36.55854,DET,132,A,0.41933012
20812,PHO,125,35.418465000000005,PHI,159,A,0.26319844
20844,PHO,113,36.325241,BOS,116,H,0.61915249
20900,PHO,124,35.652297999999995,MIL,144,H,0.38228616
20920,PHO,105,35.356873,NYK,121,A,0.12906468
20950,PHO,131,36.713669,DET,123,A,0.34252661
20956,PHO,134,38.24369,BOS,125,A,0.32281750000000003
20987,PHO,109,40.110217999999996,ATL,98,A,0.29066563
21017,PHO,111,37.926228,CHI,123,H,0.75599438
21080,PHO,130,37.848427,ATL,119,H,0.53349632
21155,PHO,111,37.175751,ATL,126,A,0.27261835
21209,PHO,127,38.126938,BOS,123,H,0.63780779
21274,PHO,112,38.723248,LAL,128,A,0.28356987
21306,PHO,114,40.911072,LAL,101,A,0.26734364
21334,PHO,112,41.9491,LAL,98,H,0.59472537
21353,PHO,112,42.718258,LAL,102,H,0.62186778
21362,PHO,121,41.690079,LAL,138,A,0.36139894
21376,PHO,93,40.170105,LAL,104,H,0.61515719
21394,PHO,94,38.795914,LAL,129,A,0.29962254
21564,PHO,119,43.538532000000004,BOS,100,H,0.65836442
21595,PHO,107,42.654881,DET,110,H,0.67749059
21668,PHO,108,42.034332,CLE,104,H,0.84045178
21735,PHO,105,41.129929,CHI,118,H,0.63916248
21746,PHO,112,40.108734000000005,BOS,127,A,0.38511217
21837,PHO,105,43.061676,CHI,102,A,0.31670535
21854,PHO,107,44.203438,ATL,100,A,0.39053965
21878,PHO,105,43.553084999999996,MIL,125,A,0.223162
21919,PHO,114,43.869953,POR,100,H,0.85320383
21979,PHO,108,44.710716,DET,104,H,0.62959486
21999,PHO,100,44.5284,NYK,103,A,0.18845886
22029,PHO,110,44.155975,DET,112,A,0.39234078
22069,PHO,125,44.701496,PHI,119,A,0.32914722
22086,PHO,114,45.320190000000004,CLE,99,A,0.74575621
22146,PHO,116,46.762959,LAL,105,A,0.26067775
22225,PHO,126,46.658530999999996,ATL,112,H,0.74920273
22252,PHO,126,47.041855,POR,121,A,0.70318985
22311,PHO,112,47.009796,LAL,121,H,0.5933881999999999
22375,PHO,113,46.913849,MIL,111,H,0.44381344
22429,PHO,117,45.984711,DET,114,H,0.66196477
22488,PHO,118,44.008815999999996,NYK,133,H,0.48451462
22508,PHO,129,43.138965999999996,PHI,133,H,0.61527431
22546,PHO,127,43.749771,ATL,115,H,0.71653074
22562,PHO,115,44.009071,POR,103,H,0.86562139
22576,PHO,110,43.287715999999996,LAL,128,A,0.25971466
22631,PHO,132,44.883202000000004,LAL,114,H,0.49824783
22749,PHO,114,46.439243,BOS,122,A,0.37264735
22775,PHO,112,45.63588,PHI,123,A,0.37762374
22789,PHO,116,46.644271999999994,ATL,105,A,0.5452913
22827,PHO,107,48.036792999999996,NYK,88,H,0.55625993
22952,PHO,116,47.690006,PHI,117,H,0.66211599
22975,PHO,113,47.951969,CHI,112,H,0.65413713
23030,PHO,118,48.856701,LAL,112,H,0.60247821
23048,PHO,131,49.435131,POR,122,A,0.67512155
23176,PHO,119,48.46212,CLE,91,H,0.90706456
23214,PHO,94,47.885104999999996,MIL,118,A,0.1839149
23260,PHO,114,49.249588,CLE,105,A,0.7715131
23281,PHO,97,48.232323,NYK,114,A,0.36891711
23318,PHO,119,49.349106,BOS,116,A,0.42752206
23360,PHO,116,50.153015,BOS,112,H,0.68942696
23395,PHO,97,48.681564,MIL,125,H,0.37675068
23465,PHO,108,50.581615,PHI,94,A,0.33379012
23470,PHO,124,51.447128,DET,117,A,0.48330617
23528,PHO,115,52.887337,CHI,90,H,0.59295428
23615,PHO,114,51.761993,DET,108,A,0.52633822
