,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
21576,POR,115,27.197626,CLE,112,H,0.65187806
21605,POR,115,25.903414,BOS,133,H,0.47022474
21624,POR,120,26.926273,CLE,98,H,0.65314251
21703,POR,116,25.175526,CHI,131,H,0.41951454
21805,POR,108,24.729876,LAL,128,H,0.27479035
21881,POR,113,24.531010000000002,NYK,125,H,0.19402725
21918,POR,100,22.975235,PHO,114,A,0.14679617
21929,POR,103,22.313477,CLE,105,H,0.71316731
21964,POR,126,22.783375,CLE,116,H,0.6978541
22017,POR,146,22.724947,ATL,131,H,0.3924877
22091,POR,104,23.146,MIL,126,H,0.15964824
22116,POR,115,22.416647,BOS,122,A,0.14466184
22145,POR,111,23.325195,CLE,102,A,0.45940906
22188,POR,111,22.498151999999997,MIL,124,A,0.053748070999999994
22253,POR,121,21.737494,PHO,126,H,0.29681018
22285,POR,120,21.615181,LAL,131,A,0.08995473400000001
22306,POR,121,21.491796,NYK,139,A,0.067957342
22323,POR,109,22.232483,CLE,102,A,0.47180116
22363,POR,101,23.663414000000003,ATL,107,A,0.22029883
22409,POR,103,23.140470999999998,DET,111,H,0.36288676
22490,POR,132,21.895756,PHI,134,H,0.30983961
22563,POR,103,21.692352,PHO,115,A,0.13437861
22581,POR,135,23.417723000000002,BOS,123,H,0.24933194
22664,POR,113,22.436134,CHI,136,H,0.30980068
22691,POR,119,23.486492000000002,CLE,106,A,0.49472243
22700,POR,124,24.794004,BOS,120,A,0.12884235
22752,POR,113,26.524036,CHI,105,A,0.13056374
22776,POR,114,29.025864000000002,NYK,96,H,0.25555864
22900,POR,111,27.902804999999997,CHI,123,A,0.18174237
22947,POR,123,28.474990999999996,DET,112,A,0.13811289999999998
22959,POR,117,28.292994,MIL,142,A,0.068150938
23018,POR,104,25.883837,CLE,118,A,0.51701736
23049,POR,122,25.366322,PHO,131,H,0.32487842
23089,POR,120,25.162461999999998,LAL,133,A,0.11889476
23112,POR,123,27.631271,MIL,111,H,0.13722016
23143,POR,137,28.668411,ATL,123,H,0.55954325
