,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
53664,SAC,104,35.074478000000006,LAC,108,H,0.68261147
53674,SAC,112,34.705433,DEN,123,A,0.19550222
53724,SAC,122,35.451443,HOU,116,H,0.52404654
53741,SAC,113,35.029827000000004,DAL,119,A,0.2968986
53796,SAC,94,34.600876,CLE,95,H,0.51370507
53828,SAC,111,34.252052,GSW,117,A,0.45374781
53848,SAC,115,33.85165,POR,126,A,0.21114302
53873,SAC,112,34.401886,GSW,103,H,0.6916315
53900,SAC,96,33.659859000000004,UTA,100,H,0.5574441
53922,SAC,103,34.809834,SAS,99,A,0.24698699
53947,SAC,97,33.340492,MIL,131,H,0.33045498
53969,SAC,118,33.176682,DEN,122,A,0.1578266
54007,SAC,111,32.105583,PHO,107,H,0.68366909
54031,SAC,111,31.341057,DAL,133,A,0.25245106
54059,SAC,114,30.810349,HOU,131,A,0.21628404
54084,SAC,131,31.713221,CHI,118,H,0.60555995
54095,SAC,103,30.260578000000002,LAC,128,A,0.40472347
54135,SAC,122,32.353966,DET,112,A,0.18820149
54171,SAC,101,30.980227000000003,BOS,118,A,0.10313708
54209,SAC,108,32.027306,CHI,103,A,0.32611728
54229,SAC,82,31.289092999999998,MIL,140,A,0.13112712
54242,SAC,132,32.416325,DET,121,H,0.48945150000000004
54269,SAC,106,32.174358000000005,PHO,107,A,0.32850981
54299,SAC,116,31.461758000000003,LAC,117,H,0.74981284
54318,SAC,121,30.612101000000003,GSW,131,A,0.43083107
54352,SAC,111,30.033695,LAL,133,H,0.20127159
54375,SAC,84,29.691414,PHI,87,H,0.34345879999999995
54390,SAC,114,30.77285,SAS,106,H,0.41813612
54420,SAC,112,31.531794,DEN,107,H,0.46506184
54450,SAC,88,33.489868,IND,87,A,0.37593031
54479,SAC,102,33.194859,PHI,113,A,0.16247964
54484,SAC,101,32.886292,CLE,105,A,0.27434218
54507,SAC,97,31.668674,NYK,115,A,0.41762227
54514,SAC,104,31.207975,ATL,115,A,0.24404085
54553,SAC,125,32.979851000000004,GSW,111,A,0.36409408
54600,SAC,119,34.243107,DAL,110,H,0.51715916
54621,SAC,107,33.686211,HOU,124,A,0.21962798
54652,SAC,125,33.152306,POR,129,H,0.43240550000000005
54665,SAC,121,34.622704,POR,116,A,0.18482238
54688,SAC,125,35.348896,DEN,120,H,0.49788877
54713,SAC,109,34.891632,HOU,111,H,0.46861461
54726,SAC,101,34.204636,UTA,113,A,0.31899208
54755,SAC,94,34.615295,NYK,90,H,0.65413868
54811,SAC,105,36.479279,BOS,100,H,0.25604168
54836,SAC,114,35.389637,ATL,123,H,0.53219217
54872,SAC,94,34.510273,SAS,113,A,0.30253851
54897,SAC,115,35.599529,HOU,105,H,0.49135792
54921,SAC,107,36.020953999999996,SAS,105,H,0.56268835
54936,SAC,118,37.396774,PHO,110,A,0.33789879
54958,SAC,127,37.664547,GSW,124,H,0.73709774
55020,SAC,121,39.153003999999996,IND,100,H,0.71621108
55035,SAC,94,38.185085,UTA,110,A,0.35631776
55066,SAC,94,38.5541,UTA,92,H,0.61142963
55083,SAC,105,37.913174,HOU,116,A,0.30975890000000006
55112,SAC,121,37.798817,LAL,122,A,0.16607821
55127,SAC,102,36.108719,DAL,117,H,0.577941
55149,SAC,132,36.976116,SAS,120,H,0.6166569000000001
55153,SAC,127,38.47036,DAL,120,A,0.26726681
55181,SAC,104,38.033356,LAC,105,A,0.51373494
55205,SAC,113,37.669712,DEN,119,A,0.25851423
55238,SAC,117,38.305492,DEN,113,H,0.5143555999999999
55250,SAC,104,37.810627000000004,PHO,108,A,0.39675039
55287,SAC,113,37.464695,LAL,115,H,0.36915579
55294,SAC,102,36.795994,POR,112,A,0.33872873
55318,SAC,116,37.948036,POR,99,H,0.60067356
55364,SAC,103,36.665447,LAC,112,H,0.77443755
55399,SAC,109,37.986816,SAS,99,A,0.41669834
55417,SAC,105,37.438137,LAL,135,A,0.14947969
55445,SAC,119,38.289925,PHO,100,H,0.70956033
55464,SAC,122,39.07188,DAL,115,H,0.54448986
55486,SAC,113,40.124413,UTA,108,A,0.34834313
55499,SAC,108,38.466784999999994,UTA,119,H,0.65489489
55523,SAC,92,37.628143,LAL,105,H,0.35515368
55543,SAC,87,36.878811,HOU,107,A,0.2529884
55557,SAC,103,36.493584000000006,HOU,111,A,0.23763746
55579,SAC,98,35.154301000000004,HOU,113,H,0.48571935
55690,SAC,107,36.838951,LAC,106,H,0.68738168
55732,SAC,84,34.975407000000004,HOU,100,H,0.4118278
55754,SAC,95,32.93692,NYK,106,H,0.7622359999999999
55778,SAC,90,32.626827,HOU,102,A,0.16249955
55806,SAC,119,33.161335,CLE,114,H,0.6016385000000001
55816,SAC,110,34.006138,DEN,108,A,0.26223683
55864,SAC,111,33.88361,LAL,113,A,0.15405083
55903,SAC,92,33.852592,IND,83,H,0.58808964
55932,SAC,99,33.271091,MIL,107,H,0.34400281
55953,SAC,123,34.560257,PHO,102,H,0.6042366
55964,SAC,117,34.174229,DAL,129,A,0.1944567
55992,SAC,97,33.179728999999995,GSW,103,H,0.59823436
56013,SAC,109,32.759575,ATL,113,H,0.35636383
56029,SAC,124,32.347603,DAL,127,H,0.38969165
56050,SAC,102,31.679407,POR,106,H,0.52244157
56080,SAC,111,31.119978000000003,UTA,114,H,0.50363463
56108,SAC,101,32.409615,DET,108,A,0.22016466
56129,SAC,120,32.207432,ATL,130,A,0.12369716
56149,SAC,106,31.578657,HOU,119,A,0.28942686
56185,SAC,119,31.130146000000003,DEN,120,H,0.54567647
56201,SAC,117,31.840670000000003,LAC,113,A,0.44982380000000005
56239,SAC,122,32.573871999999994,PHO,114,H,0.57869703
56267,SAC,117,32.006195,LAL,127,H,0.30443311
