,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
36035,SAS,121,50.862846000000005,PHI,118,A,0.49841243
36050,SAS,98,49.203114,NYK,117,A,0.52018267
36060,SAS,114,47.904926,ATL,122,A,0.6464113
36081,SAS,115,48.401043,PHO,106,H,0.71704298
36120,SAS,117,44.721436,BOS,126,H,0.6030454000000001
36144,SAS,97,43.603249,IND,113,A,0.40238595
36186,SAS,113,43.94978,IND,94,H,0.6543475999999999
36264,SAS,113,46.191196000000005,POR,101,H,0.64923257
36388,SAS,123,47.238667,GSW,121,H,0.67708111
36399,SAS,116,46.425129,HOU,125,A,0.42395657
36435,SAS,130,46.652889,DET,129,H,0.6950801
36452,SAS,116,46.012512,GSW,124,A,0.36774385
36464,SAS,105,45.273018,LAL,114,A,0.38971174
36493,SAS,98,44.683029,PHO,103,A,0.42123973
36521,SAS,106,42.028149,ATL,117,H,0.86106032
36534,SAS,136,43.241009000000005,MIL,120,A,0.57158327
36580,SAS,111,44.66898,NYK,98,H,0.71274292
36586,SAS,102,43.638432,IND,116,A,0.40480876
36607,SAS,101,43.109428,CHI,103,A,0.51830155
36637,SAS,105,42.885101,CLE,106,A,0.29694998
36663,SAS,123,43.370346000000005,GSW,120,H,0.56910741
36726,SAS,127,45.300831,PHI,116,H,0.62349516
36763,SAS,120,44.381992,DEN,145,A,0.26341729999999997
36798,SAS,137,46.160564,DEN,133,H,0.53827041
36844,SAS,113,43.948788,POR,150,A,0.30868989
36872,SAS,121,42.531578,MIL,127,H,0.74545002
36898,SAS,106,41.878609000000004,LAL,109,H,0.54366153
36925,SAS,122,42.454571,IND,115,H,0.64607167
36946,SAS,115,42.95763,CHI,107,H,0.70363563
36960,SAS,90,41.981007,BOS,103,A,0.40153664
36999,SAS,123,42.718605,POR,118,H,0.49987754
37010,SAS,116,44.088097,PHO,108,A,0.34344536
37034,SAS,104,43.662605,POR,112,A,0.25752544
37085,SAS,92,45.414364,CLE,87,H,0.66303504
37107,SAS,98,43.614788,CHI,107,H,0.75141871
37142,SAS,119,44.688339,NYK,96,H,0.68442827
37148,SAS,89,42.986809,CHI,111,A,0.47259033
37164,SAS,135,44.149128000000005,DET,129,A,0.34481961
37191,SAS,107,44.893593,HOU,104,A,0.39748728
37240,SAS,99,43.209167,HOU,113,H,0.67907703
37297,SAS,135,45.940994,LAL,103,H,0.56178159
37314,SAS,121,43.785396999999996,MIL,131,H,0.80358535
37333,SAS,111,42.81712,ATL,119,A,0.5077759
37366,SAS,132,45.327259000000005,NYK,127,A,0.41041595
37443,SAS,122,47.581711,PHO,115,H,0.74545509
37455,SAS,106,48.036495,CLE,100,H,0.68126798
37490,SAS,97,46.854733,DET,102,H,0.71555978
37547,SAS,89,46.50565,CLE,94,A,0.42803669
37584,SAS,104,44.319656,BOS,108,H,0.72683954
37589,SAS,122,45.141479,DEN,120,A,0.28626585
37607,SAS,118,45.820709,HOU,112,H,0.56164181
37624,SAS,110,45.508034,PHI,113,A,0.30160844
37691,SAS,116,46.170681,GSW,125,A,0.34982055
37697,SAS,102,45.739773,LAL,107,A,0.32608283
37735,SAS,103,43.866817,ATL,111,H,0.80048198
37765,SAS,131,45.605526,PHI,109,H,0.51789647
37792,SAS,105,44.320534,BOS,120,A,0.46756417
37811,SAS,125,43.403206,MIL,133,A,0.48737091
37820,SAS,94,42.558941,BOS,104,A,0.40867358
37835,SAS,109,41.582829,BOS,113,H,0.66573501
37948,SAS,114,41.922672,BOS,109,H,0.64393252
37957,SAS,117,41.525932,GSW,122,A,0.30039316
37982,SAS,115,40.974697,POR,130,A,0.22821915
37996,SAS,107,42.568661,LAL,109,A,0.34299201
38046,SAS,129,43.37373,LAL,118,H,0.6257298000000001
38050,SAS,145,44.029308,PHO,143,A,0.39058965
38063,SAS,97,42.594654,GSW,108,H,0.59115613
38082,SAS,89,39.964287,PHO,110,H,0.66812944
38128,SAS,117,40.730698,NYK,123,A,0.32006156
38132,SAS,129,42.469982,BOS,114,A,0.41380674
38155,SAS,107,43.233513,DET,104,A,0.38870072
38176,SAS,116,44.13958,ATL,99,H,0.67397279
38222,SAS,94,44.0993,DEN,105,A,0.35624588
38255,SAS,112,42.811671999999994,PHO,134,A,0.37647963
38318,SAS,129,44.183483,MIL,107,H,0.67054534
38348,SAS,117,42.900814000000004,PHI,129,H,0.52126276
38367,SAS,120,42.70163,NYK,116,H,0.6434263000000001
38449,SAS,116,43.506386,PHI,120,A,0.22498189999999998
38455,SAS,119,43.260628000000004,CHI,121,A,0.27589184
