,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
76123,TOR,89,23.863914,IND,97,A,0.095771372
76147,TOR,108,23.742525,CHI,117,A,0.094760299
76181,TOR,90,22.791135999999998,SAC,109,H,0.37746787
76211,TOR,108,22.543282,PHO,112,H,0.26636904
76242,TOR,100,22.222837,UTA,103,H,0.21742801
76276,TOR,93,22.064116000000002,HOU,96,H,0.20408842
76308,TOR,114,23.100403,MIN,96,H,0.57626772
76367,TOR,86,24.416677,MIL,96,A,0.25215161
76405,TOR,102,24.211143,ATL,114,A,0.12783599
76438,TOR,101,24.696218,GSW,98,H,0.50466573
76440,TOR,89,24.515398,CLE,93,A,0.19428802
76497,TOR,105,24.818991,PHI,102,H,0.66332763
76526,TOR,94,23.887487,MIA,112,H,0.37408048
76568,TOR,88,23.447976999999998,POR,96,A,0.14525735
76585,TOR,103,23.172325,LAL,120,A,0.13825536
76648,TOR,96,23.039417,BOS,116,H,0.46818435
76673,TOR,100,22.82856,IND,102,H,0.2902092
76674,TOR,103,22.422659,BOS,122,A,0.18475282
76716,TOR,110,24.781128,ORL,93,H,0.22462296
76741,TOR,82,23.714319,DET,94,H,0.51908183
76775,TOR,104,23.648476000000002,CHI,113,A,0.054781973
76804,TOR,91,23.519167000000003,NYK,103,A,0.085873127
76835,TOR,93,24.179270000000002,MIL,87,H,0.50531006
76853,TOR,91,23.636147,DET,113,A,0.21165860000000003
76931,TOR,110,23.512157000000002,ORL,121,A,0.086918712
76935,TOR,101,23.354719,ATL,104,A,0.19658571
77035,TOR,79,22.513235,ATL,87,H,0.41469129999999993
77106,TOR,102,22.256155,IND,110,H,0.21936181
77132,TOR,89,22.174492,CHI,92,H,0.11331992
77184,TOR,97,22.587313,BOS,95,H,0.48983151
77261,TOR,82,22.034129999999998,DEN,93,A,0.19116485
77302,TOR,75,21.609644,SAC,102,A,0.15762609
77332,TOR,111,21.468842000000002,GSW,114,A,0.18666041
77354,TOR,119,22.616119,LAC,113,A,0.24263901
77384,TOR,87,22.319687,POR,90,H,0.34578642
77421,TOR,88,21.72237,MIL,93,H,0.5116145000000001
77444,TOR,98,23.635727,MIA,87,A,0.18142438
77483,TOR,76,22.86874,CLE,95,H,0.31529328
77509,TOR,95,22.604765,DET,108,A,0.15791881
77585,TOR,86,22.487068,UTA,102,A,0.06822842400000001
77598,TOR,105,22.382223,PHO,110,A,0.11470664
77618,TOR,98,22.061245,DAL,105,A,0.26308602
77652,TOR,100,21.984005,HOU,105,A,0.088198841
77691,TOR,95,21.811474,SAS,120,A,0.0740273
77724,TOR,100,24.180132,CLE,89,A,0.10583133
77769,TOR,84,23.294641,DET,105,H,0.33213204
77776,TOR,82,22.751787,NYK,89,H,0.40184638
77798,TOR,79,22.176876,MIA,109,A,0.18937033
77842,TOR,128,23.349724,DAL,112,H,0.50327414
77865,TOR,110,22.730303,PHI,118,A,0.42039335
77933,TOR,96,22.364542,IND,105,A,0.095665574
77949,TOR,114,21.745886,DEN,122,H,0.42931935
78011,TOR,108,23.339741,SAS,120,H,0.17482276
78040,TOR,109,24.188162,CHI,108,H,0.12043051
78068,TOR,111,23.934475,ATL,114,H,0.29278022
78076,TOR,94,23.190229000000002,PHI,103,A,0.45590371
78111,TOR,86,22.398876,ORL,126,H,0.20643246
78143,TOR,106,22.224285000000002,LAL,111,H,0.18063410000000002
78167,TOR,104,22.563349,LAC,103,H,0.49720684
78196,TOR,77,21.856413,CLE,98,H,0.28405207
78233,TOR,106,20.877169,NYK,139,H,0.29047561
78254,TOR,101,20.456497,MIN,115,A,0.23990065
78269,TOR,102,21.449989000000002,MIL,96,A,0.29339123
78308,TOR,108,20.812693,BOS,136,A,0.22387898
78360,TOR,79,20.247799,NYK,125,A,0.11088115
78459,TOR,105,19.851532000000002,PHI,109,H,0.67453593
78621,TOR,99,23.98781,NYK,107,H,0.32260248
78677,TOR,100,24.180153,DAL,96,H,0.5540508000000001
78718,TOR,93,24.796045,LAL,92,H,0.25941622
78750,TOR,93,23.830017,DEN,104,H,0.50097954
78785,TOR,110,24.633568,PHI,98,H,0.58567446
78796,TOR,96,24.53611,NYK,99,A,0.12563664
78837,TOR,87,24.440889000000002,ORL,92,A,0.10043228
78900,TOR,81,23.706907,CLE,89,H,0.32570753
78928,TOR,88,23.445782,ATL,91,H,0.30314308
78966,TOR,87,22.518520000000002,SAC,98,H,0.49805883
79020,TOR,70,22.953910999999998,MIN,79,A,0.24497092
79040,TOR,100,24.688522,HOU,89,H,0.23697332
