,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
41754,UTA,85,28.864621999999997,POR,101,A,0.17143023
41781,UTA,107,27.647181,MIL,131,H,0.37042183
41820,UTA,92,26.834336999999998,POR,107,H,0.35185608
41839,UTA,96,26.624968,GSW,101,A,0.19338334
41864,UTA,87,26.689484000000004,LAL,102,A,0.18062431
41892,UTA,113,27.534247999999998,CHI,105,H,0.49920544
41913,UTA,96,26.8762,DEN,116,A,0.24906307
41962,UTA,118,25.071753,NYK,134,H,0.5478217
42012,UTA,107,24.049326,PHO,120,H,0.29041842
42032,UTA,92,23.608248,DEN,96,H,0.42101038
42068,UTA,105,22.77829,IND,113,H,0.44513348
42087,UTA,97,22.603016,ATL,108,A,0.12090409
42104,UTA,97,22.35671,BOS,113,A,0.13233751
42152,UTA,107,21.771936,CLE,119,A,0.23828566
42169,UTA,93,21.538007999999998,DET,98,A,0.23694777
42236,UTA,118,21.295639,LAL,122,H,0.26946938
42263,UTA,112,22.908894,GSW,104,A,0.16578072
42307,UTA,89,23.28985,MIL,96,H,0.31239533
42338,UTA,87,24.11524,POR,82,H,0.28301018
42352,UTA,119,26.637705,DEN,103,A,0.19558758
42377,UTA,100,27.343943,GSW,93,H,0.53747988
42407,UTA,144,29.840544,SAS,114,H,0.42556468
42443,UTA,79,28.811685999999998,MIL,104,A,0.22080994
42461,UTA,105,29.253403000000002,CLE,103,H,0.51870555
42473,UTA,99,28.899786,PHO,117,A,0.15003341
42530,UTA,122,28.511898,DEN,111,H,0.51786309
42559,UTA,116,27.933859,LAL,124,H,0.36249515
42582,UTA,116,28.781553000000002,IND,114,A,0.23059428
42592,UTA,95,30.345971999999996,MIL,88,A,0.21314722
42632,UTA,97,29.143798999999998,POR,115,A,0.24531651
42674,UTA,124,29.487383,DET,110,H,0.65908384
42737,UTA,103,28.628453999999998,PHO,106,A,0.14721066
42749,UTA,99,28.387308,LAL,112,A,0.13064784
42771,UTA,108,27.896862,PHO,115,H,0.33715338
42780,UTA,107,28.916947999999998,CHI,102,A,0.31795466
42806,UTA,116,29.877449,GSW,99,H,0.63420671
42824,UTA,127,30.509731,MIL,122,H,0.53164107
42893,UTA,107,30.440083,PHI,101,H,0.29864362
42951,UTA,116,31.54314,CHI,106,H,0.63807607
42968,UTA,90,31.189926,ATL,92,H,0.39143214
42988,UTA,95,30.425463,HOU,117,A,0.25488693
43009,UTA,128,29.813778000000003,SAS,148,A,0.22448272
43029,UTA,85,29.436577000000003,PHI,107,A,0.13939011
43064,UTA,121,31.11672,NYK,102,A,0.21590286
43109,UTA,98,30.651283000000003,BOS,105,H,0.31172571
43122,UTA,82,29.399766999999997,HOU,94,H,0.53999162
43153,UTA,85,27.988726,CHI,105,A,0.32955885
43182,UTA,101,27.324001000000003,PHO,111,H,0.36731264
43199,UTA,91,28.445103000000003,POR,87,A,0.22238445
43238,UTA,105,27.329725,GSW,111,H,0.60360676
43256,UTA,117,28.135302000000003,POR,110,H,0.49232790000000004
43273,UTA,94,27.848285999999998,PHO,110,A,0.13600981
43369,UTA,103,25.868118,GSW,115,A,0.29885691
43385,UTA,94,25.670842999999998,DEN,96,A,0.25878817
43415,UTA,103,26.147348,CHI,100,H,0.52382135
43454,UTA,96,25.69776,LAL,101,A,0.077225029
43477,UTA,109,27.031157,DEN,91,H,0.5171209
43504,UTA,95,26.862152000000002,LAL,97,H,0.22187023
43524,UTA,106,26.545282,CHI,111,A,0.27692169
43534,UTA,91,26.330816,MIL,107,A,0.10766995
43659,UTA,96,31.673346999999996,POR,86,H,0.50055897
43677,UTA,125,32.318222,DEN,121,A,0.32910502
43709,UTA,93,31.426640999999996,PHO,107,H,0.37280902
43746,UTA,117,31.807940000000002,DEN,115,H,0.58428699
43821,UTA,99,29.991182000000002,LAL,127,H,0.24514523
43837,UTA,104,30.931746,DAL,96,A,0.47777545
43860,UTA,109,32.366104,SAS,96,H,0.43327078
43880,UTA,144,33.023369,DAL,122,H,0.78052062
43898,UTA,95,34.523758,POR,87,A,0.28878045
43937,UTA,112,36.053658,CLE,96,H,0.62485784
43973,UTA,102,35.092079,NYK,109,H,0.54168814
43979,UTA,108,35.514107,IND,106,H,0.56099898
44035,UTA,117,37.496574,HOU,115,H,0.63127857
44046,UTA,104,36.880825,SAS,120,A,0.2437349
44079,UTA,93,35.06337,MIL,126,H,0.3970646
44113,UTA,93,34.584438,ATL,99,A,0.33152896
44149,UTA,104,35.386795,DET,97,A,0.52810264
44198,UTA,93,33.44096,PHI,113,A,0.096011341
44220,UTA,108,33.225494,MIL,119,A,0.12303019
44251,UTA,122,33.654022,DEN,118,H,0.6390934
44285,UTA,100,32.228004,LAL,113,A,0.144898
44309,UTA,90,30.506990000000002,SAS,115,H,0.46244830000000003
44336,UTA,98,29.770569000000002,CHI,118,A,0.26341885
44353,UTA,103,29.310844,CLE,110,A,0.31335902
44383,UTA,97,28.87925,NYK,112,A,0.19914681
44410,UTA,97,27.828049,ATL,109,H,0.48096585
44423,UTA,90,27.594975,PHO,108,A,0.10569727
44463,UTA,101,26.971418,DAL,96,A,0.54551166
44495,UTA,109,26.636829,GSW,110,H,0.45865679
44511,UTA,117,26.233614000000003,SAS,142,A,0.14324772
44541,UTA,110,27.861176,LAL,100,H,0.2707589
44545,UTA,103,27.336189,HOU,117,A,0.25094759
44582,UTA,109,27.940969,POR,103,H,0.4202247
44606,UTA,121,28.867366999999998,DEN,117,A,0.313133
44625,UTA,99,29.01503,DAL,97,H,0.80860102
44683,UTA,110,29.332092,GSW,107,A,0.19988942
44738,UTA,89,29.316891,IND,110,A,0.18008685
44766,UTA,87,28.731684,BOS,117,A,0.071562171
44805,UTA,101,28.292624,GSW,103,H,0.48216391
44817,UTA,91,27.734114,HOU,106,A,0.25288016
44834,UTA,102,27.988634,DET,99,H,0.72548765
44847,UTA,104,27.834618,LAL,111,A,0.12361681
44876,UTA,99,28.296825,HOU,97,H,0.49502650000000004
44909,UTA,89,27.984903000000003,PHO,114,A,0.11089718
44935,UTA,116,27.312928999999997,DEN,120,H,0.55057305
44952,UTA,101,26.699368,GSW,107,A,0.21482438
45016,UTA,104,28.919355,BOS,89,H,0.18444493
45043,UTA,84,28.077702000000002,POR,118,A,0.21746016
45100,UTA,84,26.81312,CHI,92,H,0.44465035
45128,UTA,102,25.862045000000002,HOU,106,H,0.43374705
45175,UTA,83,26.752728,PHI,87,H,0.19238316
45196,UTA,97,26.452847,POR,108,A,0.17936605
45216,UTA,105,25.146723,GSW,107,A,0.19926149
45236,UTA,100,24.721826999999998,PHO,112,H,0.23876275
45333,UTA,82,24.879992,HOU,101,A,0.17930794
45370,UTA,86,24.674307000000002,SAS,94,A,0.15782398
45389,UTA,120,24.998568,DAL,113,H,0.749354
45413,UTA,95,24.115049,DAL,105,A,0.48711318
45421,UTA,108,23.929668,DEN,113,A,0.1830523
45481,UTA,97,22.919092000000003,SAS,98,H,0.3439551
45502,UTA,112,23.696688,LAL,110,H,0.22177477
45519,UTA,90,23.503004,PHO,105,A,0.10815907
45652,UTA,105,28.250066999999998,DAL,89,H,0.68672341
45661,UTA,91,27.676731,GSW,106,A,0.25883639
45709,UTA,110,28.565845,GSW,101,H,0.51332659
45722,UTA,109,28.298538,POR,119,A,0.16592634
45741,UTA,95,29.478289,PHO,87,H,0.37109381
45802,UTA,131,31.876238,DEN,124,H,0.54679674
45810,UTA,105,31.597227,HOU,109,A,0.25467049999999997
45853,UTA,110,31.160089000000003,LAL,113,H,0.41357324
45865,UTA,105,32.073975,CHI,103,A,0.21770233
45885,UTA,86,31.548195,DET,95,A,0.30256194
