,team_id,pts,win_equiv,opp_id,opp_pts,game_location,forecast
81127,WAS,79,45.639725,DET,92,A,0.33421683
81169,WAS,108,45.167156,MIA,109,H,0.54854792
81181,WAS,90,46.462790999999996,UTA,86,A,0.20028383
81188,WAS,120,47.599499,DEN,96,A,0.67278981
81260,WAS,106,45.061275,MIA,114,A,0.3053363
81297,WAS,90,46.83205,CHI,83,A,0.18838495
81316,WAS,91,47.455653999999996,MIN,88,A,0.46628909999999996
81363,WAS,91,45.529209,ORL,102,H,0.7312113
81377,WAS,89,45.100338,ATL,98,A,0.24551082
81405,WAS,86,43.61985,PHI,97,A,0.60649025
81436,WAS,82,41.895298,NYK,104,H,0.47653553
81439,WAS,101,41.339352000000005,CLE,110,A,0.30371279
81467,WAS,87,40.782593,ORL,95,A,0.32246476
81498,WAS,98,41.456466999999996,SAS,94,A,0.49382925
81545,WAS,83,40.893966999999996,CHI,88,H,0.40203184
81601,WAS,118,43.558304,SAC,96,H,0.75709426
81631,WAS,114,44.131142,MIN,103,H,0.71839434
81700,WAS,88,43.488144,BOS,97,A,0.6111483
81727,WAS,92,42.74942,IND,109,A,0.27373648
81755,WAS,88,43.266171,UTA,86,H,0.49142957
81790,WAS,88,44.567062,MIA,74,H,0.51212084
81838,WAS,94,46.333153,TOR,92,A,0.65801585
81852,WAS,110,48.879478000000006,MIL,79,A,0.45675635
81885,WAS,97,49.090365999999996,DAL,95,A,0.75063205
81909,WAS,101,48.381966,HOU,111,A,0.36364579
81964,WAS,118,47.993401,TOR,91,H,0.86326051
81994,WAS,81,46.098816,IND,99,H,0.57929379
82023,WAS,109,46.838776,PHO,99,H,0.62863654
82025,WAS,113,48.177338,NYK,106,A,0.30894774
82067,WAS,110,48.34557,BOS,108,H,0.79621506
82078,WAS,77,47.911396,ATL,82,A,0.33260405
82121,WAS,102,46.995838,ATL,107,H,0.60006177
82163,WAS,79,45.432083,SAS,89,H,0.66197371
82207,WAS,108,45.777718,LAC,99,H,0.83989573
82266,WAS,87,44.050090999999995,POR,100,H,0.6287179
82337,WAS,84,44.905331,IND,85,A,0.23067069
82346,WAS,102,44.377884,BOS,104,A,0.51894134
82376,WAS,102,45.58321,DET,95,A,0.36398929
82432,WAS,113,46.286884,DET,101,H,0.67735589
82466,WAS,104,47.349655,CLE,88,H,0.60948312
82478,WAS,83,46.210133,ORL,93,A,0.52625728
82489,WAS,99,46.747898,GSW,87,A,0.74266624
82510,WAS,110,47.188164,LAC,104,A,0.6916095
82579,WAS,86,45.824546999999995,SAC,88,A,0.48367941
82620,WAS,98,44.063549,MIL,108,H,0.71318442
82662,WAS,88,43.472427,CHI,94,H,0.38902339
82705,WAS,124,44.260624,HOU,112,H,0.64800912
82734,WAS,110,44.654526000000004,GSW,87,H,0.8679502
82761,WAS,77,39.527306,DAL,103,H,0.88675654
82787,WAS,96,40.854744000000004,LAL,86,H,0.41803423
82829,WAS,103,42.196228000000005,NYK,90,H,0.48294523
82832,WAS,98,41.232082,BOS,108,A,0.45429599
82875,WAS,100,41.695774,PHI,91,H,0.73990089
82891,WAS,93,43.579552,MIL,77,A,0.39723837
82910,WAS,86,43.036575,PHI,88,A,0.52875495
83004,WAS,89,42.838802,DEN,90,H,0.92358875
83033,WAS,91,42.240749,IND,95,H,0.46115801
83102,WAS,99,44.597633,POR,87,A,0.36748314
83156,WAS,85,43.497726,PHO,89,A,0.30063987
83177,WAS,89,42.788338,LAL,116,A,0.19965619
83225,WAS,91,39.486796999999996,PHI,112,H,0.7717786999999999
83259,WAS,120,39.703194,TOR,112,H,0.85783911
83288,WAS,88,40.083405,ORL,85,H,0.6480667
83300,WAS,85,39.828823,CHI,103,A,0.10363454
83344,WAS,83,37.719273,DET,102,H,0.60158074
83389,WAS,81,36.711163,ATL,91,H,0.47385067
83410,WAS,104,37.540726,NYK,102,A,0.28166991
83432,WAS,101,38.564522,CLE,93,H,0.46900639
83456,WAS,97,40.578449,MIA,89,A,0.17221218
83479,WAS,112,41.372707,BOS,95,H,0.70945054
83648,WAS,81,40.789288,IND,96,A,0.20610183
83676,WAS,98,40.914566,TOR,97,H,0.82098502
83701,WAS,103,40.619343,DET,106,A,0.28406382
83737,WAS,88,39.838612,NYK,101,A,0.33314627
83831,WAS,85,39.210281,ORL,96,A,0.30374968
83846,WAS,95,39.885044,TOR,88,A,0.59641439
83868,WAS,93,40.444557,CHI,91,H,0.46008116
83898,WAS,86,41.03091,BOS,75,H,0.71390212
83929,WAS,80,39.464382,MIA,96,H,0.5242241
83960,WAS,105,37.596722,SAC,115,H,0.73750669
83992,WAS,81,37.124373999999996,POR,82,H,0.54681122
84024,WAS,91,35.745605,PHI,104,H,0.53314078
84026,WAS,97,39.215202000000005,ATL,77,A,0.18860465
84060,WAS,95,38.27005,IND,106,H,0.42714512
84113,WAS,103,40.172421,PHI,95,A,0.27026898
84125,WAS,71,39.903263,DET,75,A,0.23610216
84169,WAS,97,41.028286,DET,87,H,0.48689425
84184,WAS,86,40.353638000000004,NYK,98,A,0.3075583
84235,WAS,98,39.812458,MIL,86,H,0.5980224000000001
84259,WAS,85,39.467715999999996,MIA,94,A,0.2013672
84303,WAS,87,38.917404,UTA,95,H,0.31983683
84334,WAS,113,40.997643,CLE,83,H,0.53680605
84359,WAS,86,40.744254999999995,IND,90,A,0.22396278
84421,WAS,96,41.128571,GSW,100,A,0.50090384
84440,WAS,112,41.925232,DEN,100,A,0.64625609
84488,WAS,105,41.584019,MIL,107,A,0.36303461
84511,WAS,84,42.573059,ORL,73,H,0.55773044
84560,WAS,85,42.159687,TOR,87,A,0.42532575
84578,WAS,79,40.903324,MIA,90,H,0.53376651
84612,WAS,87,38.045227000000004,BOS,108,A,0.48963255
84692,WAS,105,38.518833,PHI,98,H,0.54963309
84708,WAS,77,37.967739,CLE,86,A,0.3025673
84744,WAS,95,38.710037,NYK,89,H,0.53223151
84779,WAS,87,39.382754999999996,CHI,70,H,0.74748325
84808,WAS,98,38.441772,BOS,101,H,0.70631659
84827,WAS,77,37.673462,CHI,83,A,0.48108113
84861,WAS,91,35.456936,TOR,107,H,0.68063378
84888,WAS,78,34.480865,ATL,89,H,0.44512135
84905,WAS,84,33.110779,BOS,113,A,0.34421235
84933,WAS,91,32.726246,MIL,99,A,0.24318111
84962,WAS,86,32.443867,ORL,93,A,0.1993106
84985,WAS,97,33.433265999999996,CLE,86,H,0.54362178
85065,WAS,92,33.303474,ATL,100,A,0.17361265
85246,WAS,94,36.084686,ATL,87,H,0.49111697
85248,WAS,101,35.427952000000005,BOS,112,A,0.31940806
85311,WAS,104,34.813477,ORL,107,H,0.526914
85383,WAS,95,31.265081,MIA,104,H,0.39517629
85395,WAS,83,30.866497,IND,105,A,0.14384520000000003
85438,WAS,73,29.366756,PHI,95,H,0.45122689
85466,WAS,92,30.519603999999998,TOR,81,H,0.47057292
85508,WAS,89,28.960623,LAC,98,H,0.71837658
85559,WAS,101,30.951553000000004,PHI,93,A,0.19052613
85597,WAS,86,30.116142,MIA,89,A,0.14531285
85652,WAS,108,30.679197,CLE,111,H,0.5308634
85678,WAS,93,30.48555,TOR,95,A,0.23734659
85701,WAS,104,29.649664,SAC,114,H,0.42962962
85722,WAS,96,29.438969,UTA,102,A,0.17168361
85729,WAS,80,29.208895000000002,LAL,91,A,0.13620877
85759,WAS,85,28.880547999999997,PHO,99,A,0.16321057
85803,WAS,99,31.60265,SAS,89,A,0.089544237
85834,WAS,80,30.391895,UTA,101,H,0.38557154
85900,WAS,95,33.461731,NYK,83,A,0.15047008
85932,WAS,97,36.070793,DET,83,A,0.20030802
85961,WAS,89,35.12505,HOU,105,A,0.35368448
85999,WAS,103,35.961002,HOU,92,H,0.60891885
86032,WAS,94,35.577061,CLE,96,A,0.405505
86064,WAS,86,35.043903,NYK,89,H,0.47099486
86078,WAS,99,35.621689,GSW,87,H,0.72602069
86105,WAS,66,34.101357,CHI,77,A,0.62536275
86142,WAS,103,32.348694,CHI,110,H,0.81652099
86159,WAS,129,32.207809000000005,MIL,130,A,0.20656151
86201,WAS,117,33.972576000000004,TOR,89,H,0.5646444
86208,WAS,102,33.654552,IND,117,A,0.14482879999999998
86232,WAS,98,33.390453,DET,105,A,0.18647116
86266,WAS,107,32.830734,DET,112,H,0.41294688
86292,WAS,101,32.000938,BOS,105,H,0.61249226
86318,WAS,86,29.914054999999998,DAL,104,H,0.63960558
86342,WAS,123,31.627731,IND,113,H,0.27409074
86344,WAS,93,30.728914000000003,ATL,111,A,0.32815975
86408,WAS,105,30.064909000000004,TOR,120,A,0.28427392
86459,WAS,103,30.596251000000002,CLE,98,H,0.5936236999999999
86474,WAS,108,30.224703,CLE,112,A,0.32964933
86507,WAS,103,31.422974,MIN,93,H,0.43479791
86531,WAS,92,31.176828000000004,MIA,99,A,0.17900431
86608,WAS,96,30.00852,ORL,107,A,0.22140706
86684,WAS,85,28.695786,POR,93,A,0.07987064099999999
86705,WAS,103,28.070356,GSW,112,A,0.36446333
86745,WAS,126,30.179657000000002,MIL,101,H,0.44495386
86774,WAS,83,29.579528999999997,PHO,92,H,0.34541184
86804,WAS,88,28.822659,MIA,98,H,0.40033782
86851,WAS,102,31.605259000000004,ATL,83,A,0.24152052
86876,WAS,84,31.105265000000003,PHI,87,H,0.46106946
86905,WAS,100,31.868253999999997,DET,94,H,0.50226653
86934,WAS,85,31.355753000000004,ORL,87,H,0.52587903
86945,WAS,90,32.657973999999996,MIN,86,A,0.1831125
86967,WAS,118,33.444744,NYK,113,H,0.45893177
86999,WAS,99,32.908009,SAS,106,H,0.34393877
87026,WAS,86,32.119007,POR,102,H,0.31049046
87047,WAS,98,31.666925,ORL,107,A,0.26576679999999997
87079,WAS,109,33.321598,LAL,102,H,0.20483696
87113,WAS,101,33.74004,CHI,88,H,0.79929274
87136,WAS,105,34.494797,LAC,93,A,0.65374494
87150,WAS,86,34.041241,SAC,98,A,0.22392589
87180,WAS,100,35.687706,DEN,86,A,0.40802062
87210,WAS,93,37.030781,DAL,86,A,0.31319767
87270,WAS,93,35.407944,DEN,101,H,0.7389399999999999
87287,WAS,104,36.124309999999994,BOS,102,A,0.34540868
87379,WAS,92,36.575699,NYK,101,A,0.20543677
87417,WAS,108,36.963371,ATL,98,H,0.7872805
87475,WAS,84,36.056862,PHI,93,A,0.22830844
87483,WAS,109,36.668449,CHI,103,A,0.59720862
87520,WAS,116,35.851246,MIL,120,H,0.59199345
87571,WAS,81,32.423866,BOS,114,H,0.65401435
87584,WAS,105,32.119873,MIL,110,A,0.24880123
87764,WAS,86,33.784019,ORL,97,A,0.2600987
87815,WAS,76,36.151866999999996,NYK,80,H,0.54276812
87841,WAS,96,35.611168,TOR,103,A,0.33992028
87859,WAS,88,36.225643,CHI,83,A,0.56252563
87919,WAS,74,33.207977,IND,86,H,0.39850754
87922,WAS,73,32.470543,CLE,86,A,0.32842177
87971,WAS,109,32.056995,BOS,116,A,0.27801478
87999,WAS,95,31.64147,SAS,99,H,0.35663158
88035,WAS,109,33.169922,BOS,89,H,0.52757311
88064,WAS,94,32.508564,POR,104,H,0.34458089
88101,WAS,87,32.104561,IND,99,A,0.20581144
88133,WAS,107,32.791195,MIL,100,H,0.57593721
88162,WAS,75,29.198840999999998,ATL,102,H,0.75725961
88176,WAS,87,29.056240000000003,PHI,93,A,0.12223655
88231,WAS,90,28.601225,MIA,93,H,0.43976641
88234,WAS,87,28.331121000000003,DET,93,A,0.21649742
88287,WAS,88,27.154999,LAC,93,H,0.75234288
88290,WAS,88,26.773020000000002,MIN,105,A,0.17161316
88321,WAS,91,26.484565999999997,MIL,99,A,0.20515192
88391,WAS,82,25.830858,PHI,102,H,0.25202245
88441,WAS,103,26.416528999999997,LAC,94,A,0.37178302
88464,WAS,72,26.031748,SAC,106,A,0.11314559
88537,WAS,70,24.765005,POR,87,A,0.10107911
88570,WAS,82,24.257808999999998,NYK,89,H,0.36849806
88597,WAS,91,24.105003,MIA,98,A,0.13141346
